# ADR90 WP-A2 tau=0 band, build cc4aa6db01c7ae86155b425182021722ab55db50 (expected any), leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s,implex_err_avg,implex_refusals,guard_floor,guard_f0,guard_hold,guard_res,guard_ctlf,substeps_tot,substeps_max,substeps_max_ele,substeps_ring_tot,substeps_ring_max,wall_step_s
0.0656,0.0328,829.218703,-829.488979,0.3125,1,1262.81635,0,0,0,0,0,0,0,90688,16984,80,24904,11432,3.10662317
0.0659125,0.03295625,833.031724,-833.494343,0.625,1,1266.92336,0,0,0,0,0,0,0,88916,16680,80,25074,11538,4.1070087
0.066225,0.0331125,836.975486,-837.427053,0.3125,1,1274.49062,0,0,0,0,0,0,0,89521,16803,80,25037,11515,7.56726384
0.0665375,0.03326875,840.932322,-841.372901,0.3125,1,1278.49027,0,0,0,0,0,0,0,91032,17209,80,25026,11498,3.99964762
0.06685,0.033425,844.839646,-845.336711,0.3125,1,1282.46021,0,0,0,0,0,0,0,90474,17150,80,24642,11321,3.9699378
0.06700625,0.033503125,847.339831,-846.911364,0.15625,1,1315.17417,0,0,0,0,0,0,0,63547,12350,80,17766,8177,32.7139578
0.0671625,0.03358125,850.744924,-851.34368,0.15625,1,1325.47294,0,0,0,0,0,0,0,43939,7745,80,12231,5658,10.2987754
0.06731875,0.033659375,849.617655,-849.095543,0.15625,1,1339.67145,0,0,0,0,0,0,0,54671,10749,80,13600,6074,14.1985087
0.067475,0.0337375,854.467466,-854.81276,0.15625,1,1352.51413,0,0,0,0,0,0,0,62067,14754,80,12653,5894,12.8426809
0.06763125,0.033815625,853.917781,-852.970397,0.15625,1,1358.34553,0,0,0,0,0,0,0,76830,18831,80,12387,5445,5.83139586
0.0677875,0.03389375,858.587997,-858.947112,0.3125,1,1371.47563,0,0,0,0,0,0,0,40129,7120,80,12779,5954,13.1301045
0.06794375,0.033971875,857.864836,-857.025834,0.15625,1,1397.14593,0,0,0,0,0,0,0,54485,10457,80,13353,5937,25.6703029
