# ADR90 WP-A2 tau=0 band, build afb95c40c9e3da1cc97d6aabe8168644c53d0e82 (expected afb95c40c9e3da1cc97d6aabe8168644c53d0e82), leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s,implex_err_avg,implex_refusals
0.01076,0.00538,143.917877,-143.915001,0.08,0,29.7842712,1.42973164e-05,1708
0.01084,0.00542,144.889674,-144.881067,0.08,0,29.9452012,1.57055177e-05,1708
0.01092,0.00546,145.851532,-145.848375,0.16,0,30.1450157,1.57295629e-05,1708
0.011,0.0055,146.819438,-146.814954,0.08,0,30.5216525,1.46730979e-05,1792
0.01108,0.00554,147.78566,-147.781594,0.08,0,30.7050686,1.49278096e-05,1792
0.01116,0.00558,148.759423,-148.742839,0.08,0,30.8757117,1.69642388e-05,1792
0.01124,0.00562,149.722205,-149.711791,0.08,0,31.058255,1.31863337e-05,1792
0.01132,0.00566,150.690567,-150.674973,0.08,0,31.2376156,1.51569201e-05,1792
0.0114,0.0057,151.651085,-151.638982,0.16,0,31.5067568,1.44656405e-05,1792
0.01148,0.00574,152.612144,-152.602763,0.08,0,31.9061041,1.45843006e-05,1876
0.01156,0.00578,153.580846,-153.567527,0.08,0,32.0896971,1.21788949e-05,1876
0.01164,0.00582,154.536795,-154.531318,0.08,0,32.2704597,1.40029214e-05,1876
0.01172,0.00586,155.502053,-155.492595,0.08,0,32.4569666,1.3675874e-05,1876
0.0118,0.0059,156.46733,-156.450578,0.08,0,32.638746,1.54537472e-05,1876
0.01188,0.00594,157.425131,-157.412425,0.16,0,32.8098018,1.38189005e-05,1876
0.01196,0.00598,158.384639,-158.372201,0.08,0,33.25403,1.59503225e-05,1960
0.01204,0.00602,159.340452,-159.333019,0.08,0,33.4187231,1.56399062e-05,1960
0.01212,0.00606,160.299723,-160.291455,0.08,0,33.5798171,1.73402745e-05,1960
0.0122,0.0061,161.255164,-161.250233,0.08,0,33.7404532,1.59544662e-05,1960
0.01228,0.00614,162.214683,-162.209997,0.08,0,33.9056652,1.51418803e-05,1960
0.01236,0.00618,163.173703,-163.169391,0.16,0,34.0772991,1.46485028e-05,1960
0.01244,0.00622,164.132962,-164.129008,0.08,0,34.5073502,1.44276346e-05,2056
0.01252,0.00626,165.090222,-165.088106,0.08,0,34.6884844,1.38252738e-05,2056
0.0126,0.0063,166.048344,-166.045335,0.08,0,34.8591969,1.37201212e-05,2056
0.01268,0.00634,167.002954,-166.999656,0.08,0,35.0475426,1.67029629e-05,2056
0.01276,0.00638,167.959283,-167.956938,0.08,0,35.2290912,1.41204596e-05,2056
0.01284,0.00642,168.913592,-168.913355,0.16,0,35.397826,1.415594e-05,2056
0.01292,0.00646,169.869792,-169.868593,0.08,0,35.8365467,1.52775405e-05,2152
0.013,0.0065,170.827531,-170.82453,0.08,0,36.0357296,1.37534788e-05,2152
0.01308,0.00654,171.783411,-171.781178,0.08,0,36.2148414,1.32391824e-05,2152
0.01316,0.00658,172.739222,-172.736057,0.08,0,36.3850203,1.44477074e-05,2152
0.01324,0.00662,173.691576,-173.688737,0.08,0,36.5567634,1.48562944e-05,2152
0.01332,0.00666,174.645911,-174.640891,0.16,0,36.7143035,1.62571999e-05,2152
0.0134,0.0067,175.602196,-175.596734,0.08,0,37.0970526,1.36829695e-05,2248
0.01348,0.00674,176.557188,-176.551317,0.08,0,37.2703931,1.52771704e-05,2248
0.01356,0.00678,177.511781,-177.506881,0.08,0,37.4343522,1.45552663e-05,2248
0.01364,0.00682,178.465776,-178.461023,0.08,0,37.613826,1.57458452e-05,2248
0.01372,0.00686,179.418775,-179.414211,0.08,0,37.7988732,1.53472858e-05,2248
0.0138,0.0069,180.370975,-180.366238,0.16,0,38.0024662,1.54030245e-05,2248
0.01388,0.00694,181.322784,-181.319652,0.08,0,38.391413,1.43103659e-05,2344
0.01396,0.00698,182.277739,-182.274038,0.08,0,38.5669351,1.36211584e-05,2344
0.01404,0.00702,183.231624,-183.229375,0.08,0,38.7320225,1.34103842e-05,2344
0.01412,0.00706,184.185502,-184.183734,0.08,0,38.8940434,1.39240231e-05,2344
0.0142,0.0071,185.136922,-185.135868,0.08,0,39.0625942,1.38882589e-05,2344
0.01428,0.00714,186.090327,-186.089098,0.16,0,39.2371836,1.38684815e-05,2344
0.01436,0.00718,187.041967,-187.040406,0.08,0,39.5975921,1.4804812e-05,2440
0.01444,0.00722,187.993641,-187.992802,0.08,0,39.7742276,1.25651057e-05,2440
0.01452,0.00726,188.946307,-188.945179,0.08,0,39.9417448,1.33759493e-05,2440
0.0146,0.0073,189.898219,-189.896653,0.08,0,40.1094499,1.30950951e-05,2440
0.01468,0.00734,190.851121,-190.848993,0.08,0,40.2613308,1.30494277e-05,2440
0.01476,0.00738,191.801875,-191.800374,0.16,0,40.4431858,1.31643864e-05,2440
0.01484,0.00742,192.751371,-192.750168,0.08,0,40.8261139,1.30264083e-05,2536
0.01492,0.00746,193.701156,-193.698778,0.08,0,41.0020943,1.29141163e-05,2536
0.015,0.0075,194.655312,-194.644144,0.08,0,41.1886404,1.42259972e-05,2536
0.01508,0.00754,195.594512,-195.590868,0.08,0,41.3780971,1.35220931e-05,2536
0.01516,0.00758,196.547173,-196.536415,0.08,0,41.5650396,1.38516042e-05,2536
0.01524,0.00762,197.490844,-197.484793,0.16,0,41.7538927,1.3367743e-05,2536
0.01532,0.00766,198.442192,-198.43191,0.08,0,42.1649923,1.44722342e-05,2632
0.0154,0.0077,199.386391,-199.380986,0.08,0,42.3419473,1.29479559e-05,2632
0.01548,0.00774,200.337939,-200.329401,0.08,0,42.513226,1.37894627e-05,2632
0.01556,0.00778,201.284828,-201.277671,0.08,0,42.6778665,1.41019481e-05,2632
0.01564,0.00782,202.231645,-202.226735,0.08,0,42.8495798,1.26739214e-05,2632
0.01572,0.00786,203.185354,-203.174276,0.16,0,43.0188265,1.18785328e-05,2632
0.0158,0.0079,204.135069,-204.123632,0.08,0,43.4131346,1.17992925e-05,2728
0.01588,0.00794,205.078746,-205.070455,0.08,0,43.5812132,1.19843281e-05,2728
0.01596,0.00798,206.027367,-206.015099,0.08,0,43.7429488,1.31990249e-05,2728
0.01604,0.00802,206.972224,-206.960682,0.08,0,43.9149373,1.36582764e-05,2728
0.01612,0.00806,207.914753,-207.908371,0.08,0,44.0666208,1.26934441e-05,2728
0.0162,0.0081,208.857826,-208.851637,0.16,0,44.2264218,1.43201059e-05,2728
0.01628,0.00814,209.803173,-209.79685,0.08,0,44.6759679,1.3527576e-05,2824
0.01636,0.00818,210.751638,-210.741572,0.08,0,44.8616562,1.37151219e-05,2824
0.01644,0.00822,211.691102,-211.687414,0.08,0,45.027885,1.35476148e-05,2824
0.01652,0.00826,212.63368,-212.629694,0.08,0,45.2014534,1.56868619e-05,2824
0.0166,0.0083,213.579454,-213.573813,0.08,0,45.3917842,1.26973153e-05,2824
0.01668,0.00834,214.523202,-214.514344,0.16,0,45.5649357,1.597443e-05,2824
0.01676,0.00838,215.471054,-215.459349,0.08,0,45.9295523,1.2805624e-05,2920
0.01684,0.00842,216.41157,-216.400665,0.08,0,46.1041222,1.57868071e-05,2920
0.01692,0.00846,217.355032,-217.347592,0.08,0,46.2750955,1.32359105e-05,2920
0.017,0.0085,218.294744,-218.291978,0.08,0,46.4370935,1.50312102e-05,2920
0.01708,0.00854,219.241643,-219.239032,0.08,0,46.5937133,1.24101797e-05,2920
0.01716,0.00858,220.185899,-220.181956,0.16,0,46.7461052,1.44590636e-05,2920
0.01724,0.00862,221.131738,-221.126419,0.08,0,47.1485417,1.36377917e-05,3016
0.01732,0.00866,222.073317,-222.068456,0.08,0,47.2983642,1.47491238e-05,3016
0.0174,0.0087,223.013456,-223.010165,0.08,0,47.4703588,1.44998941e-05,3016
0.01748,0.00874,223.957233,-223.952202,0.08,0,47.6299498,1.34398018e-05,3016
0.01756,0.00878,224.902551,-224.893946,0.08,0,47.8049076,1.49077227e-05,3016
0.01764,0.00882,225.841369,-225.837553,0.16,0,47.9674385,1.38186395e-05,3016
0.01772,0.00886,226.789169,-226.779636,0.08,0,48.3454487,1.42881011e-05,3112
0.0178,0.0089,227.732998,-227.72252,0.08,0,48.5092869,1.38054953e-05,3112
0.01788,0.00894,228.668652,-228.664165,0.08,0,48.6576452,1.47644532e-05,3112
0.01796,0.00898,229.610443,-229.605467,0.08,0,48.8302758,1.4619511e-05,3112
0.01804,0.00902,230.551585,-230.54841,0.08,0,49.0057278,1.44241783e-05,3112
0.01812,0.00906,231.495857,-231.492544,0.16,0,49.1581972,1.35870317e-05,3112
0.0182,0.0091,232.437228,-232.432988,0.08,0,49.5323219,1.44657715e-05,3208
0.01828,0.00914,233.377329,-233.376051,0.08,0,49.7040372,1.30386e-05,3208
0.01836,0.00918,234.318587,-234.315277,0.08,0,49.8755767,1.4258086e-05,3208
0.01844,0.00922,235.258313,-235.256491,0.08,0,50.0302804,1.28077658e-05,3208
0.01852,0.00926,236.200085,-236.196355,0.08,0,50.1950505,1.37610893e-05,3208
0.0186,0.0093,237.13754,-237.134331,0.16,0,50.3701019,1.66809554e-05,3208
0.01868,0.00934,238.076306,-238.074436,0.08,0,50.7583957,1.49771153e-05,3304
0.01876,0.00938,239.019398,-239.016279,0.08,0,50.9270554,1.35383711e-05,3304
0.01884,0.00942,239.957362,-239.954742,0.08,0,51.0847433,1.55732288e-05,3304
0.01892,0.00946,240.896198,-240.892696,0.08,0,51.2337496,1.44656929e-05,3304
0.019,0.0095,241.832671,-241.83072,0.08,0,51.4118557,1.5973123e-05,3304
0.01908,0.00954,242.772226,-242.769546,0.16,0,51.5829768,1.42302416e-05,3304
0.01916,0.00958,243.708407,-243.707444,0.08,0,51.9703159,1.62875376e-05,3400
0.01924,0.00962,244.650241,-244.647247,0.08,0,52.1428583,1.43048659e-05,3400
0.01932,0.00966,245.588703,-245.588668,0.08,0,52.3102643,1.59474398e-05,3400
0.0194,0.0097,246.536511,-246.530493,0.08,0,52.4847276,1.26327333e-05,3400
0.01948,0.00974,247.477423,-247.470241,0.08,0,52.6304917,1.46078107e-05,3400
0.01956,0.00978,248.414554,-248.408651,0.16,0,52.8032815,1.56613879e-05,3400
0.01964,0.00982,249.350557,-249.345786,0.08,0,53.1543465,1.59143173e-05,3487
0.01972,0.00986,250.293776,-250.283678,0.08,0,53.3103623,1.5270995e-05,3487
0.0198,0.0099,251.22841,-251.224878,0.08,0,53.4982421,1.52355023e-05,3487
0.01988,0.00994,252.168343,-252.163265,0.08,0,53.656589,1.46498893e-05,3487
0.01996,0.00998,253.10956,-253.102829,0.08,0,53.8142595,1.53225816e-05,3487
0.02004,0.01002,254.049397,-254.043539,0.16,0,53.965034,1.37807223e-05,3487
0.02012,0.01006,254.993136,-254.982139,0.08,0,54.348475,1.45908976e-05,3571
0.0202,0.0101,255.925888,-255.91824,0.08,0,54.5057626,1.50525712e-05,3571
0.02028,0.01014,256.861955,-256.856237,0.08,0,54.665247,1.50899396e-05,3571
0.02036,0.01018,257.796025,-257.792632,0.08,0,54.8252268,1.49461438e-05,3571
0.02044,0.01022,258.729679,-258.728959,0.08,0,54.9868023,1.57160742e-05,3571
