# ADR90 WP-A2 tau=0 band, build c4d08f1874060812ef25cfddf49724e7175f2978, leg h1.0_e0.60
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s
0.0896625,0.04483125,2150.08458,-2149.53178,0.3125,1,3023.33822
0.089975,0.0449875,2159.72311,-2159.40336,0.625,1,3031.50756
0.09013125,0.045065625,2163.65083,-2164.87406,0.15625,1,3075.31366
0.0902875,0.04514375,2168.42794,-2169.62466,0.15625,1,3084.82483
0.09044375,0.045221875,2173.04997,-2174.26737,0.15625,1,3089.63781
0.0906,0.0453,2177.71209,-2178.88447,0.15625,1,3094.66064
0.09075625,0.045378125,2180.7218,-2180.63785,0.15625,1,3102.21752
0.0909125,0.04545625,2187.01969,-2187.98415,0.3125,1,3111.23872
0.091225,0.0456125,2186.47336,-2186.5677,0.3125,1,3129.99689
0.0915375,0.04576875,2201.43718,-2202.47829,0.3125,1,3154.14205
0.09185,0.045925,2205.2816,-2205.57787,0.3125,1,3175.14598
0.0921625,0.04608125,2220.64869,-2221.17363,0.3125,1,3186.29093
0.092475,0.0462375,2226.2008,-2226.50846,0.3125,1,3219.43429
0.0927875,0.04639375,2240.01103,-2240.4348,0.625,1,3226.00395
0.0934125,0.04670625,2252.41911,-2252.83284,0.625,1,3261.73753
0.093725,0.0468625,2267.09062,-2268.08052,0.3125,1,3290.62428
0.0940375,0.04701875,2271.86249,-2271.97643,0.3125,1,3304.727
0.09435,0.047175,2286.39722,-2286.9507,0.3125,1,3314.08412
0.0946625,0.04733125,2289.57434,-2289.82983,0.3125,1,3332.13925
0.094975,0.0474875,2303.86825,-2304.91495,0.3125,1,3346.77711
0.09513125,0.047565625,2310.55933,-2311.49404,0.15625,1,3363.95081
0.0952875,0.04764375,2314.05427,-2313.80999,0.15625,1,3379.13845
0.09544375,0.047721875,2321.15804,-2322.03423,0.15625,1,3390.99632
0.0956,0.0478,2324.07927,-2323.9553,0.15625,1,3401.20564
0.09575625,0.047878125,2331.0974,-2331.98571,0.15625,1,3414.24669
0.0959125,0.04795625,2333.79778,-2333.84819,0.3125,1,3428.07793
