# ADR90 WP-A2 tau=0 band, build 87b9cf846aa6e75f96d620f24a15b24ba4503a52 (expected 87b9cf846aa6e75f96d620f24a15b24ba4503a52), leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s,implex_err_avg,implex_refusals,guard_floor,guard_f0,guard_hold,guard_res
0.01972,0.00986,250.754992,-250.722369,0.32,0,31.9840567,5.31195973e-05,1241,0,0,0,0
0.02004,0.01002,254.510632,-254.483313,0.32,0,32.3400052,5.2959109e-05,1245,0,0,0,0
0.02036,0.01018,258.280932,-258.239926,0.32,0,32.7296934,5.23467308e-05,1249,0,0,0,0
0.02068,0.01034,262.029511,-261.998127,0.32,0,33.0977135,5.34170585e-05,1253,0,0,0,0
0.021,0.0105,265.793412,-265.756843,0.32,0,33.446183,5.12066842e-05,1257,0,0,0,0
0.02132,0.01066,269.53889,-269.508221,0.64,0,33.7903035,5.36698015e-05,1261,0,0,0,0
0.02164,0.01082,273.298074,-273.26635,0.32,0,34.5560951,5.27831026e-05,1421,0,0,0,0
0.02196,0.01098,277.056202,-277.023883,0.32,0,34.9254079,4.9674465e-05,1425,0,0,0,0
0.02228,0.01114,280.819947,-280.779424,0.32,0,35.3075163,5.12334468e-05,1429,0,0,0,0
0.0226,0.0113,284.57303,-284.531324,0.32,0,35.6558943,4.95217821e-05,1433,0,0,0,0
0.02292,0.01146,288.315352,-288.28436,0.32,0,36.0197511,5.05190629e-05,1437,0,0,0,0
0.02324,0.01162,292.063599,-292.028064,0.64,0,36.3694408,4.89598997e-05,1441,0,0,0,0
0.02356,0.01178,295.799818,-295.776988,0.32,0,37.1249466,4.8132294e-05,1597,0,0,0,0
0.02388,0.01194,299.536952,-299.514545,0.32,0,37.4925311,5.08259825e-05,1597,0,0,0,0
0.0242,0.0121,303.278369,-303.260112,0.32,0,37.8589051,4.44713567e-05,1597,0,0,0,0
0.02452,0.01226,307.037111,-306.99846,0.32,0,38.204603,4.75471481e-05,1597,0,0,0,0
0.02484,0.01242,310.773424,-310.742629,0.32,0,38.5549331,4.50336821e-05,1597,0,0,0,0
0.02516,0.01258,314.50083,-314.479173,0.64,0,38.9172301,4.43453821e-05,1597,0,0,0,0
0.02548,0.01274,318.266108,-318.206575,0.32,0,39.646455,4.50315801e-05,1753,0,0,0,0
0.0258,0.0129,321.976623,-321.934797,0.32,0,40.0103128,4.28725984e-05,1753,0,0,0,0
0.02612,0.01306,325.6865,-325.661163,0.32,0,40.383508,4.32570944e-05,1753,0,0,0,0
0.02644,0.01322,329.421282,-329.382868,0.32,0,40.7358117,4.30274475e-05,1753,0,0,0,0
0.02676,0.01338,333.142628,-333.109257,0.32,0,41.1057243,4.45304941e-05,1753,0,0,0,0
0.02708,0.01354,336.859357,-336.840623,0.64,0,41.4535942,4.15151147e-05,1753,0,0,0,0
0.0274,0.0137,340.585638,-340.565292,0.32,0,42.1598957,4.40498654e-05,1909,0,0,0,0
0.02772,0.01386,344.308983,-344.291097,0.32,0,42.5023623,4.37113491e-05,1909,0,0,0,0
0.02804,0.01402,348.042119,-348.016996,0.32,0,42.849684,4.4592166e-05,1909,0,0,0,0
0.02836,0.01418,351.767777,-351.743926,0.32,0,43.2085302,4.3780967e-05,1909,0,0,0,0
0.02868,0.01434,355.491353,-355.466278,0.32,0,43.5674455,4.57007118e-05,1909,0,0,0,0
0.029,0.0145,359.2115,-359.177254,0.64,0,43.9071617,4.25678737e-05,1909,0,0,0,0
0.02932,0.01466,362.92784,-362.890539,0.32,0,44.6655378,4.58520601e-05,2077,0,0,0,0
0.02964,0.01482,366.632076,-366.605681,0.32,0,45.0233762,4.10512469e-05,2077,0,0,0,0
0.02996,0.01498,370.337082,-370.319904,0.32,0,45.3867309,4.7634572e-05,2077,0,0,0,0
0.03028,0.01514,374.05692,-374.033467,0.32,0,45.7556229,4.21037465e-05,2077,0,0,0,0
0.0306,0.0153,377.771364,-377.750576,0.32,0,46.1099381,4.49180886e-05,2077,0,0,0,0
0.03092,0.01546,381.493602,-381.463148,0.64,0,46.4753327,4.25665449e-05,2077,0,0,0,0
0.03124,0.01562,385.203667,-385.180793,0.32,0,47.2032325,4.39540869e-05,2245,0,0,0,0
0.03156,0.01578,388.916248,-388.89521,0.32,0,47.569097,4.15591932e-05,2245,0,0,0,0
0.03188,0.01594,392.620609,-392.602113,0.32,0,47.918097,4.5218805e-05,2245,0,0,0,0
0.0322,0.0161,396.329288,-396.30772,0.32,0,48.2814007,4.27723579e-05,2245,0,0,0,0
0.03252,0.01626,400.04001,-400.014715,0.32,0,48.6413276,4.33841875e-05,2245,0,0,0,0
0.03284,0.01642,403.752995,-403.719436,0.64,0,48.9906986,4.23167144e-05,2245,0,0,0,0
0.03316,0.01658,407.454932,-407.425436,0.32,0,49.6963003,4.18484782e-05,2407,0,0,0,0
0.03348,0.01674,411.150934,-411.132279,0.32,0,50.0365901,4.21399943e-05,2407,0,0,0,0
0.0338,0.0169,414.859548,-414.839992,0.32,0,50.3944499,3.88996277e-05,2407,0,0,0,0
0.03412,0.01706,418.55878,-418.543365,0.32,0,50.7430313,3.95735523e-05,2407,0,0,0,0
0.03444,0.01722,422.261824,-422.247682,0.32,0,51.0973752,3.91911177e-05,2407,0,0,0,0
0.03476,0.01738,425.985755,-425.950756,0.64,0,51.4603689,3.99718245e-05,2407,0,0,0,0
0.03508,0.01754,429.669222,-429.657514,0.32,0,52.1807179,4.00204123e-05,2575,0,0,0,0
0.0354,0.0177,433.388281,-433.356677,0.32,0,52.5473268,3.77385677e-05,2575,0,0,0,0
0.03572,0.01786,437.080211,-437.059062,0.32,0,52.9111776,4.08241102e-05,2575,0,0,0,0
0.03604,0.01802,440.77914,-440.756845,0.32,0,53.2755411,4.18047642e-05,2575,0,0,0,0
0.03636,0.01818,444.467163,-444.449945,0.32,0,53.6145251,3.95850842e-05,2575,0,0,0,0
0.03668,0.01834,448.162371,-448.14528,0.64,0,53.9707968,4.12823671e-05,2575,0,0,0,0
0.037,0.0185,451.849648,-451.833763,0.32,0,54.6749418,3.97765698e-05,2743,0,0,0,0
0.03732,0.01866,455.535172,-455.523945,0.32,0,55.0272496,3.77118632e-05,2743,0,0,0,0
0.03764,0.01882,459.234073,-459.218656,0.32,0,55.3842571,3.72368012e-05,2743,0,0,0,0
0.03796,0.01898,462.92796,-462.91122,0.32,0,55.7292192,3.87087454e-05,2743,0,0,0,0
0.03828,0.01914,466.621404,-466.601135,0.32,0,56.083096,3.66132954e-05,2743,0,0,0,0
0.0386,0.0193,470.317956,-470.297761,0.64,0,56.4347773,3.39580461e-05,2743,0,0,0,0
0.03892,0.01946,474.00879,-473.987034,0.32,0,57.1578014,3.79535016e-05,2911,0,0,0,0
0.03924,0.01962,477.704151,-477.679801,0.32,0,57.5088062,3.53708228e-05,2911,0,0,0,0
0.03956,0.01978,481.379775,-481.362878,0.32,0,57.8576341,3.73706944e-05,2911,0,0,0,0
0.03988,0.01994,485.066106,-485.049654,0.32,0,58.2275651,3.73497727e-05,2911,0,0,0,0
0.0402,0.0201,488.738244,-488.728894,0.32,0,58.5752561,3.37663032e-05,2911,0,0,0,0
0.04052,0.02026,492.425228,-492.413381,0.64,0,58.920784,3.57654805e-05,2911,0,0,0,0
0.04084,0.02042,496.118491,-496.095535,0.32,0,59.6281371,3.70599223e-05,3079,0,0,0,0
0.04116,0.02058,499.7996,-499.778725,0.32,0,59.9625056,3.52109242e-05,3079,0,0,0,0
0.04148,0.02074,503.504515,-503.463931,0.32,0,60.3003876,3.31213761e-05,3079,0,0,0,0
0.0418,0.0209,507.167711,-507.154314,0.32,0,60.6508117,3.69092328e-05,3079,0,0,0,0
0.04212,0.02106,510.857721,-510.839064,0.32,0,60.9991729,3.43520268e-05,3079,0,0,0,0
0.04244,0.02122,514.527419,-514.514683,0.64,0,61.3454101,3.80955855e-05,3079,0,0,0,0
