# ADR90 WP-A2 tau=0 band, build 87b9cf846aa6e75f96d620f24a15b24ba4503a52 (expected 87b9cf846aa6e75f96d620f24a15b24ba4503a52), leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s,implex_err_avg,implex_refusals,guard_floor,guard_f0,guard_hold,guard_res
0.14772,0.07386,1676.343,-1676.33245,0.32,0,186.759937,3.06863634e-05,9019,0,0,0,0
0.14804,0.07402,1679.68037,-1679.67531,0.64,0,187.075456,3.13930036e-05,9019,0,0,0,0
0.14836,0.07418,1683.02941,-1683.01173,0.32,0,187.721127,3.253876e-05,9091,0,0,0,0
0.14868,0.07434,1686.34257,-1686.34566,0.32,0,188.018369,3.27825762e-05,9091,0,0,0,0
0.149,0.0745,1689.69611,-1689.67226,0.32,0,188.338706,3.14509078e-05,9091,0,0,0,0
0.14932,0.07466,1692.99826,-1693.00529,0.32,0,188.622848,3.18110091e-05,9091,0,0,0,0
0.14964,0.07482,1696.36255,-1696.33744,0.32,0,188.926471,3.29773347e-05,9091,0,0,0,0
0.14996,0.07498,1699.66903,-1699.66972,0.64,0,189.228579,3.32708878e-05,9091,0,0,0,0
0.15028,0.07514,1702.99739,-1703.00183,0.32,0,189.891541,3.32403256e-05,9163,0,0,0,0
0.1506,0.0753,1706.34221,-1706.3285,0.32,0,190.189117,3.30413077e-05,9163,0,0,0,0
0.15092,0.07546,1709.66178,-1709.66291,0.32,0,190.494585,3.14449675e-05,9163,0,0,0,0
0.15124,0.07562,1713.00204,-1712.98861,0.32,0,190.81104,3.37953838e-05,9163,0,0,0,0
0.15156,0.07578,1716.3175,-1716.31705,0.32,0,191.096668,3.14389633e-05,9163,0,0,0,0
0.15188,0.07594,1719.64019,-1719.64147,0.64,0,191.39099,3.20288695e-05,9163,0,0,0,0
