# ADR90 WP-A2 tau=0 band, build a6a53948ef316f7eb6662ea09f2e1fb52d2b607f (expected a6a53948ef316f7eb6662ea09f2e1fb52d2b607f), leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s,implex_err_avg,implex_refusals,guard_floor,guard_f0,guard_hold,guard_res,guard_ctlf
0.01428,0.00714,196.099581,-198.88086,0.32,0,28.4625349,0.00386587698,168,0,0,0,1568,540
0.0146,0.0073,201.371853,-204.764634,0.32,0,28.8194091,0.00427564995,168,0,8,0,1568,108
0.01492,0.00746,206.639815,-210.240217,0.32,1,29.6673894,0.00417607255,176,0,0,0,7904,543
0.01508,0.00754,204.187104,-208.076668,0.16,0,30.6546149,0.00354092645,188,0,16,0,11072,652
0.01524,0.00762,204.977674,-208.407151,0.16,0,30.9043381,0.00301328215,188,0,64,0,1568,596
0.0154,0.0077,206.506828,-209.705632,0.16,0,31.1202364,0.00280295877,188,0,44,0,1568,352
0.01556,0.00778,208.258938,-211.38516,0.16,0,31.3503618,0.00269981172,188,0,0,0,1568,308
0.01572,0.00786,210.110563,-213.201924,0.16,0,31.5768557,0.00263727463,188,0,0,0,1568,284
0.01588,0.00794,212.021274,-215.086252,0.32,0,31.7897887,0.00260035383,188,0,0,0,1568,284
0.0162,0.0081,220.787712,-224.042355,0.32,0,32.1253941,0.00392705907,188,0,0,0,1568,568
0.01652,0.00826,226.278774,-230.225206,0.32,0,32.4687815,0.00434567191,188,0,8,0,1568,112
0.01684,0.00842,231.072603,-235.38045,0.32,0,32.8465793,0.00450689767,188,0,0,0,1568,200
0.01716,0.00858,235.664328,-240.166585,0.32,0,33.2329586,0.0046120238,188,0,0,0,1568,250
0.01748,0.00874,241.129632,-245.57127,0.32,1,34.1051371,0.00427748189,196,0,0,0,7904,804
0.0178,0.0089,245.835089,-250.475847,0.64,1,35.0545156,0.00437447943,204,0,0,0,7904,666
0.01796,0.00898,242.316562,-247.182539,0.16,0,36.7773948,0.00390493396,228,0,0,0,20576,2333
0.01812,0.00906,242.538472,-246.802774,0.16,0,37.0759096,0.00328285853,228,0,64,0,1568,777
0.01828,0.00914,243.766051,-247.741206,0.16,0,37.355334,0.00299210791,228,0,32,0,1568,404
0.01844,0.00922,245.346722,-249.187403,0.16,0,37.6113269,0.00284689407,228,0,4,0,1568,344
0.0186,0.0093,247.086005,-250.843946,0.16,0,37.8817325,0.00274841584,228,0,0,0,1568,304
0.01876,0.00938,248.907903,-252.605156,0.32,0,38.1498847,0.00268196007,228,0,4,0,1568,284
0.01908,0.00954,258.066432,-261.928605,0.32,0,38.4927504,0.00395457629,228,0,0,0,1568,576
0.0194,0.0097,263.642681,-268.262302,0.32,0,38.8370447,0.00436107432,228,0,16,0,1568,108
0.01972,0.00986,268.476851,-273.469815,0.32,0,39.2552471,0.00450705079,228,0,4,0,1568,192
0.02004,0.01002,273.136772,-278.307266,0.32,0,39.6700592,0.00460926085,228,0,0,0,1568,252
0.02036,0.01018,277.663994,-282.963726,0.32,0,40.1050234,0.00467208582,228,0,0,0,1568,276
0.02068,0.01034,282.084054,-287.508768,0.64,0,40.4598138,0.00471384817,228,0,0,0,1568,284
0.021,0.0105,286.424253,-291.969979,0.32,0,41.2634394,0.00474362732,240,0,0,0,11072,2168
0.02132,0.01066,290.709689,-296.367454,0.32,0,41.6009879,0.00476427703,240,0,0,0,1568,292
0.02164,0.01082,294.953896,-300.714554,0.32,0,41.9577479,0.00477625155,240,0,0,0,1568,288
0.02196,0.01098,299.168102,-305.024645,0.32,0,42.2840662,0.00478540732,240,0,0,0,1568,292
0.02228,0.01114,303.359035,-309.303892,0.32,0,42.627527,0.00478970175,240,0,0,0,1568,294
0.0226,0.0113,307.532599,-313.559532,0.64,0,42.9434779,0.00479245294,240,0,0,0,1568,292
0.02276,0.01138,304.225989,-310.264777,0.16,0,43.9799721,0.00396544338,264,0,0,0,20576,2808
0.02292,0.01146,304.375529,-309.673964,0.16,0,44.2332869,0.00339096039,264,0,124,0,1568,676
0.02308,0.01154,305.476389,-310.46216,0.16,0,44.4753718,0.00310556896,264,0,112,0,1568,412
0.02324,0.01162,306.959065,-311.77069,0.16,0,44.7272797,0.00295112438,264,0,4,0,1568,366
0.0234,0.0117,308.621057,-313.315719,0.16,0,44.9556675,0.0028429863,264,0,4,0,1568,304
0.02356,0.01178,310.379963,-314.984666,0.32,0,45.1734049,0.00276340425,264,0,0,0,1568,300
0.02372,0.01186,312.201432,-316.731975,0.16,0,45.6700132,0.00270502067,276,0,0,0,11072,2151
0.02388,0.01194,314.070151,-318.537032,0.16,0,45.8796883,0.00266222298,276,0,0,0,1568,292
0.02404,0.01202,315.974001,-320.385859,0.16,0,46.1129768,0.00263074136,276,0,0,0,1568,292
0.0242,0.0121,317.904272,-322.267988,0.16,0,46.34973,0.00260852848,276,0,0,0,1568,292
0.02436,0.01218,319.854402,-324.174543,0.16,0,46.5807681,0.0025943036,276,0,4,0,1568,289
0.02452,0.01226,321.820533,-326.101615,0.32,0,46.7930925,0.00258202596,276,0,4,0,1568,291
0.02484,0.01242,331.714434,-336.239624,0.32,0,47.0797658,0.00379842165,276,0,0,0,1568,592
0.02516,0.01258,337.786616,-343.201268,0.32,0,47.3930075,0.00425336385,276,0,12,0,1568,96
0.02548,0.01274,343.002582,-348.835652,0.32,0,47.7006974,0.0044411461,276,0,0,0,1568,196
0.02564,0.01282,340.241787,-345.930911,0.16,0,48.2759175,0.00366478035,288,0,0,0,11072,876
0.0258,0.0129,340.636052,-345.662473,0.16,0,48.5234642,0.003169979,288,0,128,0,1568,583
0.02596,0.01298,341.875194,-346.607294,0.16,0,48.7564976,0.00292276212,288,0,56,0,1568,432
0.02612,0.01306,343.430565,-348.029307,0.16,0,48.9692874,0.00279303979,288,0,4,0,1568,388
0.02628,0.01314,345.140647,-349.664261,0.16,0,49.1702285,0.00270716018,288,0,0,0,1568,327
0.02644,0.01322,346.939365,-351.405861,0.32,0,49.3707862,0.0026513621,288,0,0,0,1568,316
0.02676,0.01338,356.973557,-361.648806,0.32,0,49.6858785,0.00385029789,288,0,0,0,1568,644
0.02708,0.01354,363.022366,-368.576907,0.32,0,49.9814465,0.00427249127,288,0,12,0,1568,104
0.0274,0.0137,368.177473,-374.151642,0.32,0,50.3111093,0.00443244583,288,0,4,0,1568,188
0.02772,0.01386,373.108711,-379.272854,0.32,0,50.6167045,0.00455117195,288,0,0,0,1568,264
0.02804,0.01402,377.864925,-384.159236,0.32,0,50.915242,0.00462263685,288,0,0,0,1568,284
0.02836,0.01418,382.475492,-388.896079,0.64,0,51.2384202,0.00466912073,288,0,0,0,1568,296
0.02868,0.01434,386.982947,-393.52491,0.32,0,51.9954796,0.0047017209,300,0,0,0,11072,2293
0.029,0.0145,391.412731,-398.070116,0.32,0,52.2984066,0.00472307663,300,0,0,0,1568,292
0.02916,0.01458,387.665176,-394.162537,0.16,0,52.854239,0.00393775198,312,0,0,0,11080,948
0.02932,0.01466,387.499739,-393.264571,0.16,0,53.0998628,0.00339034898,312,0,197,0,1568,746
0.02948,0.01474,388.387899,-393.813641,0.16,0,53.3488455,0.00308586038,312,0,74,0,1568,455
0.02964,0.01482,389.727484,-394.971552,0.16,0,53.5658829,0.00292213435,312,0,16,0,1568,396
0.0298,0.0149,391.29426,-396.420915,0.16,0,53.7900305,0.00280899962,312,0,4,0,1568,336
0.02996,0.01498,392.985067,-398.018917,0.32,0,54.0214331,0.00272533002,312,0,4,0,1568,308
0.03028,0.01514,403.437612,-408.599746,0.32,0,54.2927961,0.00384302424,312,0,4,0,1568,668
0.0306,0.0153,409.664174,-415.723207,0.32,0,54.5805857,0.00428311814,312,0,12,0,1568,104
0.03092,0.01546,414.876134,-421.373755,0.32,0,54.87819,0.00442016138,312,0,8,0,1568,188
0.03124,0.01562,419.863359,-426.53656,0.32,0,55.1942921,0.00452101814,312,0,0,0,1568,272
0.03156,0.01578,424.678744,-431.464436,0.32,0,55.5066719,0.00459806292,312,0,0,0,1568,288
0.03188,0.01594,429.347755,-436.239731,0.64,0,55.8295712,0.00464322805,312,0,0,0,1568,300
0.0322,0.0161,433.906801,-440.902823,0.32,0,56.5970154,0.00467195974,324,0,0,0,11072,2338
0.03252,0.01626,438.384044,-445.481252,0.32,0,56.9071138,0.00469220712,324,0,0,0,1568,309
0.03284,0.01642,442.800876,-449.991348,0.32,0,57.2347052,0.00470526114,324,0,0,0,1568,304
0.03316,0.01658,447.172859,-454.45044,0.32,0,57.5467887,0.00471395893,324,0,0,0,1568,306
0.03348,0.01674,451.510787,-458.867921,0.32,0,57.8511233,0.00471885745,324,0,0,0,1568,308
0.0338,0.0169,455.820309,-463.251559,0.64,0,58.1701517,0.00472079141,324,0,0,0,1568,311
0.03412,0.01706,460.110097,-467.60878,0.32,0,58.966002,0.00471981626,336,0,0,0,11072,2363
0.03444,0.01722,464.382187,-471.945784,0.32,0,59.2802672,0.00471785485,336,0,0,0,1568,308
0.03476,0.01738,468.640299,-476.262104,0.32,0,59.6239414,0.00471315462,336,0,0,0,1568,310
0.03508,0.01754,472.886219,-480.565028,0.32,0,59.947139,0.00470835458,336,0,0,0,1568,308
0.0354,0.0177,477.120953,-484.852292,0.32,0,60.2761045,0.00470263245,336,0,0,0,1568,309
0.03572,0.01786,481.347361,-489.128992,0.64,0,60.5805931,0.00469748844,336,0,0,0,1568,309
0.03604,0.01802,485.565291,-493.394352,0.32,0,61.2780623,0.00469084246,348,0,0,0,11072,2361
0.03636,0.01818,489.77567,-497.648997,0.32,0,61.5869071,0.00468526518,348,0,0,0,1568,310
0.03668,0.01834,493.979917,-501.896258,0.32,0,61.9236963,0.00467892567,348,0,0,0,1568,308
0.037,0.0185,498.177262,-506.133955,0.32,0,62.2522473,0.004671953,348,0,0,0,1568,309
0.03732,0.01866,502.369777,-510.365403,0.32,0,62.6192605,0.0046656465,348,0,0,0,1568,308
0.03764,0.01882,506.556845,-514.589048,0.64,0,62.9630911,0.00465940216,348,0,0,0,1568,310
0.03796,0.01898,510.739227,-518.806686,0.32,0,63.7258675,0.00465325888,360,0,0,0,11072,2354
0.03828,0.01914,514.916579,-523.017737,0.32,0,64.0353792,0.00464693063,360,0,0,0,1568,309
0.0386,0.0193,519.09027,-527.223017,0.32,0,64.369211,0.00464035522,360,0,0,0,1568,308
0.03892,0.01946,523.259637,-531.423837,0.32,0,64.6829762,0.00463381413,360,0,0,0,1568,307
0.03924,0.01962,527.426241,-535.61887,0.32,0,64.9918001,0.00462715454,360,0,0,0,1568,307
0.03956,0.01978,531.587722,-539.809525,0.64,0,65.2968221,0.00462095637,360,0,0,0,1568,300
0.03988,0.01994,535.746718,-543.995738,0.32,0,66.0566156,0.00461391526,372,0,0,0,11072,2340
0.0402,0.0201,539.902322,-548.177627,0.32,0,66.3944511,0.00460778105,372,0,0,0,1568,301
0.04052,0.02026,544.055328,-552.355375,0.32,0,66.7255025,0.00460132667,372,0,0,0,1568,301
0.04084,0.02042,548.204996,-556.529881,0.32,0,67.0285237,0.00459384045,372,0,0,0,1568,300
0.04116,0.02058,552.351736,-560.700356,0.32,0,67.3462441,0.00458752308,372,0,0,0,1568,300
0.04148,0.02074,556.495614,-564.867053,0.64,0,67.6672873,0.00458175053,372,0,0,0,1568,302
0.0418,0.0209,560.63718,-569.029968,0.32,0,68.4800029,0.00457494256,384,0,0,0,11072,2347
0.04212,0.02106,564.775202,-573.190874,0.32,0,68.7877889,0.00456893222,384,0,0,0,1568,300
0.04244,0.02122,568.912151,-577.3479,0.32,0,69.1106975,0.00456294061,384,0,0,0,1568,300
0.04276,0.02138,573.045446,-581.501788,0.32,0,69.4275994,0.00455717623,384,0,0,0,1568,300
0.04308,0.02154,577.17668,-585.653053,0.32,0,69.7516611,0.00455095011,384,0,0,0,1568,300
0.0434,0.0217,581.306205,-589.801095,0.64,0,70.0356174,0.00454504754,384,0,0,0,1568,301
0.04372,0.02186,585.433071,-593.947528,0.32,0,70.7525628,0.00453880013,396,0,0,0,11072,2355
0.04404,0.02202,589.557971,-598.08976,0.32,0,71.0791245,0.00453286876,396,0,0,0,1568,302
0.04436,0.02218,593.680145,-602.230595,0.32,0,71.3631685,0.00452701049,396,0,0,0,1568,301
0.04468,0.02234,597.800771,-606.368808,0.32,0,71.6685808,0.00452127757,396,0,0,0,1568,301
0.045,0.0225,601.919358,-610.503743,0.32,0,71.9870298,0.0045155485,396,0,0,0,1568,300
0.04532,0.02266,606.035808,-614.638099,0.64,0,72.2795765,0.00451003108,396,0,0,0,1568,300
0.04564,0.02282,610.150701,-618.768139,0.32,0,72.9984126,0.00450449496,408,0,0,0,11072,2380
0.04596,0.02298,614.263779,-622.897789,0.32,0,73.3486018,0.00449901495,408,0,0,0,1568,302
0.04628,0.02314,618.152018,-627.182371,0.32,0,73.6447029,0.00454331849,408,0,0,0,1568,302
0.0466,0.0233,622.285272,-631.35881,0.32,0,73.9524734,0.00452045369,408,0,0,0,1568,299
0.04692,0.02346,626.387533,-635.506061,0.32,0,74.2480822,0.00451968934,408,0,0,0,1568,301
0.04724,0.02362,630.50225,-639.642485,0.64,0,74.5638287,0.00451290147,408,0,0,0,1568,303
0.04756,0.02378,634.623144,-643.776813,0.32,0,75.2721882,0.00450597971,420,0,0,0,11072,2365
0.04788,0.02394,638.744627,-647.911586,0.32,0,75.6157086,0.00450130094,420,0,0,0,1568,304
0.0482,0.0241,642.865467,-652.046236,0.32,0,75.9224014,0.00449410587,420,0,0,0,1568,305
0.04852,0.02426,646.983842,-656.180328,0.32,0,76.2602935,0.00448842172,420,0,0,0,1568,306
0.04884,0.02442,651.100868,-660.311152,0.32,0,76.5522332,0.00448227642,420,0,0,0,1568,304
0.04916,0.02458,655.214314,-664.441492,0.64,0,76.8714435,0.00447757066,420,0,0,0,1568,306
0.04948,0.02474,659.326701,-668.567638,0.32,0,78.1278312,0.00447159484,432,0,0,0,11072,2395
0.0498,0.0249,663.435715,-672.692213,0.32,0,78.458806,0.00446735649,432,0,0,0,1568,306
0.05012,0.02506,667.542794,-676.813697,0.32,0,78.7637918,0.00446111863,432,0,0,0,1568,305
0.05044,0.02522,671.647155,-680.933049,0.32,0,79.0531311,0.00445642984,432,0,0,0,1568,305
0.05076,0.02538,675.749523,-685.049155,0.32,0,79.4027057,0.00445027606,432,0,0,0,1568,305
0.05108,0.02554,679.850526,-689.164418,0.64,0,79.69313,0.0044450875,432,0,0,0,1568,305
0.0514,0.0257,683.948147,-693.276419,0.32,0,80.8685198,0.00443999841,444,0,0,0,11072,2397
0.05172,0.02586,688.044773,-697.386775,0.32,0,81.1532791,0.00443530695,444,0,0,0,1568,306
0.05204,0.02602,692.138555,-701.494027,0.32,0,81.4563742,0.00443014723,444,0,0,0,1568,306
0.05236,0.02618,696.231751,-705.600841,0.32,0,81.7833691,0.00442491487,444,0,0,0,1568,305
0.05268,0.02634,700.322517,-709.705047,0.32,0,82.0666771,0.00441999611,444,0,0,0,1568,305
0.053,0.0265,704.41128,-713.806679,0.64,0,82.3984301,0.00441494308,444,0,0,0,1568,308
0.05332,0.02666,708.498272,-717.907503,0.32,0,83.5305009,0.00440992144,456,0,0,0,11072,2400
0.05364,0.02682,712.583964,-722.005933,0.32,0,83.845742,0.0044053409,456,0,0,0,1568,305
0.05396,0.02698,716.667333,-726.102675,0.32,0,84.1776152,0.00440002872,456,0,0,0,1568,305
0.05428,0.02714,720.749863,-730.197378,0.32,0,84.4668398,0.00439585886,456,0,0,0,1568,306
0.0546,0.0273,724.830617,-734.291447,0.32,0,84.7874074,0.00439034959,456,0,0,0,1568,305
