s_m,s_meas_m,R_kN,q_kPa,q_over_qVesic,ds_mm,wall_s,p_exc_kPa
0.0320625,0.0320625,2658.65915,664.664788,1.04264847,0.025,8945.56282,0.035721183
0.0320875,0.0320875,2659.74411,664.936027,1.04307396,0.025,8967.65885,0.0357438507
0.0321125,0.0321125,2660.8279,665.206976,1.04349899,0.025,8989.64851,0.0357665197
0.0321375,0.0321375,2661.91057,665.477643,1.04392359,0.05,9013.0935,0.0357891932
0.0321625,0.0321625,2662.99205,665.748011,1.04434771,0.025,9078.43041,0.0358118401
0.0321875,0.0321875,2664.07305,666.018263,1.04477165,0.025,9104.40258,0.035834542
0.0322125,0.0322125,2665.15302,666.288254,1.04519518,0.025,9129.96974,0.0358571978
0.0322375,0.0322375,2666.23217,666.558042,1.04561839,0.025,9151.53194,0.0358798729
0.0322625,0.0322625,2667.31069,666.827673,1.04604135,0.05,9179.99173,0.0359025275
0.0322875,0.0322875,2668.38896,667.097241,1.04646422,0.025,9250.62349,0.0359252417
0.0323125,0.0323125,2669.46623,667.366558,1.04688669,0.025,9274.07821,0.0359478897
0.0323375,0.0323375,2670.54292,667.635729,1.04730894,0.025,9297.30664,0.0359705245
0.0323625,0.0323625,2671.61877,667.904692,1.04773086,0.025,9322.0104,0.0359931754
0.0323875,0.0323875,2672.6942,668.173551,1.04815261,0.05,9343.66033,0.0360158227
0.0324125,0.0324125,2673.76891,668.442228,1.04857408,0.025,9406.88015,0.0360384528
0.0324375,0.0324375,2674.84298,668.710745,1.0489953,0.025,9428.07206,0.0360610881
0.0324625,0.0324625,2675.91624,668.979061,1.0494162,0.025,9453.87083,0.0360837123
0.0324875,0.0324875,2676.98884,669.247211,1.04983684,0.025,9476.57507,0.0361063188
0.0325125,0.0325125,2678.06069,669.515172,1.05025719,0.05,9500.74798,0.0361289243
0.0325375,0.0325375,2679.13215,669.783037,1.05067738,0.025,9563.84363,0.0361515735
0.0325625,0.0325625,2680.2027,670.050674,1.05109722,0.025,9590.99299,0.0361741391
0.0325875,0.0325875,2681.27259,670.318148,1.0515168,0.025,9611.77888,0.0361967478
0.0326125,0.0326125,2682.34208,670.58552,1.05193623,0.025,9636.8877,0.0362193923
