s_m,s_meas_m,R_kN,q_kPa,q_over_qVesic,ds_mm,wall_s,p_exc_kPa
0.14089375,0.14089375,523.807587,130.951897,0.205422038,0.4,6952.23465,64.3815352
0.14129375,0.14129375,523.860289,130.965072,0.205442706,0.4,6969.68347,64.3338751
0.14169375,0.14169375,523.91277,130.978192,0.205463287,0.4,6987.37865,64.2862011
0.14209375,0.14209375,523.965394,130.991349,0.205483925,0.4,7008.11084,64.2385505
0.14249375,0.14249375,524.018268,131.004567,0.205504661,0.4,7024.22251,64.1909413
0.14289375,0.14289375,524.07124,131.01781,0.205525435,0.4,7040.98661,64.1433551
0.14329375,0.14329375,524.124153,131.031038,0.205546186,0.4,7055.82309,64.095772
0.14369375,0.14369375,524.177134,131.044284,0.205566963,0.4,7072.51646,64.0482044
0.14409375,0.14409375,524.230355,131.057589,0.205587835,0.4,7087.692,64.0006736
0.14449375,0.14449375,524.283861,131.070965,0.205608818,0.4,7101.85949,63.9531867
0.14489375,0.14489375,524.337366,131.084342,0.205629802,0.4,7119.37767,63.9057212
0.14529375,0.14529375,524.389283,131.097321,0.205650162,0.4,7144.09103,63.8580999
0.14549375,0.14549375,524.415707,131.103927,0.205660525,0.2,7179.63562,63.8340379
0.14569375,0.14569375,524.442097,131.110524,0.205670874,0.2,7193.27014,63.8100662
0.14589375,0.14589375,524.46851,131.117127,0.205681232,0.2,7208.00149,63.7861575
0.14609375,0.14609375,524.494526,131.123631,0.205691435,0.2,7223.91125,63.7622636
0.14619375,0.14619375,524.5076,131.1269,0.205696562,0.1,7259.29054,63.7502422
0.14629375,0.14629375,524.520698,131.130175,0.205701699,0.1,7272.48727,63.7382459
0.14639375,0.14639375,524.533805,131.133451,0.205706839,0.1,7284.21892,63.726269
0.14649375,0.14649375,524.546924,131.136731,0.205711984,0.1,7297.54571,63.7143089
0.14659375,0.14659375,524.56004,131.14001,0.205717128,0.2,7313.81834,63.7023611
0.14679375,0.14679375,524.585922,131.14648,0.205727278,0.2,7327.11845,63.6786174
0.14699375,0.14699375,524.611757,131.152939,0.20573741,0.2,7339.18118,63.6548494
0.14719375,0.14719375,524.63762,131.159405,0.205747552,0.2,7350.81555,63.6310737
0.14739375,0.14739375,524.663546,131.165887,0.20575772,0.2,7364.21194,63.6072995
0.14759375,0.14759375,524.689569,131.172392,0.205767925,0.4,7379.08997,63.5835336
0.14799375,0.14799375,524.740523,131.185131,0.205787908,0.4,7393.84444,63.5363592
