# ladrunoBranch census, one row per sampling station (tet10 family, ADR-95 P3). SAME column layout as quad_path_diag.py's qpd_<tag>_branch.csv.
# station = cadence (every 50 converged steps once ds < 5 mm).
s_over_B,q_kPa,s_min_rel,cond,lam_min_sym_rel,n_gp_seen,n_gp_empty,n_branch0,n_branch1,n_branch2,n_branch3,n_forced,detAmin_min,n_detAmin_nonpos,I1_min,gamma0_max,gamma1_max,lowdet1_ele,lowdet1_gp,lowdet1_val,lowdet1_x,lowdet1_z,lowdet2_ele,lowdet2_gp,lowdet2_val,lowdet2_x,lowdet2_z,lowdet3_ele,lowdet3_gp,lowdet3_val,lowdet3_x,lowdet3_z,lowdet4_ele,lowdet4_gp,lowdet4_val,lowdet4_x,lowdet4_z,lowdet5_ele,lowdet5_gp,lowdet5_val,lowdet5_x,lowdet5_z,corner1_ele,corner1_gp,corner1_x,corner1_z,corner2_ele,corner2_gp,corner2_x,corner2_z,corner3_ele,corner3_gp,corner3_x,corner3_z,corner4_ele,corner4_gp,corner4_x,corner4_z,corner5_ele,corner5_gp,corner5_x,corner5_z
0.0735,144.338188,0.000264801012,47768.5393,-0.0143887898,4800,0,3535,1265,0,0,0,-0.0775512798,1142,-334.545961,7.32646743e-08,0,1008,1,-0.0775512798,6.47005351,-3.25,1156,4,-0.0773975609,2.31926714,-0.25,474,3,-0.0748127582,-3.68479425,-1.25,1045,4,-0.0746684423,2.31926714,-2.75,660,1,-0.074434736,0.75,-0.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0785,144.359259,0.000261693909,48373.9813,-0.0142737875,4800,0,3455,1345,0,0,0,-0.0775942686,1203,-334.569829,8.20309894e-08,0,1008,1,-0.0775942686,6.47005351,-3.25,1156,4,-0.077382817,2.31926714,-0.25,474,3,-0.0748069056,-3.68479425,-1.25,1045,4,-0.0747129425,2.31926714,-2.75,323,3,-0.0746643291,-1.49999999,-4.64451689,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0835,144.378468,0.000274025423,46152.9634,-0.0135967234,4800,0,3559,1241,0,0,0,-0.0774176462,1118,-334.592788,6.04123977e-08,0,1008,1,-0.0774176462,6.47005351,-3.25,1156,4,-0.077371898,2.31926714,-0.25,474,3,-0.0747988219,-3.68479425,-1.25,1045,4,-0.0747541917,2.31926714,-2.75,660,1,-0.0744423922,0.75,-0.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0885,144.395377,0.000263241581,48079.88,-0.0147347322,4800,0,3507,1293,0,0,0,-0.077364228,1163,-334.611676,5.3183006e-08,0,1156,4,-0.077364228,2.31926714,-0.25,1008,1,-0.0770639058,6.47005351,-3.25,474,3,-0.0747908458,-3.68479425,-1.25,1045,4,-0.0747890445,2.31926714,-2.75,660,1,-0.0744511431,0.75,-0.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0935,144.410233,0.000278465591,45415.1019,-0.00996066857,4800,0,3572,1228,0,0,0,-0.0773554803,1124,-334.629826,9.39359765e-08,0,1156,4,-0.0773554803,2.31926714,-0.25,1008,1,-0.0765603121,6.47005351,-3.25,530,4,-0.0764551762,-2.63853417,-0.5,474,3,-0.0747829711,-3.68479425,-1.25,358,1,-0.0747823604,-6.47005344,-3.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0985,144.423422,0.000272409431,46441.6777,-0.0137177391,4800,0,3545,1255,0,0,0,-0.0773459118,1139,-334.648009,1.1287169e-07,0,1156,4,-0.0773459118,2.31926714,-0.25,1008,1,-0.0759329383,6.47005351,-3.25,358,1,-0.0753004021,-6.47005344,-3.25,1045,4,-0.0748431911,2.31926714,-2.75,474,3,-0.0747738799,-3.68479425,-1.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.1035,144.434346,0.000242866901,52131.9819,-0.0152370895,4800,0,3390,1410,0,0,0,-0.0773420128,1296,-334.659223,8.11082511e-08,0,1156,4,-0.0773420128,2.31926714,-0.25,530,4,-0.0764501751,-2.63853417,-0.5,323,3,-0.0759450822,-1.49999999,-4.64451689,358,1,-0.0757504389,-6.47005344,-3.25,1008,1,-0.0752053588,6.47005351,-3.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.1085,144.444592,0.000240769637,52621.0083,-0.0148575501,4800,0,3361,1439,0,0,0,-0.0773356347,1314,-334.67086,7.93134775e-08,0,1156,4,-0.0773356347,2.31926714,-0.25,530,4,-0.0764471009,-2.63853417,-0.5,358,1,-0.0761382112,-6.47005344,-3.25,323,3,-0.076108718,-1.49999999,-4.64451689,1059,4,-0.074958354,6.47005351,-2.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.1135,144.453745,0.000281020861,45027.6957,-0.00879212377,4800,0,3561,1239,0,0,0,-0.0773326655,1119,-334.681541,5.19673846e-08,0,1156,4,-0.0773326655,2.31926714,-0.25,358,1,-0.0764753755,-6.47005344,-3.25,530,4,-0.0764450706,-2.63853417,-0.5,1059,4,-0.0752591772,6.47005351,-2.75,631,4,-0.075048726,0.25,-2.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.1185,144.462255,0.000270436484,46798.2671,-0.00953471826,4800,0,3487,1313,0,0,0,-0.0773294266,1206,-334.690077,6.67617743e-08,0,1156,4,-0.0773294266,2.31926714,-0.25,358,1,-0.0767745805,-6.47005344,-3.25,530,4,-0.076440064,-2.63853417,-0.5,1059,4,-0.075523082,6.47005351,-2.75,631,4,-0.0749660275,0.25,-2.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.1235,144.469569,0.000265310391,47669.6864,-0.0160794001,4800,0,3435,1365,0,0,0,-0.0773909038,1244,-334.694124,1.17737824e-07,0,482,2,-0.0773909038,-1.49999999,-1.5,358,1,-0.0770384585,-6.47005344,-3.25,323,3,-0.0764602234,-1.49999999,-4.64451689,530,4,-0.076433988,-2.63853417,-0.5,1059,4,-0.0757526775,6.47005351,-2.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.1285,144.47588,0.000264391924,47828.1154,-0.0162179178,4800,0,3468,1332,0,0,0,-0.0772683215,1223,-334.700825,1.02282972e-07,0,358,1,-0.0772683215,-6.47005344,-3.25,323,3,-0.0765507655,-1.49999999,-4.64451689,530,4,-0.0764275135,-2.63853417,-0.5,1059,4,-0.0759534507,6.47005351,-2.75,631,4,-0.0748291347,0.25,-2.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.1335,144.481779,0.000258083826,49036.486,-0.0160901991,4800,0,3405,1395,0,0,0,-0.0774723527,1283,-334.704312,8.57961281e-08,0,358,1,-0.0774723527,-6.47005344,-3.25,323,3,-0.0766296898,-1.49999999,-4.64451689,530,4,-0.0764243251,-2.63853417,-0.5,1059,4,-0.0761309597,6.47005351,-2.75,619,4,-0.0750164143,0.25,-3.75000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.1385,144.487353,0.000259751294,48714.6922,-0.0162156759,4800,0,3402,1398,0,0,0,-0.0776579894,1281,-334.708604,8.588717e-08,0,358,1,-0.0776579894,-6.47005344,-3.25,323,3,-0.0766981019,-1.49999999,-4.64451689,530,4,-0.0764257057,-2.63853417,-0.5,1059,4,-0.0762878169,6.47005351,-2.75,474,3,-0.0747531208,-3.68479425,-1.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
