s_m,s_meas_m,R_kN,q_kPa,ds_mm,wall_s
0.0344,0.0344,3233.93687,808.484219,0.2,6761.17011
0.0346,0.0346,3240.09389,810.023472,0.2,6773.70056
0.0348,0.0348,3245.0106,811.25265,0.2,6786.96179
0.0349,0.0349,3246.60337,811.650843,0.1,6847.93093
0.035,0.035,3249.36359,812.340898,0.1,6862.59514
0.0351,0.0351,3252.35936,813.089839,0.1,6874.21056
0.0352,0.0352,3255.04719,813.761799,0.1,6885.92786
0.0353,0.0353,3257.57529,814.393823,0.1,6897.99774
0.0354,0.0354,3260.22998,815.057495,0.2,6910.43367
0.0356,0.0356,3266.25839,816.564596,0.2,6926.23865
0.0358,0.0358,3270.52953,817.632384,0.2,6940.42365
0.0359,0.0359,3272.40089,818.100223,0.1,7004.84233
0.036,0.036,3275.04729,818.761823,0.1,7019.35677
0.0361,0.0361,3277.95699,819.489247,0.1,7031.306
0.0362,0.0362,3280.59638,820.149095,0.1,7043.79327
0.0363,0.0363,3282.99463,820.748658,0.1,7059.32857
0.0364,0.0364,3285.58513,821.396282,0.2,7071.69011
0.0366,0.0366,3291.48968,822.87242,0.2,7086.46467
0.0368,0.0368,3295.42983,823.857457,0.2,7100.11979
0.0369,0.0369,3297.28815,824.322038,0.1,7164.40174
0.037,0.037,3299.89648,824.974119,0.1,7179.64658
0.0371,0.0371,3302.67478,825.668694,0.1,7192.3692
0.0372,0.0372,3305.3049,826.326226,0.1,7204.18935
0.0373,0.0373,3307.53816,826.88454,0.1,7217.04429
0.0374,0.0374,3310.13141,827.532852,0.2,7229.2273
0.0376,0.0376,3315.80859,828.952148,0.2,7240.41597
0.0378,0.0378,3319.5876,829.8969,0.2,7256.48237
0.0379,0.0379,3321.40901,830.352252,0.1,7297.44579
0.038,0.038,3324.73892,831.18473,0.1,7305.96214
0.0381,0.0381,3326.44604,831.611509,0.1,7314.72367
0.0382,0.0382,3329.50904,832.377261,0.1,7322.49278
