s_m,s_meas_m,R_kN,q_kPa,q_over_qVesic,ds_mm,wall_s
0.068175,0.068175,5780.5351,1445.13377,2.26695704,0.2,2779.45054
0.068375,0.068375,5790.74548,1447.68637,2.27096126,0.2,2788.5145
0.068575,0.068575,5800.94094,1450.23523,2.27495962,0.2,2798.29915
0.068775,0.068775,5811.12769,1452.78192,2.27895457,0.4,2808.13444
0.068975,0.068975,5821.2994,1455.32485,2.28294361,0.2,2836.86552
0.069175,0.069175,5831.4618,1457.86545,2.28692901,0.2,2843.40628
0.069375,0.069375,5841.60525,1460.40131,2.29090698,0.2,2850.40573
0.069575,0.069575,5851.73492,1462.93373,2.29487954,0.2,2857.94133
0.069775,0.069775,5861.85688,1465.46422,2.29884907,0.4,2864.66744
0.069975,0.069975,5871.97178,1467.99294,2.30281584,0.2,2892.23018
0.070175,0.070175,5882.07697,1470.51924,2.3067788,0.2,2897.85521
0.070375,0.070375,5892.16868,1473.04217,2.31073647,0.2,2904.78592
0.070575,0.070575,5902.24578,1475.56145,2.31468842,0.2,2911.9392
0.070775,0.070775,5912.30232,1478.07558,2.3186323,0.4,2920.4444
0.070975,0.070975,5922.35045,1480.58761,2.32257288,0.2,2947.48275
0.071175,0.071175,5932.37442,1483.0936,2.32650399,0.2,2955.20612
0.071375,0.071375,5942.38957,1485.59739,2.33043164,0.2,2962.9311
0.071575,0.071575,5952.39453,1488.09863,2.3343553,0.2,2970.69633
0.071775,0.071775,5962.38919,1490.5973,2.33827491,0.4,2978.55876
0.071975,0.071975,5972.37013,1493.09253,2.34218914,0.2,3006.27413
0.072175,0.072175,5982.33784,1495.58446,2.34609819,0.2,3014.04066
0.072375,0.072375,5992.29437,1498.07359,2.35000285,0.2,3020.56606
0.072575,0.072575,6002.24153,1500.56038,2.35390383,0.2,3027.1034
0.072775,0.072775,6012.17872,1503.04468,2.35780091,0.4,3033.63927
0.072975,0.072975,6022.09054,1505.52264,2.36168803,0.2,3063.61771
0.073175,0.073175,6031.98858,1507.99714,2.36556975,0.2,3072.72153
0.073375,0.073375,6041.87674,1510.46918,2.3694476,0.2,3080.39191
0.073575,0.073575,6051.75846,1512.93961,2.37332293,0.2,3088.06115
0.073775,0.073775,6061.63011,1515.40753,2.3771943,0.4,3096.47298
0.073975,0.073975,6071.47988,1517.86997,2.38105709,0.2,3125.98755
0.074175,0.074175,6081.3116,1520.3279,2.3849128,0.2,3133.65977
0.074375,0.074375,6091.13694,1522.78424,2.38876602,0.2,3141.40952
0.074575,0.074575,6100.95127,1525.23782,2.39261491,0.2,3148.5027
0.074775,0.074775,6110.74905,1527.68726,2.39645731,0.4,3155.83441
0.074975,0.074975,6120.53221,1530.13305,2.40029398,0.2,3186.41946
0.075075,0.075075,6125.42415,1531.35604,2.40221246,0.1,3215.68222
