s_m,s_meas_m,R_kN,q_kPa,q_over_qVesic,ds_mm,wall_s,p_exc_kPa
0.069675,0.069675,3288.73995,822.184987,1.28974776,0.4,6264.43474,0.089777298
0.069875,0.069875,3291.54847,822.887119,1.29084918,0.2,6338.63115,0.0899209993
0.069975,0.069975,3292.9502,823.23755,1.2913989,0.1,6414.68456,0.0899926538
0.070075,0.070075,3294.34957,823.587393,1.29194769,0.1,6436.95135,0.0900642048
0.070175,0.070175,3295.74606,823.936516,1.29249535,0.1,6478.94283,0.0901357161
0.070275,0.070275,3297.13952,824.284881,1.29304183,0.1,6520.19803,0.090207036
0.070375,0.070375,3298.53185,824.632962,1.29358786,0.2,6551.13352,0.0902783742
0.070575,0.070575,3301.30827,825.327068,1.29467669,0.2,6586.57971,0.0904206137
0.070775,0.070775,3304.07416,826.01854,1.29576139,0.2,6620.12772,0.0905623701
0.070975,0.070975,3306.83288,826.70822,1.29684328,0.2,6653.60684,0.0907037768
0.071175,0.071175,3309.58335,827.395838,1.29792193,0.2,6690.62105,0.0908447961
0.071375,0.071375,3312.32627,828.081567,1.29899763,0.4,6732.40279,0.0909853964
0.071775,0.071775,3317.77475,829.443689,1.30113436,0.4,6773.98536,0.091265333
0.071975,0.071975,3320.49095,830.122737,1.30219957,0.2,6867.86996,0.0914044825
0.072075,0.072075,3321.84456,830.46114,1.30273042,0.1,6960.58501,0.0914739695
0.072175,0.072175,3323.19501,830.798751,1.30326003,0.1,6993.52097,0.0915432577
0.072275,0.072275,3324.54565,831.136413,1.30378971,0.1,7036.52049,0.0916127497
0.072375,0.072375,3325.89408,831.473519,1.30431852,0.1,7079.35736,0.0916819522
0.072475,0.072475,3327.24078,831.810195,1.30484666,0.2,7113.6687,0.091751112
0.072575,0.072575,3328.5843,832.146074,1.30537355,0.1,7164.41129,0.09182007
0.072625,0.072625,3329.25537,832.313843,1.30563673,0.05,7222.40426,0.0918545646
0.072675,0.072675,3329.92495,832.481237,1.30589931,0.05,7249.34681,0.0918888384
0.072725,0.072725,3330.59529,832.648823,1.3061622,0.05,7274.18711,0.0919234354
0.072775,0.072775,3331.26458,832.816144,1.30642468,0.05,7298.78648,0.0919577739
0.0727875,0.0727875,3331.43189,832.857973,1.30649029,0.0125,7391.41219,0.0919663403
0.07279375,0.07279375,3331.51551,832.878877,1.30652308,0.00625,7446.46452,0.0919706353
