s_m,s_over_B,R_kN,q_kPa,ds_mm,relaxed,wall_s
0.2118,0.1059,138.59111,138.59111,0.5,0,1112.52143
0.21205,0.106025,138.592418,138.592418,0.25,0,1120.40782
0.2123,0.10615,138.591575,138.591575,0.25,0,1121.78563
0.21255,0.106275,138.591497,138.591497,0.25,0,1122.74251
0.2128,0.1064,138.590902,138.590902,0.25,0,1123.56672
0.21305,0.106525,138.592199,138.592199,0.25,0,1124.1198
0.2133,0.10665,138.591907,138.591907,0.5,0,1125.08638
0.21355,0.106775,138.592362,138.592362,0.25,0,1129.95883
0.2138,0.1069,138.592489,138.592489,0.25,0,1130.77702
0.21405,0.107025,138.592561,138.592561,0.25,0,1131.34431
0.2143,0.10715,138.591307,138.591307,0.25,0,1132.26012
0.21455,0.107275,138.592589,138.592589,0.25,0,1132.71273
0.2148,0.1074,138.59129,138.59129,0.5,0,1133.68137
0.21505,0.107525,138.59249,138.59249,0.25,0,1138.28149
0.2153,0.10765,138.592599,138.592599,0.25,0,1138.7616
0.21555,0.107775,138.591289,138.591289,0.25,0,1139.62902
0.2158,0.1079,138.590906,138.590906,0.25,0,1140.56084
0.21605,0.108025,138.592394,138.592394,0.25,0,1141.13795
0.2163,0.10815,138.592591,138.592591,0.5,0,1141.53704
0.21655,0.108275,138.592119,138.592119,0.25,0,1149.1191
0.2168,0.1084,138.59261,138.59261,0.25,0,1150.08459
0.21705,0.108525,138.592725,138.592725,0.25,0,1151.10827
0.2173,0.10865,138.592828,138.592828,0.25,0,1151.75895
0.21755,0.108775,138.592125,138.592125,0.25,0,1152.71256
0.2178,0.1089,138.592801,138.592801,0.5,0,1153.30813
0.21805,0.109025,138.592135,138.592135,0.25,0,1158.74155
0.2183,0.10915,138.591964,138.591964,0.25,0,1159.72467
0.21855,0.109275,138.591386,138.591386,0.25,0,1160.52503
0.2188,0.1094,138.591046,138.591046,0.25,0,1161.31974
0.21905,0.109525,138.590914,138.590914,0.25,0,1162.17877
0.2193,0.10965,138.591059,138.591059,0.5,0,1163.1586
0.21955,0.109775,138.590873,138.590873,0.25,0,1168.52228
0.2198,0.1099,138.592188,138.592188,0.25,0,1169.10071
0.22005,0.110025,138.590882,138.590882,0.25,0,1170.07525
0.2203,0.11015,138.592221,138.592221,0.25,0,1170.45267
0.22055,0.110275,138.591404,138.591404,0.25,0,1171.27222
0.2208,0.1104,138.590922,138.590922,0.5,0,1172.10267
0.22105,0.110525,138.59125,138.59125,0.25,0,1177.58414
0.2213,0.11065,138.59222,138.59222,0.25,0,1178.17232
0.22155,0.110775,138.592359,138.592359,0.25,0,1178.70619
0.2218,0.1109,138.592511,138.592511,0.25,0,1179.02339
0.22205,0.111025,138.592759,138.592759,0.25,0,1179.41717
0.2223,0.11115,138.59111,138.59111,0.5,0,1180.34033
0.22255,0.111275,138.592699,138.592699,0.25,0,1185.8261
0.2228,0.1114,138.592497,138.592497,0.25,0,1186.79062
0.22305,0.111525,138.592848,138.592848,0.25,0,1187.28738
0.2233,0.11165,138.591159,138.591159,0.25,0,1188.09773
0.22355,0.111775,138.591829,138.591829,0.25,0,1188.95369
0.2238,0.1119,138.592691,138.592691,0.5,0,1189.87757
0.22405,0.112025,138.591111,138.591111,0.25,0,1195.43545
0.2243,0.11215,138.591684,138.591684,0.25,0,1196.3581
0.22455,0.112275,138.592586,138.592586,0.25,0,1196.94509
0.2248,0.1124,138.591231,138.591231,0.25,0,1197.88311
0.22505,0.112525,138.591132,138.591132,0.25,0,1198.67268
0.2253,0.11265,138.592415,138.592415,0.5,0,1199.04636
0.22555,0.112775,138.591072,138.591072,0.25,0,1204.09356
0.2258,0.1129,138.59078,138.59078,0.25,0,1205.01517
0.22605,0.113025,138.591441,138.591441,0.25,0,1205.84083
0.2263,0.11315,138.592194,138.592194,0.25,0,1206.34863
0.22655,0.113275,138.592455,138.592455,0.25,0,1206.90877
0.2268,0.1134,138.592558,138.592558,0.5,0,1207.46794
0.22705,0.113525,138.591087,138.591087,0.25,0,1212.54298
0.2273,0.11365,138.592518,138.592518,0.25,0,1213.12263
0.22755,0.113775,138.592784,138.592784,0.25,0,1213.52202
0.2278,0.1139,138.591898,138.591898,0.25,0,1214.46544
0.22805,0.114025,138.591738,138.591738,0.25,0,1215.3638
0.2283,0.11415,138.592626,138.592626,0.5,0,1215.87688
0.22855,0.114275,138.591321,138.591321,0.25,0,1220.9496
0.2288,0.1144,138.592634,138.592634,0.25,0,1221.36513
0.22905,0.114525,138.591321,138.591321,0.25,0,1222.21522
0.2293,0.11465,138.59106,138.59106,0.25,0,1223.15029
0.22955,0.114775,138.592486,138.592486,0.25,0,1223.72093
0.2298,0.1149,138.592671,138.592671,0.5,0,1224.21878
0.23005,0.115025,138.592712,138.592712,0.25,0,1228.78331
0.2303,0.11515,138.593001,138.593001,0.25,0,1229.74907
0.23055,0.115275,138.592944,138.592944,0.25,0,1230.35919
0.2308,0.1154,138.593011,138.593011,0.25,0,1230.9575
0.23105,0.115525,138.591682,138.591682,0.25,0,1231.76832
0.2313,0.11565,138.592914,138.592914,0.5,0,1232.29
0.23155,0.115775,138.593014,138.593014,0.25,0,1238.57846
0.2318,0.1159,138.591749,138.591749,0.25,0,1239.63102
0.23205,0.116025,138.591364,138.591364,0.25,0,1240.66485
0.2323,0.11615,138.591598,138.591598,0.25,0,1241.75256
0.23255,0.116275,138.591606,138.591606,0.25,0,1242.6773
0.2328,0.1164,138.592541,138.592541,0.5,0,1243.53271
0.23305,0.116525,138.592024,138.592024,0.25,0,1251.82266
0.2333,0.11665,138.592676,138.592676,0.25,0,1252.41658
0.23355,0.116775,138.592789,138.592789,0.25,0,1252.85039
0.2338,0.1169,138.592123,138.592123,0.25,0,1253.67811
0.23405,0.117025,138.59281,138.59281,0.25,0,1254.19063
0.2343,0.11715,138.592957,138.592957,0.5,0,1254.71895
0.23455,0.117275,138.591294,138.591294,0.25,0,1260.27806
0.2348,0.1174,138.592803,138.592803,0.25,0,1260.85057
0.23505,0.117525,138.59143,138.59143,0.25,0,1261.67294
0.2353,0.11765,138.591803,138.591803,0.25,0,1262.53281
0.23555,0.117775,138.592643,138.592643,0.25,0,1262.99179
0.2358,0.1179,138.591424,138.591424,0.5,0,1263.796
0.23605,0.118025,138.592615,138.592615,0.25,0,1270.70213
0.2363,0.11815,138.591862,138.591862,0.25,0,1272.19583
0.23655,0.118275,138.591118,138.591118,0.25,0,1273.70859
0.2368,0.1184,138.592545,138.592545,0.25,0,1274.67797
0.23705,0.118525,138.592777,138.592777,0.25,0,1276.14114
0.2373,0.11865,138.592734,138.592734,0.5,0,1277.02928
0.23755,0.118775,138.593058,138.593058,0.25,0,1284.07024
0.2378,0.1189,138.591752,138.591752,0.25,0,1285.47788
0.23805,0.119025,138.593001,138.593001,0.25,0,1286.15655
0.2383,0.11915,138.5931,138.5931,0.25,0,1286.94322
0.23855,0.119275,138.593188,138.593188,0.25,0,1287.85487
0.2388,0.1194,138.591824,138.591824,0.5,0,1289.02348
0.23905,0.119525,138.593039,138.593039,0.25,0,1302.39688
0.2393,0.11965,138.593157,138.593157,0.25,0,1302.91884
0.23955,0.119775,138.591705,138.591705,0.25,0,1305.17781
0.2398,0.1199,138.592022,138.592022,0.25,0,1306.26355
0.24005,0.120025,138.592838,138.592838,0.25,0,1307.02124
0.2403,0.12015,138.59193,138.59193,0.5,0,1308.07025
0.24055,0.120275,138.592862,138.592862,0.25,0,1315.13455
0.2408,0.1204,138.591427,138.591427,0.25,0,1316.24849
0.24105,0.120525,138.59267,138.59267,0.25,0,1317.04925
0.2413,0.12065,138.591376,138.591376,0.25,0,1318.83471
0.24155,0.120775,138.592683,138.592683,0.25,0,1319.93557
0.2418,0.1209,138.59142,138.59142,0.5,0,1321.83977
0.24205,0.121025,138.592647,138.592647,0.25,0,1328.92524
0.2423,0.12115,138.591791,138.591791,0.25,0,1330.28669
0.24255,0.121275,138.591099,138.591099,0.25,0,1331.88817
0.2428,0.1214,138.59098,138.59098,0.25,0,1332.75979
0.24305,0.121525,138.590566,138.590566,0.25,0,1333.70254
0.2433,0.12165,138.590878,138.590878,0.5,0,1334.61982
0.24355,0.121775,138.592199,138.592199,0.25,0,1342.38436
0.2438,0.1219,138.590984,138.590984,0.25,0,1343.38251
0.24405,0.122025,138.592269,138.592269,0.25,0,1344.01747
0.2443,0.12215,138.591058,138.591058,0.25,0,1345.47354
0.24455,0.122275,138.590823,138.590823,0.25,0,1346.60811
0.2448,0.1224,138.592272,138.592272,0.5,0,1346.97724
0.24505,0.122525,138.590878,138.590878,0.25,0,1355.76758
0.2453,0.12265,138.592366,138.592366,0.25,0,1356.60436
0.24555,0.122775,138.592514,138.592514,0.25,0,1357.33701
0.2458,0.1229,138.592651,138.592651,0.25,0,1357.92879
0.24605,0.123025,138.592806,138.592806,0.25,0,1358.48475
0.2463,0.12315,138.5915,138.5915,0.5,0,1360.50222
