s_m,s_over_B,R_kN,q_kPa,ds_mm,relaxed,wall_s
0.05935,0.029675,158.625123,158.625123,0.025,0,1794.14245
0.059375,0.0296875,158.625201,158.625201,0.025,0,1794.71889
0.0594,0.0297,158.625223,158.625223,0.025,0,1795.2826
0.059425,0.0297125,158.6253,158.6253,0.025,0,1795.85806
0.05945,0.029725,158.625379,158.625379,0.05,0,1796.36707
0.059475,0.0297375,158.625527,158.625527,0.025,0,1799.1078
0.0595,0.02975,158.625522,158.625522,0.025,0,1799.69638
0.059525,0.0297625,158.625686,158.625686,0.025,0,1800.27834
0.05955,0.029775,158.625718,158.625718,0.025,0,1800.85426
0.059575,0.0297875,158.625792,158.625792,0.025,0,1801.37997
0.0596,0.0298,158.625815,158.625815,0.05,0,1801.96343
0.059625,0.0298125,158.625885,158.625885,0.025,0,1804.96348
0.05965,0.029825,158.626045,158.626045,0.025,0,1805.55113
0.059675,0.0298375,158.626084,158.626084,0.025,0,1806.06511
0.0597,0.02985,158.62611,158.62611,0.025,0,1806.69136
0.059725,0.0298625,158.626184,158.626184,0.025,0,1807.23784
0.05975,0.029875,158.62629,158.62629,0.05,0,1807.80008
0.059775,0.0298875,158.626332,158.626332,0.025,0,1810.84034
0.0598,0.0299,158.626405,158.626405,0.025,0,1811.33155
0.059825,0.0299125,158.626472,158.626472,0.025,0,1811.89897
0.05985,0.029925,158.626554,158.626554,0.025,0,1812.56836
0.059875,0.0299375,158.626709,158.626709,0.025,0,1813.30779
0.0599,0.02995,158.626701,158.626701,0.05,0,1814.08869
0.059925,0.0299625,158.626709,158.626709,0.025,0,1817.53924
0.05995,0.029975,158.626927,158.626927,0.025,0,1818.1478
0.059975,0.0299875,158.626921,158.626921,0.025,0,1818.76514
0.06,0.03,158.627045,158.627045,0.025,0,1819.52246
0.060025,0.0300125,158.627066,158.627066,0.025,0,1820.06578
0.06005,0.030025,158.62714,158.62714,0.05,0,1820.68304
0.060075,0.0300375,158.627262,158.627262,0.025,0,1824.02426
0.0601,0.03005,158.627334,158.627334,0.025,0,1824.86026
0.060125,0.0300625,158.627442,158.627442,0.025,0,1825.77624
0.06015,0.030075,158.627369,158.627369,0.025,0,1826.56696
0.060175,0.0300875,158.627435,158.627435,0.025,0,1827.27414
0.0602,0.0301,158.627627,158.627627,0.05,0,1828.01463
0.060225,0.0301125,158.627652,158.627652,0.025,0,1831.9174
0.06025,0.030125,158.627725,158.627725,0.025,0,1832.70199
0.060275,0.0301375,158.62772,158.62772,0.025,0,1833.51785
