s_m,s_over_B,R_kN,q_kPa,ds_mm,relaxed,wall_s
0.00708,0.00354,73.5849389,73.5849389,0.04,0,202.347015
0.00712,0.00356,73.7696864,73.7696864,0.04,0,202.665864
0.00716,0.00358,73.9543652,73.9543652,0.08,0,203.010343
0.0072,0.0036,74.1387702,74.1387702,0.04,0,208.098005
0.00724,0.00362,74.3230562,74.3230562,0.04,0,208.388982
0.00728,0.00364,74.5065463,74.5065463,0.04,0,208.66851
0.00732,0.00366,74.6888986,74.6888986,0.04,0,208.943869
0.00736,0.00368,74.8709925,74.8709925,0.04,0,209.209499
0.0074,0.0037,75.0528974,75.0528974,0.08,0,209.478758
0.00744,0.00372,75.2346594,75.2346594,0.04,0,215.423409
0.00748,0.00374,75.416203,75.416203,0.04,0,215.755355
0.0075,0.00375,75.5066478,75.5066478,0.02,0,221.699312
0.00752,0.00376,75.5975792,75.5975792,0.02,0,221.919551
0.00754,0.00377,75.6885364,75.6885364,0.02,0,222.105342
0.00756,0.00378,75.7794336,75.7794336,0.02,0,222.289424
0.00758,0.00379,75.8702236,75.8702236,0.02,0,222.509592
0.0076,0.0038,75.9608814,75.9608814,0.04,0,222.756215
0.00764,0.00382,76.1419253,76.1419253,0.04,0,223.026164
0.00768,0.00384,76.3226304,76.3226304,0.04,0,223.338996
0.00772,0.00386,76.5035967,76.5035967,0.04,0,223.683489
0.00776,0.00388,76.6856254,76.6856254,0.04,0,223.965036
0.0078,0.0039,76.8667387,76.8667387,0.04,0,224.809116
0.00784,0.00392,77.0477572,77.0477572,0.08,0,225.828374
0.00788,0.00394,77.228348,77.228348,0.04,0,231.168892
0.00792,0.00396,77.409916,77.409916,0.04,0,231.955253
0.00796,0.00398,77.5910613,77.5910613,0.04,0,232.778308
0.008,0.004,77.7722152,77.7722152,0.04,0,233.044771
0.00802,0.00401,77.8622526,77.8622526,0.02,0,239.928133
0.00804,0.00402,77.9525102,77.9525102,0.02,0,240.139766
0.00806,0.00403,78.042625,78.042625,0.02,0,240.366885
0.00808,0.00404,78.1324974,78.1324974,0.02,0,240.602993
0.0081,0.00405,78.2221069,78.2221069,0.02,0,240.850865
0.00812,0.00406,78.3115697,78.3115697,0.04,0,241.045959
0.00814,0.00407,78.400901,78.400901,0.02,0,246.217101
0.00816,0.00408,78.4901382,78.4901382,0.02,0,246.443822
0.00818,0.00409,78.5792374,78.5792374,0.02,0,246.664497
0.0082,0.0041,78.6682145,78.6682145,0.02,0,246.893716
0.00822,0.00411,78.7570913,78.7570913,0.02,0,247.125793
0.00824,0.00412,78.8458977,78.8458977,0.04,0,247.364905
0.00826,0.00413,78.9344907,78.9344907,0.02,0,252.655259
0.00828,0.00414,79.0229642,79.0229642,0.02,0,252.856432
0.0083,0.00415,79.1113115,79.1113115,0.02,0,253.041028
0.00832,0.00416,79.1995744,79.1995744,0.02,0,253.2778
0.00834,0.00417,79.2877061,79.2877061,0.02,0,253.528052
0.00836,0.00418,79.3757374,79.3757374,0.04,0,253.763159
0.00838,0.00419,79.4638383,79.4638383,0.02,0,259.816479
0.0084,0.0042,79.5521987,79.5521987,0.02,0,260.038289
0.00842,0.00421,79.6410316,79.6410316,0.02,0,260.253968
0.00844,0.00422,79.7297177,79.7297177,0.02,0,260.503988
0.00846,0.00423,79.8182687,79.8182687,0.02,0,260.738838
0.00848,0.00424,79.9067002,79.9067002,0.04,0,260.973086
0.0085,0.00425,79.9949471,79.9949471,0.02,0,265.987074
0.00852,0.00426,80.0826656,80.0826656,0.02,0,266.23318
0.00854,0.00427,80.1704931,80.1704931,0.02,0,266.453792
0.00856,0.00428,80.25817,80.25817,0.02,0,266.647881
0.00858,0.00429,80.3456846,80.3456846,0.02,0,266.881225
0.0086,0.0043,80.4331207,80.4331207,0.04,0,267.115992
0.00862,0.00431,80.5203868,80.5203868,0.02,0,272.82255
0.00864,0.00432,80.6075465,80.6075465,0.02,0,273.012706
0.00866,0.00433,80.6945637,80.6945637,0.02,0,273.197785
0.00868,0.00434,80.7815471,80.7815471,0.02,0,273.384985
0.0087,0.00435,80.8684747,80.8684747,0.02,0,273.567573
0.00872,0.00436,80.9548314,80.9548314,0.04,0,273.837875
0.00874,0.00437,81.0414346,81.0414346,0.02,0,278.627342
