s_m,s_meas_m,R_kN,q_kPa,q_over_qVesic,ds_mm,wall_s
0.1092,0.1092,6543.30241,1635.8256,2.56609211,0.1,9170.65792
0.1093,0.1093,6545.59271,1636.39818,2.5669903,0.1,9183.80178
0.1094,0.1094,6547.87983,1636.96996,2.56788724,0.1,9197.7885
0.1095,0.1095,6550.16184,1637.54046,2.56878218,0.2,9212.57091
0.1096,0.1096,6552.44214,1638.11054,2.56967644,0.1,9259.56556
0.1097,0.1097,6554.7197,1638.67993,2.57056964,0.1,9275.67972
0.1098,0.1098,6556.99536,1639.24884,2.57146208,0.1,9289.01702
0.1099,0.1099,6559.26853,1639.81713,2.57235355,0.1,9303.67724
0.11,0.11,6561.5286,1640.38215,2.57323989,0.2,9317.1818
0.1101,0.1101,6563.78026,1640.94506,2.57412292,0.1,9364.87965
0.1102,0.1102,6566.02981,1641.50745,2.57500513,0.1,9387.32583
0.1103,0.1103,6568.27594,1642.06898,2.575886,0.1,9403.64612
0.1104,0.1104,6570.51898,1642.62974,2.57676565,0.1,9426.01286
0.1105,0.1105,6572.75834,1643.18958,2.57764386,0.2,9442.93771
0.1106,0.1106,6574.99445,1643.74861,2.5785208,0.1,9494.6521
0.1107,0.1107,6577.22794,1644.30698,2.57939671,0.1,9516.00161
0.1108,0.1108,6579.45698,1644.86424,2.58027087,0.1,9534.53676
0.1109,0.1109,6581.68332,1645.42083,2.58114398,0.1,9557.69552
0.111,0.111,6583.90679,1645.9767,2.58201596,0.2,9574.69209
0.1111,0.1111,6586.12835,1646.53209,2.58288719,0.1,9633.67823
0.1112,0.1112,6588.34705,1647.08676,2.5837573,0.1,9648.58322
0.1113,0.1113,6590.56302,1647.64076,2.58462634,0.1,9665.55224
0.1114,0.1114,6592.7738,1648.19345,2.58549334,0.1,9693.46682
0.1115,0.1115,6594.98045,1648.74511,2.58635872,0.2,9712.81333
0.1117,0.1117,6599.38258,1649.84564,2.58808511,0.2,9728.02677
0.1119,0.1119,6603.77068,1650.94267,2.589806,0.2,9746.72198
0.1121,0.1121,6608.14696,1652.03674,2.59152225,0.2,9767.79879
0.1123,0.1123,6612.50979,1653.12745,2.59323322,0.2,9783.63276
0.1124,0.1124,6614.68959,1653.6724,2.59408807,0.1,9843.58617
0.1125,0.1125,6616.86611,1654.21653,2.59494164,0.1,9866.20159
0.1126,0.1126,6619.03785,1654.75946,2.59579333,0.1,9882.09434
0.1127,0.1127,6621.20606,1655.30151,2.59664364,0.1,9900.04808
0.1128,0.1128,6623.37083,1655.84271,2.5974926,0.2,9915.97072
0.113,0.113,6627.68894,1656.92223,2.59918604,0.2,9932.43342
0.1132,0.1132,6631.9639,1657.99097,2.60086255,0.2,9951.80728
0.1134,0.1134,6636.22332,1659.05583,2.60253298,0.2,9967.76518
0.1136,0.1136,6640.47177,1660.11794,2.60419909,0.2,9988.15929
0.1138,0.1138,6644.70839,1661.1771,2.60586057,0.4,10008.3721
0.114,0.114,6648.9281,1662.23203,2.60751542,0.2,10040.7697
0.1142,0.1142,6653.13672,1663.28418,2.60916592,0.2,10054.0929
0.1144,0.1144,6657.33449,1664.33362,2.61081216,0.2,10081.6677
0.1146,0.1146,6661.521,1665.38025,2.61245399,0.2,10098.415
0.1148,0.1148,6665.69799,1666.4245,2.61409208,0.4,10122.233
0.115,0.115,6669.86632,1667.46658,2.61572678,0.2,10179.369
0.1152,0.1152,6674.02599,1668.5065,2.61735808,0.2,10198.8843
0.1154,0.1154,6678.17831,1669.54458,2.6189865,0.2,10219.2465
0.1156,0.1156,6682.32261,1670.58065,2.62061177,0.2,10239.0651
0.1158,0.1158,6686.45693,1671.61423,2.62223313,0.4,10259.7403
0.116,0.116,6690.58041,1672.6451,2.62385024,0.2,10318.206
0.1162,0.1162,6694.69264,1673.67316,2.62546293,0.2,10335.1845
0.1164,0.1164,6698.79595,1674.69899,2.62707213,0.2,10352.0663
0.1166,0.1166,6702.88982,1675.72246,2.62867763,0.2,10370.8016
0.1168,0.1168,6706.97287,1676.74322,2.63027888,0.4,10386.0042
0.1169,0.1169,6709.01136,1677.25284,2.63107832,0.1,10481.9246
0.117,0.117,6711.04894,1677.76223,2.6318774,0.1,10500.791
0.1171,0.1171,6713.08272,1678.27068,2.63267499,0.1,10513.2253
0.1172,0.1172,6715.1147,1678.77868,2.63347187,0.1,10538.7651
0.1173,0.1173,6717.14274,1679.28569,2.63426721,0.2,10558.6879
0.1174,0.1174,6719.16606,1679.79152,2.6350607,0.1,10589.5101
0.1175,0.1175,6721.18795,1680.29699,2.63585362,0.1,10603.949
0.1176,0.1176,6723.20672,1680.80168,2.63664532,0.1,10622.2046
0.1177,0.1177,6725.22409,1681.30602,2.63743648,0.1,10640.4819
0.1178,0.1178,6727.23801,1681.8095,2.63822628,0.2,10660.1698
0.1179,0.1179,6729.25106,1682.31277,2.63901574,0.1,10719.521
0.118,0.118,6731.26026,1682.81507,2.63980369,0.1,10743.6743
0.1181,0.1181,6733.26795,1683.31699,2.64059105,0.1,10759.9588
0.1182,0.1182,6735.27171,1683.81793,2.64137686,0.1,10775.7386
0.1183,0.1183,6737.27414,1684.31854,2.64216216,0.2,10787.9713
0.1184,0.1184,6739.26982,1684.81745,2.6429448,0.1,10846.3335
0.1185,0.1185,6741.26306,1685.31576,2.64372649,0.1,10864.702
0.1186,0.1186,6743.25398,1685.8135,2.64450727,0.1,10881.3658
0.1187,0.1187,6745.24128,1686.31032,2.64528663,0.1,10895.0511
0.1188,0.1188,6747.22662,1686.80666,2.64606523,0.2,10907.9462
