s_m,R_kN,q_kPa,ds_mm,relaxed,wall_s
0.1779,2720.10161,2720.10161,0.5,0,599.754829
0.1784,2727.47697,2727.47697,0.5,0,601.37693
0.1789,2734.85182,2734.85182,0.5,0,602.739618
0.1794,2742.22652,2742.22652,1,0,604.362829
0.1799,2749.59905,2749.59905,0.5,0,632.495163
0.1804,2756.97183,2756.97183,0.5,0,634.042506
0.1809,2764.34602,2764.34602,0.5,0,635.233004
0.1814,2771.71532,2771.71532,0.5,0,637.001914
0.1819,2779.08619,2779.08619,0.5,0,638.003064
0.1824,2786.45691,2786.45691,1,0,639.219649
0.1829,2793.82616,2793.82616,0.5,0,666.036138
0.1834,2801.19637,2801.19637,0.5,0,667.175985
0.1839,2808.56006,2808.56006,0.5,0,668.541821
0.1844,2815.92664,2815.92664,0.5,0,670.511597
0.1849,2823.28797,2823.28797,0.5,0,671.946574
0.1854,2830.62579,2830.62579,1,0,673.661353
0.1859,2837.98932,2837.98932,0.5,0,697.640296
0.1864,2845.34746,2845.34746,0.5,0,698.882692
0.1869,2852.70971,2852.70971,0.5,0,699.775685
0.1874,2860.04836,2860.04836,0.5,0,700.780464
0.1879,2867.38376,2867.38376,0.5,0,702.241745
0.1884,2874.68993,2874.68993,1,0,705.390943
0.1889,2882.04066,2882.04066,0.5,0,731.589164
0.1894,2889.39901,2889.39901,0.5,0,733.027696
0.1899,2896.72864,2896.72864,0.5,0,734.776451
0.1904,2904.05685,2904.05685,0.5,0,736.203392
0.1909,2911.41596,2911.41596,0.5,0,737.52026
0.1914,2918.74631,2918.74631,1,0,740.172658
0.1919,2926.07008,2926.07008,0.5,0,763.299457
0.1924,2933.42574,2933.42574,0.5,0,764.791094
0.1929,2940.74559,2940.74559,0.5,0,766.29996
0.1934,2948.09663,2948.09663,0.5,0,767.892839
0.1939,2955.4479,2955.4479,0.5,0,769.203121
0.1944,2962.74772,2962.74772,1,0,771.350245
0.1949,2970.09677,2970.09677,0.5,0,794.255038
0.1954,2977.41008,2977.41008,0.5,0,796.782426
0.1959,2984.76202,2984.76202,0.5,0,798.147004
0.1964,2992.08211,2992.08211,0.5,0,799.987003
