s_m,s_meas_m,R_kN,q_kPa,ds_mm,wall_s
0.0477,0.0477,3889.32138,972.330345,0.4,3055.58957
0.0479,0.0479,3893.15574,973.288936,0.2,3083.62052
0.0481,0.0481,3897.59546,974.398865,0.2,3089.57773
0.0483,0.0483,3901.07696,975.269241,0.2,3095.03828
0.0485,0.0485,3905.60563,976.401408,0.2,3100.57181
0.0487,0.0487,3909.06652,977.266631,0.2,3106.24742
0.0489,0.0489,3913.47978,978.369945,0.4,3112.34233
0.0491,0.0491,3917.07869,979.269671,0.2,3134.47827
0.0493,0.0493,3921.41004,980.352509,0.2,3139.00815
0.0495,0.0495,3924.71802,981.179505,0.2,3143.68959
0.0497,0.0497,3928.95178,982.237945,0.2,3148.43746
0.0499,0.0499,3932.67274,983.168185,0.2,3153.36638
0.0501,0.0501,3936.93843,984.234608,0.4,3158.15346
0.0503,0.0503,3940.10322,985.025804,0.2,3182.20605
0.0505,0.0505,3943.94342,985.985855,0.2,3188.20193
0.0507,0.0507,3948.03372,987.00843,0.2,3194.82373
0.0509,0.0509,3951.24192,987.81048,0.2,3199.8135
0.0511,0.0511,3955.3621,988.840526,0.2,3204.23326
0.0513,0.0513,3958.82912,989.707279,0.4,3208.94458
0.0515,0.0515,3962.57749,990.644372,0.2,3229.60503
0.0517,0.0517,3966.58147,991.645367,0.2,3233.90948
0.0519,0.0519,3969.57782,992.394455,0.2,3238.07622
0.0521,0.0521,3973.83011,993.457529,0.2,3242.91579
0.0523,0.0523,3976.75295,994.188237,0.2,3248.43977
0.0525,0.0525,3980.71008,995.17752,0.4,3253.06183
0.0529,0.0529,3987.90526,996.976315,0.4,3258.34253
0.0531,0.0531,3991.06014,997.765034,0.2,3281.65953
0.0533,0.0533,3995.80995,998.952489,0.2,3285.93973
0.0535,0.0535,3997.76506,999.441265,0.2,3290.41566
0.0536,0.0536,3999.51803,999.879508,0.1,3312.82824
0.0537,0.0537,4001.73917,1000.43479,0.1,3317.11228
0.0538,0.0538,4003.50083,1000.87521,0.1,3321.08027
0.0539,0.0539,4005.25312,1001.31328,0.1,3324.82376
0.054,0.054,4006.94113,1001.73528,0.1,3329.36563
0.0541,0.0541,4008.66466,1002.16616,0.2,3333.428
0.0543,0.0543,4013.18639,1003.2966,0.2,3337.52821
0.0545,0.0545,4014.86502,1003.71626,0.2,3342.30682
0.0547,0.0547,4017.93515,1004.48379,0.2,3349.16631
0.0549,0.0549,4021.87123,1005.46781,0.2,3354.2715
0.0551,0.0551,4025.10043,1006.27511,0.2,3359.14933
0.0553,0.0553,4028.49181,1007.12295,0.4,3364.01845
0.0555,0.0555,4032.02444,1008.00611,0.2,3385.37051
0.0557,0.0557,4035.57759,1008.8944,0.2,3390.2386
0.0559,0.0559,4038.33443,1009.58361,0.2,3394.5917
0.0561,0.0561,4041.75623,1010.43906,0.2,3399.4452
0.0563,0.0563,4045.49333,1011.37333,0.2,3404.00345
0.0565,0.0565,4048.04,1012.01,0.4,3408.84343
0.0567,0.0567,4051.54587,1012.88647,0.2,3431.26005
0.0569,0.0569,4054.51396,1013.62849,0.2,3436.8605
0.0571,0.0571,4058.25284,1014.56321,0.2,3441.09465
0.0573,0.0573,4060.87532,1015.21883,0.2,3445.89809
0.0575,0.0575,4064.71105,1016.17776,0.2,3450.38931
0.0577,0.0577,4067.26695,1016.81674,0.4,3454.2784
0.0579,0.0579,4070.29152,1017.57288,0.2,3471.87638
0.0581,0.0581,4073.6366,1018.40915,0.2,3476.29777
0.0583,0.0583,4076.87326,1019.21832,0.2,3480.97486
0.0585,0.0585,4079.93583,1019.98396,0.2,3485.46698
0.0587,0.0587,4083.00522,1020.7513,0.2,3490.24938
0.0589,0.0589,4086.07771,1021.51943,0.4,3495.02536
0.0591,0.0591,4088.74008,1022.18502,0.2,3517.16834
0.0593,0.0593,4093.03942,1023.25986,0.2,3521.3958
0.0595,0.0595,4094.4177,1023.60442,0.2,3526.86828
0.0596,0.0596,4096.0385,1024.00962,0.1,3548.98341
0.0597,0.0597,4097.93689,1024.48422,0.1,3552.92802
0.0598,0.0598,4099.43974,1024.85993,0.1,3557.38491
0.0599,0.0599,4100.96353,1025.24088,0.1,3561.69557
0.06,0.06,4102.40094,1025.60024,0.1,3565.70258
0.0601,0.0601,4103.9069,1025.97672,0.2,3569.83425
0.0603,0.0603,4106.21597,1026.55399,0.2,3574.56184
0.0605,0.0605,4109.60176,1027.40044,0.2,3578.4626
0.0607,0.0607,4112.23088,1028.05772,0.2,3584.14724
0.0609,0.0609,4115.40508,1028.85127,0.2,3589.62263
0.0611,0.0611,4118.06222,1029.51555,0.2,3595.02048
0.0613,0.0613,4121.24468,1030.31117,0.4,3600.99124
0.0617,0.0617,4127.16683,1031.79171,0.4,3606.50811
0.0619,0.0619,4129.60215,1032.40054,0.2,3627.484
0.0621,0.0621,4132.73434,1033.18359,0.2,3632.20622
0.0623,0.0623,4135.76298,1033.94075,0.2,3639.30524
0.0625,0.0625,4137.98562,1034.49641,0.2,3643.71905
0.0627,0.0627,4141.42255,1035.35564,0.2,3648.09278
0.0629,0.0629,4143.88106,1035.97026,0.4,3652.22878
0.0631,0.0631,4146.85509,1036.71377,0.2,3672.39695
0.0633,0.0633,4149.57099,1037.39275,0.2,3677.10035
0.0635,0.0635,4152.21678,1038.05419,0.2,3681.59173
0.0637,0.0637,4154.74122,1038.6853,0.2,3687.41705
0.0639,0.0639,4157.42497,1039.35624,0.2,3692.30142
0.0641,0.0641,4160.37242,1040.0931,0.4,3696.09674
0.0643,0.0643,4162.92283,1040.73071,0.2,3714.69125
0.0645,0.0645,4166.10426,1041.52606,0.2,3718.28813
0.0647,0.0647,4168.4634,1042.11585,0.2,3722.30432
0.0649,0.0649,4172.02263,1043.00566,0.2,3726.24441
0.0651,0.0651,4173.04365,1043.26091,0.2,3730.26024
0.0652,0.0652,4174.22788,1043.55697,0.1,3748.19593
0.0653,0.0653,4176.15615,1044.03904,0.1,3751.84927
0.0654,0.0654,4177.36017,1044.34004,0.1,3754.88491
0.0655,0.0655,4178.77497,1044.69374,0.1,3758.37351
0.0656,0.0656,4180.02546,1045.00636,0.1,3761.62692
0.0657,0.0657,4181.36119,1045.3403,0.2,3765.77736
0.0659,0.0659,4183.2945,1045.82363,0.2,3769.47319
0.0661,0.0661,4186.63146,1046.65787,0.2,3773.51173
0.0663,0.0663,4188.58527,1047.14632,0.2,3777.78144
0.0665,0.0665,4191.32059,1047.83015,0.2,3782.57217
0.0667,0.0667,4193.91124,1048.47781,0.2,3787.25103
0.0669,0.0669,4196.79368,1049.19842,0.4,3791.24408
0.0671,0.0671,4199.49663,1049.87416,0.2,3808.2414
0.0673,0.0673,4201.80534,1050.45133,0.2,3812.631
0.0675,0.0675,4204.09737,1051.02434,0.2,3816.53284
0.0677,0.0677,4206.79256,1051.69814,0.2,3820.30244
0.0679,0.0679,4209.33961,1052.3349,0.2,3824.09064
0.0681,0.0681,4211.7574,1052.93935,0.4,3828.17846
0.0683,0.0683,4214.50018,1053.62504,0.2,3846.87553
0.0685,0.0685,4216.67165,1054.16791,0.2,3852.98267
0.0687,0.0687,4219.12983,1054.78246,0.2,3857.02209
0.0689,0.0689,4221.68446,1055.42111,0.2,3861.20057
0.0691,0.0691,4224.89353,1056.22338,0.2,3865.20078
0.0693,0.0693,4226.04423,1056.51106,0.4,3869.08314
0.0695,0.0695,4229.0581,1057.26452,0.2,3886.84941
0.0697,0.0697,4231.57059,1057.89265,0.2,3891.40912
0.0699,0.0699,4233.58457,1058.39614,0.2,3896.17635
0.0701,0.0701,4235.68014,1058.92004,0.2,3900.86921
0.0703,0.0703,4238.67282,1059.66821,0.2,3906.1095
0.0705,0.0705,4240.45079,1060.1127,0.4,3910.39356
0.0707,0.0707,4243.45161,1060.8629,0.2,3928.76174
0.0709,0.0709,4245.45838,1061.36459,0.2,3932.79035
0.0711,0.0711,4247.75067,1061.93767,0.2,3936.64492
0.0713,0.0713,4249.77512,1062.44378,0.2,3940.66221
0.0715,0.0715,4252.41624,1063.10406,0.2,3944.68434
0.0717,0.0717,4254.76019,1063.69005,0.4,3948.97784
0.0719,0.0719,4256.91986,1064.22996,0.2,3969.09588
0.0721,0.0721,4259.33482,1064.8337,0.2,3973.91688
0.0723,0.0723,4260.95583,1065.23896,0.2,3978.2619
0.0725,0.0725,4263.88207,1065.97052,0.2,3983.31728
0.0727,0.0727,4266.39053,1066.59763,0.2,3989.04521
0.0729,0.0729,4268.67353,1067.16838,0.4,3992.78546
0.0731,0.0731,4270.4397,1067.60992,0.2,4010.82134
0.0732,0.0732,4270.84269,1067.71067,0.1,4031.47535
0.0733,0.0733,4273.40966,1068.35242,0.1,4035.60391
0.0734,0.0734,4273.77173,1068.44293,0.1,4039.47575
0.0735,0.0735,4275.55392,1068.88848,0.1,4042.98093
0.0736,0.0736,4275.95318,1068.9883,0.1,4046.2344
0.0737,0.0737,4277.69857,1069.42464,0.2,4049.44178
0.0739,0.0739,4278.57444,1069.64361,0.2,4053.13411
0.074,0.074,4279.91441,1069.9786,0.1,4070.47562
0.0741,0.0741,4281.42329,1070.35582,0.1,4074.34326
0.0742,0.0742,4282.46973,1070.61743,0.1,4078.59915
0.0743,0.0743,4283.56592,1070.89148,0.1,4083.85759
0.0744,0.0744,4284.70449,1071.17612,0.1,4088.39873
0.0745,0.0745,4285.74385,1071.43596,0.2,4093.1067
0.0747,0.0747,4287.24205,1071.81051,0.2,4096.9789
0.0749,0.0749,4289.75271,1072.43818,0.2,4101.57924
0.0751,0.0751,4292.399,1073.09975,0.2,4106.96444
0.0753,0.0753,4294.03385,1073.50846,0.2,4112.14771
0.0755,0.0755,4296.22525,1074.05631,0.2,4117.74357
0.0757,0.0757,4299.4849,1074.87123,0.4,4122.50276
0.0761,0.0761,4302.82125,1075.70531,0.4,4128.00198
0.0763,0.0763,4305.2857,1076.32142,0.2,4150.96073
0.0765,0.0765,4306.76508,1076.69127,0.2,4157.0965
0.0767,0.0767,4308.78682,1077.1967,0.2,4162.41273
0.0769,0.0769,4311.62076,1077.90519,0.2,4167.57656
0.0771,0.0771,4312.82422,1078.20606,0.2,4172.3632
0.0772,0.0772,4314.17792,1078.54448,0.1,4192.66778
0.0773,0.0773,4315.51527,1078.87882,0.1,4196.69983
0.0774,0.0774,4316.5386,1079.13465,0.1,4200.74573
0.0775,0.0775,4317.70034,1079.42509,0.1,4204.69397
0.0776,0.0776,4318.56798,1079.64199,0.1,4208.53228
0.0777,0.0777,4319.66796,1079.91699,0.2,4212.57215
0.0779,0.0779,4320.93591,1080.23398,0.2,4217.16492
0.0781,0.0781,4323.76171,1080.94043,0.2,4221.9762
0.0783,0.0783,4326.11412,1081.52853,0.2,4226.65902
0.0785,0.0785,4327.48572,1081.87143,0.2,4230.90467
0.0786,0.0786,4328.21632,1082.05408,0.1,4251.80767
0.0787,0.0787,4329.86718,1082.46679,0.1,4257.23418
0.0788,0.0788,4330.73929,1082.68482,0.1,4261.2882
0.0789,0.0789,4331.87415,1082.96854,0.1,4265.03683
0.079,0.079,4332.85481,1083.2137,0.1,4269.07062
0.0791,0.0791,4333.80039,1083.4501,0.2,4273.96429
0.0793,0.0793,4335.08681,1083.7717,0.2,4277.96874
0.0795,0.0795,4337.63017,1084.40754,0.2,4283.28609
0.0797,0.0797,4340.14276,1085.03569,0.2,4288.06868
0.0799,0.0799,4341.73252,1085.43313,0.2,4292.86919
0.0801,0.0801,4343.20483,1085.80121,0.2,4298.4268
0.0803,0.0803,4345.74975,1086.43744,0.4,4304.00152
0.0805,0.0805,4347.62344,1086.90586,0.2,4325.99872
0.0807,0.0807,4349.41033,1087.35258,0.2,4330.89723
0.0809,0.0809,4351.69397,1087.92349,0.2,4335.47195
0.0811,0.0811,4353.25711,1088.31428,0.2,4339.63824
0.0813,0.0813,4354.9259,1088.73148,0.2,4346.06871
0.0815,0.0815,4356.78704,1089.19676,0.4,4350.90753
0.0817,0.0817,4359.63732,1089.90933,0.2,4371.83873
0.0819,0.0819,4361.32587,1090.33147,0.2,4376.14085
0.0821,0.0821,4362.85028,1090.71257,0.2,4380.827
0.0823,0.0823,4364.52124,1091.13031,0.2,4385.3835
0.0825,0.0825,4367.11476,1091.77869,0.2,4389.98527
0.0827,0.0827,4369.07124,1092.26781,0.4,4395.3308
0.0829,0.0829,4370.86091,1092.71523,0.2,4415.37332
0.0831,0.0831,4372.07352,1093.01838,0.2,4419.96467
0.0833,0.0833,4373.96267,1093.49067,0.2,4424.78937
0.0835,0.0835,4375.38194,1093.84548,0.2,4429.9114
0.0837,0.0837,4378.21445,1094.55361,0.2,4436.08129
