s_m,s_meas_m,R_kN,q_kPa,ds_mm,wall_s
0.031275,0.031275,9811.11287,2452.77822,0.025,2880.48123
0.0313,0.0313,9817.5569,2454.38922,0.05,2883.4617
0.03135,0.03135,9825.9074,2456.47685,0.05,2894.86689
0.0314,0.0314,9838.8049,2459.70122,0.05,2900.2259
0.03145,0.03145,9851.56316,2462.89079,0.05,2907.33085
0.0315,0.0315,9864.28531,2466.07133,0.05,2913.30799
0.03155,0.03155,9876.98321,2469.2458,0.05,2918.57577
0.0316,0.0316,9889.66642,2472.4166,0.1,2925.02034
0.03165,0.03165,9902.02207,2475.50552,0.05,2953.98555
0.0317,0.0317,9914.51823,2478.62956,0.05,2960.66917
0.03175,0.03175,9927.1619,2481.79047,0.05,2966.9443
0.0318,0.0318,9938.00316,2484.50079,0.05,2980.5804
0.03185,0.03185,9950.90247,2487.72562,0.05,2985.65008
0.0319,0.0319,9963.47152,2490.86788,0.1,2996.68919
0.03195,0.03195,9976.54202,2494.1355,0.05,3026.23129
0.032,0.032,9988.82609,2497.20652,0.05,3032.66707
0.03205,0.03205,10001.2998,2500.32494,0.05,3039.61184
0.032075,0.032075,10008.1449,2502.03623,0.025,3070.83465
0.0321,0.0321,10014.0273,2503.50684,0.025,3075.96244
0.032125,0.032125,10021.0243,2505.25608,0.025,3080.04794
0.03215,0.03215,10027.3307,2506.83267,0.025,3084.41548
0.032175,0.032175,10033.7858,2508.44644,0.025,3088.63315
0.0322,0.0322,10040.1661,2510.04152,0.05,3092.60554
0.03225,0.03225,10047.9377,2511.98444,0.05,3103.34964
0.0323,0.0323,10060.6758,2515.16894,0.05,3108.55893
0.03235,0.03235,10073.3809,2518.34524,0.05,3115.61497
0.0324,0.0324,10085.9835,2521.49588,0.05,3123.24526
0.03245,0.03245,10098.4621,2524.61553,0.05,3130.29023
0.0325,0.0325,10110.9771,2527.74427,0.1,3138.55074
0.03255,0.03255,10123.7258,2530.93146,0.05,3170.69854
0.0326,0.0326,10135.5985,2533.89963,0.05,3181.65514
0.03265,0.03265,10147.9294,2536.98235,0.05,3192.82945
0.0327,0.0327,10159.9822,2539.99554,0.05,3207.21996
0.03275,0.03275,10172.6158,2543.15396,0.05,3212.15981
0.032775,0.032775,10179.4438,2544.86095,0.025,3237.25331
0.0328,0.0328,10185.249,2546.31224,0.025,3242.33301
0.032825,0.032825,10192.2059,2548.05148,0.025,3245.25267
0.03285,0.03285,10198.4579,2549.61446,0.025,3247.9929
0.032875,0.032875,10204.8651,2551.21627,0.025,3251.00993
0.0329,0.0329,10210.5221,2552.63051,0.05,3255.23125
0.03295,0.03295,10219.1683,2554.79208,0.05,3262.47652
0.033,0.033,10231.9016,2557.9754,0.05,3266.69066
0.03305,0.03305,10244.4124,2561.10309,0.05,3270.9594
0.0331,0.0331,10256.7112,2564.17779,0.05,3275.95949
0.03315,0.03315,10269.2359,2567.30897,0.05,3280.30146
0.0332,0.0332,10281.6906,2570.42265,0.1,3284.4326
0.03325,0.03325,10294.4291,2573.60726,0.05,3311.16849
0.033275,0.033275,10300.8784,2575.21961,0.025,3332.64097
0.0333,0.0333,10306.707,2576.67676,0.025,3336.93885
0.033325,0.033325,10312.9938,2578.24844,0.025,3341.2382
0.03335,0.03335,10319.9211,2579.98028,0.025,3344.78075
0.033375,0.033375,10326.1522,2581.53804,0.025,3347.32432
0.0334,0.0334,10331.8324,2582.95809,0.05,3351.60908
0.03345,0.03345,10340.1217,2585.03041,0.05,3363.95912
0.0335,0.0335,10352.7735,2588.19337,0.05,3368.66742
0.03355,0.03355,10365.2617,2591.31543,0.05,3373.38973
0.0336,0.0336,10377.6552,2594.4138,0.05,3377.50185
0.03365,0.03365,10389.8168,2597.45419,0.05,3382.7146
0.0337,0.0337,10401.9572,2600.4893,0.1,3388.54469
0.03375,0.03375,10414.8771,2603.71928,0.05,3411.54947
0.0338,0.0338,10425.0404,2606.2601,0.05,3425.25512
0.03385,0.03385,10437.5161,2609.37903,0.05,3430.86923
0.0339,0.0339,10450.0023,2612.50056,0.05,3435.34011
0.03395,0.03395,10462.4099,2615.60249,0.05,3440.08291
0.034,0.034,10474.0191,2618.50477,0.1,3450.0793
0.03405,0.03405,10486.9667,2621.74168,0.05,3470.23978
0.0341,0.0341,10496.6961,2624.17402,0.05,3482.17532
0.03415,0.03415,10509.132,2627.28299,0.05,3486.58216
0.0342,0.0342,10521.6361,2630.40902,0.05,3491.9305
0.03425,0.03425,10534.0409,2633.51022,0.05,3496.3912
0.0343,0.0343,10546.2334,2636.55834,0.1,3503.44468
0.03435,0.03435,10558.8238,2639.70595,0.05,3525.26996
0.0344,0.0344,10568.0434,2642.01084,0.05,3540.54434
0.03445,0.03445,10580.5647,2645.14116,0.05,3544.64887
0.0345,0.0345,10593.0648,2648.2662,0.05,3548.67564
0.03455,0.03455,10605.388,2651.347,0.05,3554.05094
0.0346,0.0346,10617.6785,2654.41963,0.1,3558.94305
0.03465,0.03465,10629.4276,2657.35689,0.05,3582.37919
0.0347,0.0347,10641.6416,2660.41039,0.05,3586.58788
0.03475,0.03475,10653.6509,2663.41272,0.05,3590.38819
0.0348,0.0348,10665.9373,2666.48432,0.05,3595.91243
0.034825,0.034825,10672.6995,2668.17488,0.025,3615.16658
0.03485,0.03485,10678.2658,2669.56646,0.025,3619.04805
0.034875,0.034875,10684.454,2671.1135,0.025,3624.65771
