# ladrunoBranch census, one row per sampling station.
# station = the existing --cond/--cond-at trigger cadence (every 4 converged steps once ds < 5 mm) UNIONED with --dense stations every 5e-06 of s/B in [0.0108, 0.0113].
# s_min_rel/cond/lam_min_sym_rel are NaN unless --cond is also given (or the station coincides with one --cond already sampled).
# n_gp_seen/n_gp_empty: GPs with/without a live ladrunoBranch response this station (all empty until the C++ token ships).
# n_branch{0,1,2,3} = elastic/f1 cone/f2 tension cutoff/corner GP counts; n_forced = forcedAccept count.
# lowdetK_*: the K-th lowest detAmin GP (ele tag, GP index, value, centroid x, z -- an approximate GP location).
# cornerK_*: the K-th corner-branch GP encountered this station (first 5, ele tag, GP index, centroid x, z).
s_over_B,q_kPa,s_min_rel,cond,lam_min_sym_rel,n_gp_seen,n_gp_empty,n_branch0,n_branch1,n_branch2,n_branch3,n_forced,detAmin_min,n_detAmin_nonpos,I1_min,gamma0_max,gamma1_max,lowdet1_ele,lowdet1_gp,lowdet1_val,lowdet1_x,lowdet1_z,lowdet2_ele,lowdet2_gp,lowdet2_val,lowdet2_x,lowdet2_z,lowdet3_ele,lowdet3_gp,lowdet3_val,lowdet3_x,lowdet3_z,lowdet4_ele,lowdet4_gp,lowdet4_val,lowdet4_x,lowdet4_z,lowdet5_ele,lowdet5_gp,lowdet5_val,lowdet5_x,lowdet5_z,corner1_ele,corner1_gp,corner1_x,corner1_z,corner2_ele,corner2_gp,corner2_x,corner2_z,corner3_ele,corner3_gp,corner3_x,corner3_z,corner4_ele,corner4_gp,corner4_x,corner4_z,corner5_ele,corner5_gp,corner5_x,corner5_z
0.03945,150.24456,0.00131913156,7223.61165,-0.0159713361,1600,0,1204,396,0,0,0,-0.0750543095,354,-262.594869,2.92525933e-08,0,79,5,-0.0750543095,-2.63853418,-1.5,79,7,-0.075054232,-2.63853418,-1.5,129,1,-0.0745315471,2.63853418,-1.5,129,3,-0.0745314755,2.63853418,-1.5,86,4,-0.0702193595,-1.5,-4.64451687,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.04045,150.287619,0.00118818735,8022.2818,-0.0314221626,1600,0,1206,394,0,0,0,-0.0750521638,340,-262.677719,8.69219289e-08,0,79,7,-0.0750521638,-2.63853418,-1.5,79,5,-0.0750516695,-2.63853418,-1.5,138,3,-0.074216753,4.09252017,-2.5,138,1,-0.0742167097,4.09252017,-2.5,117,8,-0.0677108305,1.5,-3.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.04145,150.330035,0.0012340798,7722.01577,-0.0232533314,1600,0,1210,390,0,0,0,-0.0747572357,345,-262.750979,8.6841539e-08,0,68,7,-0.0747572357,-4.09252017,-2.5,68,5,-0.0747572088,-4.09252017,-2.5,129,1,-0.0745400964,2.63853418,-1.5,129,3,-0.0745396833,2.63853418,-1.5,86,2,-0.0702822339,-1.5,-4.64451687,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.04245,150.366106,0.00125470084,7585.05341,-0.0244049643,1600,0,1236,364,0,0,0,-0.0750678568,326,-262.816492,1.55195119e-07,0,79,5,-0.0750678568,-2.63853418,-1.5,79,7,-0.0750677607,-2.63853418,-1.5,138,3,-0.0742416279,4.09252017,-2.5,138,1,-0.0742415899,4.09252017,-2.5,116,6,-0.0674262431,1.5,-4.64451687,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.04345,150.397877,0.0012320768,7736.84784,-0.0218586722,1600,0,1199,401,0,0,0,-0.0750723625,351,-262.874276,5.84614027e-08,0,79,7,-0.0750723625,-2.63853418,-1.5,79,5,-0.0750722914,-2.63853418,-1.5,138,1,-0.0742563558,4.09252017,-2.5,138,3,-0.0742563236,4.09252017,-2.5,86,4,-0.0703358721,-1.5,-4.64451687,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.04445,150.422479,0.00118241376,8066.67589,-0.0231178689,1600,0,1160,440,0,0,0,-0.0747823699,389,-262.91778,4.27063825e-08,0,68,7,-0.0747823699,-4.09252017,-2.5,68,5,-0.0747822762,-4.09252017,-2.5,129,1,-0.0745515387,2.63853418,-1.5,129,3,-0.0745513758,2.63853418,-1.5,138,1,-0.0742556725,4.09252017,-2.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.04545,150.444248,0.0013041525,7300.76829,-0.0222414107,1600,0,1226,374,0,0,0,-0.0750756326,340,-262.958038,1.05280591e-07,0,79,5,-0.0750756326,-2.63853418,-1.5,79,7,-0.075075587,-2.63853418,-1.5,138,1,-0.0742486781,4.09252017,-2.5,138,3,-0.074248664,4.09252017,-2.5,86,4,-0.0703813609,-1.5,-4.64451687,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.04645,150.463877,0.00127854446,7451.79161,-0.0214434151,1600,0,1216,384,0,0,0,-0.0747729007,346,-262.994464,1.02089764e-07,0,68,7,-0.0747729007,-4.09252017,-2.5,68,5,-0.0747728582,-4.09252017,-2.5,129,3,-0.0745537914,2.63853418,-1.5,129,1,-0.0745537561,2.63853418,-1.5,86,4,-0.0704008134,-1.5,-4.64451687,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.04745,150.480366,0.00140374064,6750.40918,-0.00307688888,1600,0,1316,284,0,0,0,-0.0704206973,271,-263.025105,3.28045175e-08,0,86,4,-0.0704206973,-1.5,-4.64451687,86,2,-0.0704206814,-1.5,-4.64451687,117,6,-0.0679037614,1.5,-3.5,117,8,-0.0679037449,1.5,-3.5,116,8,-0.0675235337,1.5,-4.64451687,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.04845,150.497045,0.00129770233,7315.11525,-0.010198858,1600,0,1272,328,0,0,0,-0.0750806128,307,-263.054125,3.71744735e-08,0,79,5,-0.0750806128,-2.63853418,-1.5,79,7,-0.0750805704,-2.63853418,-1.5,129,3,-0.0745566332,2.63853418,-1.5,129,1,-0.0745564524,2.63853418,-1.5,86,4,-0.0704396014,-1.5,-4.64451687,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
