s_m,s_meas_m,R_kN,q_kPa,q_over_qVesic,ds_mm,wall_s
0.2624,0.2624,12503.4914,3125.87284,4.90350414,0.1,31863.229
0.2625,0.2625,12506.2622,3126.56554,4.90459077,0.1,31876.8749
0.2626,0.2626,12509.0323,3127.25808,4.90567714,0.1,31891.5658
0.2627,0.2627,12511.8027,3127.95069,4.90676363,0.1,31906.5664
0.2628,0.2628,12514.5721,3128.64302,4.90784967,0.2,31921.4512
0.263,0.263,12520.1026,3130.02565,4.91001859,0.2,31936.8042
0.2632,0.2632,12525.6325,3131.40813,4.91218726,0.2,31950.9679
0.2633,0.2633,12528.3995,3132.09988,4.91327241,0.1,31985.6584
0.2634,0.2634,12531.1658,3132.79145,4.91435725,0.1,32000.0443
0.2635,0.2635,12533.9318,3133.48294,4.91544198,0.1,32015.7724
0.2636,0.2636,12536.6986,3134.17465,4.91652705,0.1,32030.9029
0.2637,0.2637,12539.4655,3134.86637,4.91761214,0.2,32047.6334
0.2638,0.2638,12542.2309,3135.55772,4.91869666,0.1,32067.3999
0.2639,0.2639,12544.9957,3136.24891,4.91978092,0.1,32083.4616
0.264,0.264,12547.7617,3136.94042,4.92086568,0.1,32097.1774
0.2641,0.2641,12550.5276,3137.63189,4.92195038,0.1,32109.9699
0.2642,0.2642,12553.2941,3138.32352,4.92303532,0.2,32123.7598
0.2643,0.2643,12556.0597,3139.01492,4.92411991,0.1,32185.6453
0.2644,0.2644,12558.8248,3139.70619,4.92520429,0.1,32202.3494
0.2645,0.2645,12561.5897,3140.39742,4.92628861,0.1,32218.0037
0.2646,0.2646,12564.3552,3141.0888,4.92737317,0.1,32233.3106
0.2647,0.2647,12567.1201,3141.78002,4.92845748,0.2,32248.6227
0.2648,0.2648,12569.8842,3142.47104,4.92954147,0.1,32268.4616
0.2649,0.2649,12572.6476,3143.1619,4.93062521,0.1,32282.2551
0.265,0.265,12575.411,3143.85274,4.93170891,0.1,32294.356
