s_m,s_meas_m,R_kN,q_kPa,q_over_qVesic,ds_mm,wall_s
0.24305,0.24305,11964.3234,2991.08084,4.69205821,0.1,28363.3025
0.24315,0.24315,11967.1298,2991.78245,4.6931588,0.1,28376.4104
0.24325,0.24325,11969.9373,2992.48432,4.69425981,0.2,28390.5775
0.24335,0.24335,11972.7445,2993.18612,4.69536072,0.1,28429.6379
0.24345,0.24345,11975.5507,2993.88769,4.69646126,0.1,28449.0806
0.24355,0.24355,11978.3568,2994.5892,4.6975617,0.1,28465.2859
0.24365,0.24365,11981.1631,2995.29078,4.69866226,0.1,28479.669
0.24375,0.24375,11983.9687,2995.99218,4.69976254,0.2,28493.4657
0.24385,0.24385,11986.7735,2996.69337,4.70086248,0.1,28532.7438
0.24395,0.24395,11989.5782,2997.39455,4.70196242,0.1,28547.7355
0.24405,0.24405,11992.3827,2998.09566,4.70306224,0.1,28561.6378
0.24415,0.24415,11995.1867,2998.79667,4.7041619,0.1,28574.5294
0.24425,0.24425,11997.9909,2999.49773,4.70526163,0.2,28589.2953
0.24435,0.24435,12000.7947,3000.19867,4.70636119,0.1,28628.1616
0.24445,0.24445,12003.5988,3000.8997,4.70746088,0.1,28641.3359
0.24455,0.24455,12006.402,3001.6005,4.70856022,0.1,28656.0521
0.24465,0.24465,12009.2046,3002.30114,4.7096593,0.1,28673.6403
0.24475,0.24475,12012.0068,3003.00171,4.71075827,0.2,28688.5076
0.24485,0.24485,12014.8097,3003.70242,4.71185746,0.1,28729.1493
0.24495,0.24495,12017.6123,3004.40308,4.71295658,0.1,28743.9714
0.24505,0.24505,12020.4141,3005.10352,4.71405534,0.1,28758.7456
0.24515,0.24515,12023.2164,3005.8041,4.71515434,0.1,28774.2621
0.24525,0.24525,12026.0194,3006.50484,4.71625358,0.2,28791.0318
0.24535,0.24535,12028.8215,3007.20537,4.71735249,0.1,28829.7689
0.24545,0.24545,12031.6234,3007.90584,4.7184513,0.1,28844.0266
0.24555,0.24555,12034.4255,3008.60638,4.71955023,0.1,28859.089
0.24565,0.24565,12037.2272,3009.30681,4.72064897,0.1,28873.4547
0.24575,0.24575,12040.0289,3010.00721,4.72174769,0.2,28885.539
0.24595,0.24595,12045.6248,3011.40621,4.72394227,0.2,28897.168
