s_m,s_meas_m,R_kN,q_kPa,q_over_qVesic,ds_mm,wall_s
0.0447,0.0447,4210.55623,1052.63906,1.65125718,0.2,3072.83391
0.0449,0.0449,4221.62419,1055.40605,1.65559772,0.2,3085.24904
0.0451,0.0451,4232.66171,1058.16543,1.65992631,0.2,3096.48063
0.0453,0.0453,4243.67389,1060.91847,1.66424496,0.2,3109.46839
0.0455,0.0455,4254.66129,1063.66532,1.6685539,0.4,3120.0255
0.0459,0.0459,4276.45533,1069.11383,1.67710089,0.4,3143.15648
0.0463,0.0463,4298.08947,1074.52237,1.68558516,0.4,3171.4894
0.0467,0.0467,4319.55228,1079.88807,1.69400225,0.4,3202.78621
0.0471,0.0471,4340.86722,1085.2168,1.70236135,0.4,3233.70751
0.0475,0.0475,4362.08261,1090.52065,1.7106814,0.4,3265.42643
0.0479,0.0479,4383.11482,1095.7787,1.71892962,0.4,3300.43268
0.0481,0.0481,4393.58373,1098.39593,1.72303522,0.2,3339.43329
0.0483,0.0483,4404.02466,1101.00616,1.72712985,0.2,3351.5029
0.0485,0.0485,4414.43918,1103.6098,1.73121412,0.2,3364.73872
0.0487,0.0487,4424.82968,1106.20742,1.73528897,0.2,3379.12903
0.0489,0.0489,4435.19643,1108.79911,1.73935451,0.4,3394.85726
0.0493,0.0493,4455.83053,1113.95763,1.7474466,0.4,3412.28929
0.0497,0.0497,4476.24642,1119.0616,1.75545312,0.4,3438.82021
0.0501,0.0501,4496.48721,1124.1218,1.76339096,0.4,3466.02485
0.0505,0.0505,4516.61192,1129.15298,1.77128329,0.4,3492.26395
0.0507,0.0507,4526.63476,1131.65869,1.77521395,0.2,3546.69913
0.0509,0.0509,4536.6178,1134.15445,1.77912901,0.2,3564.2572
0.0511,0.0511,4546.57359,1136.6434,1.78303338,0.2,3580.02626
0.0513,0.0513,4556.48841,1139.1221,1.78692168,0.2,3594.64864
0.0515,0.0515,4566.37256,1141.59314,1.79079796,0.4,3609.83111
0.0517,0.0517,4576.23391,1144.05848,1.79466529,0.2,3663.90636
0.0519,0.0519,4586.06333,1146.51583,1.7985201,0.2,3678.72784
0.0521,0.0521,4595.87214,1148.96804,1.80236683,0.2,3689.64291
0.0523,0.0523,4605.65093,1151.41273,1.80620179,0.2,3699.62349
0.0525,0.0525,4615.4034,1153.85085,1.81002642,0.4,3710.96425
0.0529,0.0529,4634.79237,1158.69809,1.81763021,0.4,3732.55454
0.0531,0.0531,4644.45638,1161.1141,1.82142015,0.2,3770.1408
