s_m,s_meas_m,R_kN,q_kPa,q_over_qVesic,ds_mm,wall_s
0.06475,0.06475,5355.68802,1338.92201,2.10034443,0.2,2047.98916
0.06495,0.06495,5364.80738,1341.20185,2.10392078,0.2,2054.57884
0.06515,0.06515,5373.90143,1343.47536,2.1074872,0.2,2062.7877
0.06535,0.06535,5382.9806,1345.74515,2.11104778,0.4,2070.00128
0.06555,0.06555,5392.04387,1348.01097,2.11460213,0.2,2093.62501
0.06575,0.06575,5401.08253,1350.27063,2.11814683,0.2,2101.86446
0.06595,0.06595,5410.104,1352.526,2.12168478,0.2,2107.83804
0.06615,0.06615,5419.10944,1354.77736,2.12521646,0.2,2114.34633
0.06635,0.06635,5428.09557,1357.02389,2.12874056,0.4,2120.84721
0.06675,0.06675,5445.98498,1361.49625,2.13575626,0.4,2134.05559
0.06695,0.06695,5454.90895,1363.72724,2.13925598,0.2,2159.31144
0.06715,0.06715,5463.81493,1365.95373,2.14274865,0.2,2165.35804
0.06735,0.06735,5472.70116,1368.17529,2.14623357,0.2,2171.96039
0.06755,0.06755,5481.57373,1370.39343,2.14971313,0.2,2178.524
0.06775,0.06775,5490.43155,1372.60789,2.15318691,0.4,2184.97812
0.06795,0.06795,5499.27294,1374.81824,2.15665424,0.2,2211.12381
0.06805,0.06805,5503.68867,1375.92217,2.15838596,0.1,2235.19724
0.06815,0.06815,5508.09821,1377.02455,2.16011525,0.1,2241.76189
0.06825,0.06825,5512.50363,1378.12591,2.16184293,0.1,2247.0774
0.06835,0.06835,5516.90563,1379.22641,2.16356927,0.1,2254.19617
0.06845,0.06845,5521.30207,1380.32552,2.16529342,0.2,2260.75021
0.06865,0.06865,5530.08044,1382.52011,2.16873604,0.2,2266.81616
0.06885,0.06885,5538.84287,1384.71072,2.17217241,0.2,2272.33366
0.06905,0.06905,5547.59907,1386.89977,2.17560634,0.2,2278.38418
0.06925,0.06925,5556.3363,1389.08408,2.17903282,0.2,2284.36113
0.06945,0.06945,5565.05763,1391.26441,2.18245307,0.4,2292.50933
0.06965,0.06965,5573.76374,1393.44094,2.18586736,0.2,2314.00375
0.06985,0.06985,5582.43939,1395.60985,2.18926969,0.2,2324.98795
0.07005,0.07005,5591.09452,1397.77363,2.19266398,0.2,2332.25249
0.07025,0.07025,5599.72333,1399.93083,2.19604795,0.2,2338.78391
0.07045,0.07045,5608.32953,1402.08238,2.19942305,0.4,2349.13842
0.07065,0.07065,5616.91143,1404.22786,2.20278862,0.2,2373.06754
0.07085,0.07085,5625.47832,1406.36958,2.2061483,0.2,2379.65548
0.07105,0.07105,5634.02687,1408.50672,2.2095008,0.2,2386.661
0.07125,0.07125,5642.55927,1410.63982,2.21284696,0.2,2392.63559
0.07145,0.07145,5651.07414,1412.76853,2.21618624,0.4,2399.77828
0.07185,0.07185,5668.03855,1417.00964,2.22283918,0.4,2409.2475
0.07205,0.07205,5676.50757,1419.12689,2.22616049,0.2,2432.49023
0.07225,0.07225,5684.9659,1421.24148,2.2294776,0.2,2440.53991
0.07245,0.07245,5693.40545,1423.35136,2.23278734,0.2,2447.04181
0.07265,0.07265,5701.8353,1425.45882,2.23609328,0.2,2452.5266
0.07285,0.07285,5710.25575,1427.56394,2.23939554,0.4,2458.99959
0.07305,0.07305,5718.6622,1429.66555,2.2426923,0.2,2483.61892
0.07325,0.07325,5727.05103,1431.76276,2.24598216,0.2,2488.86774
0.07345,0.07345,5735.42361,1433.8559,2.24926563,0.2,2495.05976
0.07365,0.07365,5743.7807,1435.94517,2.25254304,0.2,2501.51928
0.07385,0.07385,5752.1253,1438.03133,2.25581555,0.4,2507.47193
0.07405,0.07405,5760.45514,1440.11379,2.25908227,0.2,2530.65677
0.07425,0.07425,5768.77107,1442.19277,2.26234354,0.2,2536.28468
0.07445,0.07445,5777.06412,1444.26603,2.26559583,0.2,2542.3486
0.07465,0.07465,5785.3342,1446.33355,2.26883911,0.2,2548.87491
0.07485,0.07485,5793.58775,1448.39694,2.27207591,0.4,2556.39422
0.07505,0.07505,5801.83048,1450.45762,2.27530847,0.2,2580.61221
0.07525,0.07525,5810.06338,1452.51584,2.27853717,0.2,2586.60606
0.07545,0.07545,5818.27901,1454.56975,2.28175911,0.2,2594.09363
0.07565,0.07565,5826.47289,1456.61822,2.2849725,0.2,2600.16144
0.07585,0.07585,5834.64689,1458.66172,2.28817811,0.4,2606.21543
0.07605,0.07605,5842.80516,1460.70129,2.29137754,0.2,2631.67213
0.07625,0.07625,5850.9324,1462.7331,2.29456481,0.2,2638.73819
0.07645,0.07645,5859.04569,1464.76142,2.2977466,0.2,2644.63609
0.07665,0.07665,5867.14415,1466.78604,2.30092259,0.2,2651.242
0.07685,0.07685,5875.22974,1468.80744,2.30409352,0.4,2657.98991
0.07705,0.07705,5883.29616,1470.82404,2.30725693,0.2,2682.39209
0.07725,0.07725,5891.33918,1472.83479,2.31041117,0.2,2688.02566
0.07745,0.07745,5899.3701,1474.84253,2.31356066,0.2,2694.50089
0.07765,0.07765,5907.38979,1476.84745,2.31670575,0.2,2699.93957
0.07785,0.07785,5915.39507,1478.84877,2.31984519,0.4,2705.8885
0.07805,0.07805,5923.3851,1480.84627,2.32297864,0.2,2732.69114
0.07825,0.07825,5931.34125,1482.83531,2.32609881,0.2,2739.79298
0.07845,0.07845,5939.28793,1484.82198,2.32921527,0.2,2749.12322
0.07865,0.07865,5947.22245,1486.80561,2.33232696,0.2,2755.03456
0.07885,0.07885,5955.1469,1488.78672,2.33543469,0.4,2761.48362
0.07905,0.07905,5963.05651,1490.76413,2.33853661,0.2,2785.49041
0.07925,0.07925,5970.94078,1492.73519,2.34162859,0.2,2791.96629
0.07945,0.07945,5978.8135,1494.70337,2.34471604,0.2,2797.4048
0.07965,0.07965,5986.68029,1496.67007,2.34780117,0.2,2802.90943
0.07985,0.07985,5994.53436,1498.63359,2.35088131,0.4,2808.8864
0.08005,0.08005,6002.37659,1500.59415,2.3539568,0.2,2832.93804
0.08025,0.08025,6010.20432,1502.55108,2.35702661,0.2,2838.4222
0.08045,0.08045,6018.0187,1504.50468,2.36009118,0.2,2844.37077
0.08065,0.08065,6025.82043,1506.45511,2.36315079,0.2,2850.97242
0.08085,0.08085,6033.60519,1508.4013,2.36620374,0.4,2857.54719
0.08105,0.08105,6041.37443,1510.34361,2.36925061,0.2,2881.63021
0.08125,0.08125,6049.12941,1512.28235,2.37229189,0.2,2887.59722
0.08145,0.08145,6056.87789,1514.21947,2.37533062,0.2,2895.58892
0.08165,0.08165,6064.60888,1516.15222,2.37836249,0.2,2902.54147
