s_m,s_meas_m,R_kN,q_kPa,q_over_qVesic,ds_mm,wall_s,p_exc_kPa
0.1224,0.1224,8056.31163,2014.07791,3.15945014,0.1,37598.2466,-174.778037
0.12245,0.12245,8059.7924,2014.9481,3.16081519,0.05,37648.0105,-174.863694
0.1225,0.1225,8063.2734,2015.81835,3.16218034,0.05,37657.7417,-174.949348
0.12255,0.12255,8066.75469,2016.68867,3.1635456,0.05,37668.246,-175.034994
0.1226,0.1226,8070.23638,2017.5591,3.16491102,0.05,37678.5902,-175.120617
0.12265,0.12265,8073.71832,2018.42958,3.16627653,0.1,37688.1973,-175.20623
0.12275,0.12275,8080.68171,2020.17043,3.16900737,0.1,37698.7203,-175.377364
0.1228,0.1228,8084.16457,2021.04114,3.17037325,0.05,37746.2445,-175.462934
0.12285,0.12285,8087.64759,2021.9119,3.17173918,0.05,37756.2091,-175.548497
0.1229,0.1229,8091.13097,2022.78274,3.17310526,0.05,37766.4579,-175.63404
0.12295,0.12295,8094.61481,2023.6537,3.17447153,0.05,37776.5709,-175.719558
0.123,0.123,8098.09905,2024.52476,3.17583794,0.1,37786.983,-175.805051
0.1231,0.1231,8105.0673,2026.26682,3.17857068,0.1,37797.8236,-175.975897
0.1232,0.1232,8112.03653,2028.00913,3.18130381,0.1,37808.3453,-176.146658
0.12325,0.12325,8115.52214,2028.88054,3.18267077,0.05,37858.1557,-176.232064
0.123275,0.123275,8117.26515,2029.31629,3.18335433,0.025,37908.137,-176.274782
0.1233,0.1233,8119.00829,2029.75207,3.18403793,0.025,37918.3303,-176.317494
0.123325,0.123325,8120.75147,2030.18787,3.18472156,0.025,37928.1478,-176.360206
0.1233375,0.1233375,8121.62313,2030.40578,3.1850634,0.0125,37978.8175,-176.381564
0.12335,0.12335,8122.49481,2030.6237,3.18540525,0.0125,37987.9991,-176.402917
0.12335625,0.12335625,8122.93068,2030.73267,3.18557618,0.00625,38044.9398,-176.413595
0.1233625,0.1233625,8123.36654,2030.84164,3.18574711,0.00625,38053.6095,-176.424272
0.12336875,0.12336875,8123.80243,2030.95061,3.18591806,0.00625,38061.651,-176.434948
0.123375,0.123375,8124.23831,2031.05958,3.186089,0.00625,38070.1649,-176.445624
0.12338125,0.12338125,8124.67419,2031.16855,3.18625994,0.0125,38078.2362,-176.456299
0.12339375,0.12339375,8125.54597,2031.38649,3.18660182,0.0125,38087.5867,-176.477649
0.12340625,0.12340625,8126.41776,2031.60444,3.18694371,0.0125,38097.2162,-176.498997
0.12341875,0.12341875,8127.28958,2031.82239,3.18728561,0.0125,38105.9651,-176.520343
0.12343125,0.12343125,8128.16141,2032.04035,3.18762752,0.0125,38115.3845,-176.541689
0.12344375,0.12344375,8129.03327,2032.25832,3.18796944,0.025,38124.3987,-176.563033
0.12346875,0.12346875,8130.77694,2032.69423,3.18865325,0.025,38134.9026,-176.60572
0.12349375,0.12349375,8132.52066,2033.13017,3.18933709,0.025,38144.7462,-176.648408
0.12351875,0.12351875,8134.26445,2033.56611,3.19002096,0.025,38155.4538,-176.691096
