# ladrunoBranch census, one row per sampling station.
# station = the existing --cond/--cond-at trigger cadence (every 4 converged steps once ds < 10 mm) UNIONED with --dense stations every 5e-06 of s/B in [0.0108, 0.0113].
# s_min_rel/cond/lam_min_sym_rel are NaN unless --cond is also given (or the station coincides with one --cond already sampled).
# n_gp_seen/n_gp_empty: GPs with/without a live ladrunoBranch response this station (all empty until the C++ token ships).
# n_branch{0,1,2,3} = elastic/f1 cone/f2 tension cutoff/corner GP counts; n_forced = forcedAccept count.
# lowdetK_*: the K-th lowest detAmin GP (ele tag, GP index, value, centroid x, z -- an approximate GP location).
# cornerK_*: the K-th corner-branch GP encountered this station (first 5, ele tag, GP index, centroid x, z).
s_over_B,q_kPa,s_min_rel,cond,lam_min_sym_rel,n_gp_seen,n_gp_empty,n_branch0,n_branch1,n_branch2,n_branch3,n_forced,detAmin_min,n_detAmin_nonpos,I1_min,gamma0_max,gamma1_max,lowdet1_ele,lowdet1_gp,lowdet1_val,lowdet1_x,lowdet1_z,lowdet2_ele,lowdet2_gp,lowdet2_val,lowdet2_x,lowdet2_z,lowdet3_ele,lowdet3_gp,lowdet3_val,lowdet3_x,lowdet3_z,lowdet4_ele,lowdet4_gp,lowdet4_val,lowdet4_x,lowdet4_z,lowdet5_ele,lowdet5_gp,lowdet5_val,lowdet5_x,lowdet5_z,corner1_ele,corner1_gp,corner1_x,corner1_z,corner2_ele,corner2_gp,corner2_x,corner2_z,corner3_ele,corner3_gp,corner3_x,corner3_z,corner4_ele,corner4_gp,corner4_x,corner4_z,corner5_ele,corner5_gp,corner5_x,corner5_z
0.0292,149.076955,0.00133733397,7130.51798,-0.0138901062,1600,0,1288,312,0,0,0,-0.0769602761,202,-260.419238,3.32694958e-09,0,99,2,-0.0769602761,-0.5,-1.5,99,4,-0.0769602748,-0.5,-1.5,147,3,-0.0760109756,5.94935967,-3.5,147,1,-0.076010975,5.94935967,-3.5,90,1,-0.075209328,-1.5,-0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0312,149.47112,0.00127177369,7523.03366,-0.0140441256,1600,0,1224,376,0,0,0,-0.0772472936,243,-261.163345,2.7185178e-09,0,99,4,-0.0772472936,-0.5,-1.5,99,2,-0.0772472922,-0.5,-1.5,90,1,-0.0755465978,-1.5,-0.5,90,3,-0.0755465861,-1.5,-0.5,147,3,-0.0754844203,5.94935967,-3.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0332,149.751221,0.00133721058,7137.91249,-0.0137648216,1600,0,1226,374,0,0,0,-0.0780639045,282,-261.685468,5.26541621e-10,0,66,1,-0.0780639045,-4.09252017,-4.64451687,66,3,-0.0780639044,-4.09252017,-4.64451687,99,2,-0.0774396481,-0.5,-1.5,99,4,-0.0774396478,-0.5,-1.5,148,3,-0.0760818171,5.94935967,-2.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0352,149.964721,0.00140269631,6758.32568,-0.0109392826,1600,0,1350,250,0,0,0,-0.0780495439,172,-262.080614,2.89310346e-10,0,148,3,-0.0780495439,5.94935967,-2.5,148,1,-0.0780495437,5.94935967,-2.5,90,1,-0.0758831744,-1.5,-0.5,90,3,-0.0758831732,-1.5,-0.5,150,3,-0.0749209608,5.94935967,-0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0372,150.108475,0.00122776693,7737.69562,-0.0196575638,1600,0,1275,325,0,0,0,-0.0793569644,287,-262.344947,1.00799794e-08,0,78,1,-0.0793569644,-2.63853418,-2.5,78,3,-0.0793569465,-2.63853418,-2.5,128,7,-0.0792676145,2.63853418,-2.5,128,5,-0.0792676096,2.63853418,-2.5,66,1,-0.0777585976,-4.09252017,-4.64451687,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0392,150.221575,0.00133049196,7141.82661,-0.0100054601,1600,0,1268,332,0,0,0,-0.0794375682,288,-262.553021,1.28067406e-08,0,78,3,-0.0794375682,-2.63853418,-2.5,78,1,-0.0794375556,-2.63853418,-2.5,128,5,-0.0793496719,2.63853418,-2.5,128,7,-0.0793496613,2.63853418,-2.5,66,1,-0.0775172812,-4.09252017,-4.64451687,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0412,150.310832,0.00132296062,7184.32282,-0.0132741981,1600,0,1258,342,0,0,0,-0.0772486739,292,-262.716378,9.1941517e-09,0,66,3,-0.0772486739,-4.09252017,-4.64451687,66,1,-0.0772486702,-4.09252017,-4.64451687,150,1,-0.0769808839,5.94935967,-0.5,150,3,-0.0769808698,5.94935967,-0.5,67,1,-0.0766220949,-4.09252017,-3.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0432,150.381806,0.00129033372,7341.25886,-0.00494779251,1600,0,1293,307,0,0,0,-0.0795210414,253,-262.845144,4.67822272e-08,0,78,3,-0.0795210414,-2.63853418,-2.5,78,1,-0.0795210361,-2.63853418,-2.5,128,5,-0.0794342685,2.63853418,-2.5,128,7,-0.0794342634,2.63853418,-2.5,66,3,-0.0769654193,-4.09252017,-4.64451687,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0452,150.431787,0.0013923775,6793.42341,-0.0148467693,1600,0,1335,265,0,0,0,-0.0795433724,232,-262.936502,5.36469137e-09,0,78,1,-0.0795433724,-2.63853418,-2.5,78,3,-0.0795433694,-2.63853418,-2.5,128,5,-0.0794574015,2.63853418,-2.5,128,7,-0.0794573948,2.63853418,-2.5,67,1,-0.0771234363,-4.09252017,-3.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0472,150.471119,0.0013761328,6880.99772,-0.0184668936,1600,0,1338,262,0,0,0,-0.0795560185,233,-263.008402,2.90302257e-09,0,78,3,-0.0795560185,-2.63853418,-2.5,78,1,-0.0795560128,-2.63853418,-2.5,128,5,-0.0794703211,2.63853418,-2.5,128,7,-0.0794703196,2.63853418,-2.5,67,3,-0.0772032118,-4.09252017,-3.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0492,150.503529,0.0013926443,6803.80882,-0.014041366,1600,0,1327,273,0,0,0,-0.0780116172,229,-263.067308,5.79020926e-10,0,159,1,-0.0780116172,8.32067065,-1.5,159,3,-0.0780116169,8.32067065,-1.5,99,4,-0.0779127757,-0.5,-1.5,99,2,-0.0779127757,-0.5,-1.5,150,3,-0.0777992368,5.94935967,-0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0512,150.530347,0.00137250113,6897.3263,-0.0187016369,1600,0,1346,254,0,0,0,-0.0795647483,230,-263.115831,4.83341834e-09,0,78,3,-0.0795647483,-2.63853418,-2.5,78,1,-0.0795647469,-2.63853418,-2.5,128,5,-0.0794790586,2.63853418,-2.5,128,7,-0.0794790578,2.63853418,-2.5,66,1,-0.0775038287,-4.09252017,-4.64451687,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0532,150.552713,0.0013627301,6949.76821,-0.0128510449,1600,0,1316,284,0,0,0,-0.0795652745,253,-263.156056,1.54820119e-08,0,78,3,-0.0795652745,-2.63853418,-2.5,78,1,-0.0795652649,-2.63853418,-2.5,128,7,-0.079479231,2.63853418,-2.5,128,5,-0.0794792108,2.63853418,-2.5,66,1,-0.0777312044,-4.09252017,-4.64451687,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
