# ADR90 WP-A2 tau=0 band, build any, leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s
0.2656,0.1328,2806.74085,-2811.48336,5,0,52.7123551
0.2706,0.1353,2850.32353,-2854.61847,5,0,53.4401386
0.2756,0.1378,2893.70374,-2897.47633,5,0,54.1869612
0.2806,0.1403,2936.8674,-2940.01299,5,0,54.9493456
0.2856,0.1428,2979.6466,-2982.22829,5,0,55.681469
0.2906,0.1453,3022.15039,-3024.01546,5,0,56.4006197
0.2956,0.1478,3064.26642,-3065.53404,5,0,57.1278291
0.3006,0.1503,3106.07941,-3106.69899,5,0,57.8355894
0.3056,0.1528,3147.60359,-3147.62331,5,0,58.5612168
0.3106,0.1553,3188.8789,-3188.12966,5,0,59.2691011
0.3156,0.1578,3229.88212,-3228.55204,5,0,59.9859419
0.3206,0.1603,3270.58873,-3268.74712,5,0,60.7090018
0.3256,0.1628,3310.99012,-3308.46036,5,0,61.422816
0.3306,0.1653,3351.04231,-3348.0511,5,0,62.128602
0.3356,0.1678,3390.66405,-3387.26097,5,0,62.8211217
0.3406,0.1703,3429.96387,-3426.15469,5,0,63.5037386
0.3456,0.1728,3469.00819,-3464.71008,5,0,64.2058609
0.3506,0.1753,3506.97069,-3502.96057,5,0,64.9175653
0.3556,0.1778,3545.45306,-3541.13475,5,0,65.6172414
0.3606,0.1803,3583.4775,-3578.98954,5,0,66.3442323
0.3656,0.1828,3620.9594,-3616.64429,5,0,67.0561719
0.3706,0.1853,3658.20808,-3653.95242,5,0,67.8026364
0.3756,0.1878,3695.2854,-3691.16475,5,0,68.5108976
0.3806,0.1903,3732.08094,-3728.23661,5,0,69.2136221
0.3856,0.1928,3768.47077,-3765.15904,5,0,69.9142509
0.3906,0.1953,3804.41301,-3801.80885,5,0,70.6136017
0.3956,0.1978,3839.89955,-3838.25514,5,0,71.3541601
0.4006,0.2003,3874.979,-3874.33992,5,0,72.0984411
0.4056,0.2028,3909.59721,-3910.0761,5,0,72.8154306
0.4106,0.2053,3943.79134,-3945.5537,5,0,73.5081978
0.4156,0.2078,3977.67158,-3980.71043,5,0,74.2199244
0.4206,0.2103,4011.28846,-4015.57982,5,0,74.9150321
0.4256,0.2128,4044.67652,-4050.25814,5,0,75.6059315
0.4306,0.2153,4077.72507,-4084.60318,5,0,76.2888951
0.4356,0.2178,4110.50082,-4118.64337,5,0,77.0571384
0.4406,0.2203,4142.93076,-4152.29046,5,0,77.7382886
0.4456,0.2228,4175.10359,-4185.63218,5,0,78.4208982
0.4506,0.2253,4206.95129,-4218.49092,5,0,79.1110678
0.4556,0.2278,4238.25933,-4250.86764,5,0,79.8136992
0.4606,0.2303,4269.31233,-4282.76879,5,0,80.5041034
0.4656,0.2328,4299.95319,-4314.18642,5,0,81.1811197
0.4706,0.2353,4330.40923,-4345.12063,5,0,81.8466365
0.4756,0.2378,4360.31461,-4375.52663,5,0,82.5163167
0.4806,0.2403,4390.14146,-4405.61544,5,0,83.18051
0.4856,0.2428,4419.80151,-4435.34202,5,0,83.8764617
0.4906,0.2453,4449.1443,-4464.59319,5,0,84.5512829
0.4956,0.2478,4478.30295,-4493.35399,5,0,85.2284155
0.5,0.25,4412.65428,-4434.99406,5,0,86.0377016
