# ADR90 WP-A2 tau=0 band, build 2473ce46c2ae44412246ca305f3843463f389cad (expected 2473ce46c2ae44412246ca305f3843463f389cad), leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s,implex_err_avg,implex_refusals
0.2956,0.1478,3062.53058,-3062.04759,5,0,85.0372019,0.00109776548,0
0.3006,0.1503,3101.96204,-3101.31012,5,0,86.1199849,0.00109710497,0
0.3056,0.1528,3141.03146,-3140.19723,5,0,87.2462852,0.00109424975,0
0.3106,0.1553,3179.68348,-3178.69217,5,0,88.3302033,0.00109365748,0
0.3156,0.1578,3217.93963,-3216.93131,5,0,89.3854949,0.00109542367,0
0.3206,0.1603,3255.77318,-3254.70416,5,0,90.4467666,0.00110495072,0
0.3256,0.1628,3293.13415,-3292.08513,5,0,91.4741728,0.00113114279,0
0.3306,0.1653,3330.1466,-3329.18093,5,0,92.5244439,0.00112475495,0
0.3356,0.1678,3366.87458,-3365.99305,5,0,93.5627911,0.00109592557,0
0.3406,0.1703,3403.34947,-3402.50363,5,0,94.5525413,0.00105554803,0
0.3456,0.1728,3439.36951,-3438.71972,5,0,95.5954533,0.00102583062,0
0.3506,0.1753,3475.03187,-3474.55794,5,0,96.6006253,0.00101759767,0
0.3556,0.1778,3510.24028,-3510.06552,5,0,97.6127112,0.001026656,0
0.3606,0.1803,3544.97892,-3545.20919,5,0,98.6902432,0.00103332795,0
0.3656,0.1828,3579.39124,-3580.01615,5,0,99.7850599,0.00104032315,0
0.3706,0.1853,3613.39878,-3614.43146,5,0,100.838363,0.00104331228,0
0.3756,0.1878,3647.04544,-3648.56437,5,0,101.902273,0.00104037356,0
0.3806,0.1903,3680.3678,-3682.38435,5,0,102.957806,0.00103131595,0
0.3856,0.1928,3713.30575,-3715.84912,5,0,103.982061,0.00102500763,0
0.3906,0.1953,3745.97177,-3749.03455,5,0,104.998686,0.00102482319,0
0.3956,0.1978,3778.28707,-3781.87197,5,0,105.978874,0.00103115039,0
0.4006,0.2003,3810.26473,-3814.3458,5,0,107.055912,0.00103372597,0
0.4056,0.2028,3841.99391,-3846.60938,5,0,108.053991,0.00105675574,0
0.4106,0.2053,3873.42694,-3878.49144,5,0,109.098023,0.00108245738,0
0.4156,0.2078,3904.54309,-3910.07923,5,0,110.139465,0.00110703532,0
0.4206,0.2103,3935.38262,-3941.32364,5,0,111.144655,0.00112074595,0
0.4256,0.2128,3965.93744,-3972.19,5,0,112.168138,0.00112732858,0
0.4306,0.2153,3996.1583,-4002.77311,5,0,113.192456,0.00113115824,0
0.4356,0.2178,4026.13908,-4033.0047,5,0,114.234945,0.00112484713,0
0.4406,0.2203,4055.85977,-4062.94131,5,0,115.242375,0.00111538656,0
0.4456,0.2228,4085.24423,-4092.55617,5,0,116.20785,0.00111102209,0
0.4506,0.2253,4114.369,-4121.70204,5,0,117.213382,0.00110731799,0
0.4556,0.2278,4143.1771,-4150.60696,5,0,118.206468,0.00110657643,0
0.4606,0.2303,4171.7236,-4179.20284,5,0,119.180995,0.00111229654,0
0.4656,0.2328,4199.98725,-4207.44733,5,0,120.201503,0.00111562318,0
0.4706,0.2353,4228.01369,-4235.31731,5,0,121.18478,0.00112357557,0
0.4756,0.2378,4255.70548,-4262.95282,5,0,122.171586,0.00113676529,0
0.4806,0.2403,4283.2605,-4290.23823,5,0,123.114797,0.0011604309,0
0.4856,0.2428,4310.49376,-4317.26923,5,0,124.149488,0.00122266923,0
0.4906,0.2453,4337.5854,-4343.99113,5,0,125.219697,0.00131781039,0
0.4956,0.2478,4364.39361,-4370.4713,5,0,126.492053,0.00125119618,0
0.5,0.25,4387.78446,-4393.50368,5,0,127.435673,0.00112480511,0
