# ADR90 WP-A2 tau=0 band, build afb95c40c9e3da1cc97d6aabe8168644c53d0e82 (expected afb95c40c9e3da1cc97d6aabe8168644c53d0e82), leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s,implex_err_avg,implex_refusals
0.00564,0.00282,80.8693306,-80.8707531,0.16,0,10.1096277,4.69865031e-05,168
0.0058,0.0029,82.9050284,-82.8938064,0.16,0,10.3618407,4.82730618e-05,168
0.00596,0.00298,84.9343215,-84.9109852,0.32,0,10.5913141,4.88505495e-05,168
0.00612,0.00306,86.9439052,-86.9299811,0.16,0,11.128365,4.54908521e-05,228
0.00628,0.00314,88.9606382,-88.9461406,0.16,0,11.3666766,4.3004947e-05,228
0.00644,0.00322,90.973073,-90.95591,0.16,0,11.6206987,4.32330779e-05,228
0.0066,0.0033,93.000806,-92.962739,0.16,0,11.8710401,4.03925052e-05,228
0.00676,0.00338,94.9959218,-94.9745006,0.16,0,12.1128292,4.10331391e-05,228
0.00692,0.00346,96.9937016,-96.9766731,0.32,0,12.3536565,3.92172459e-05,228
0.00708,0.00354,98.9947694,-98.9729709,0.16,0,12.8775129,3.92390804e-05,288
0.00724,0.00362,100.982272,-100.964223,0.16,0,13.0912485,3.91545474e-05,288
0.0074,0.0037,102.974826,-102.950036,0.16,0,13.3262727,3.79405553e-05,288
0.00756,0.00378,104.953301,-104.939369,0.16,0,13.5594473,3.43326984e-05,288
0.00772,0.00386,106.931881,-106.923803,0.16,0,13.775641,3.19155779e-05,288
0.00788,0.00394,108.9112,-108.902895,0.32,0,13.991267,3.07553583e-05,288
0.00804,0.00402,110.888077,-110.877831,0.16,0,14.5082643,3.27889986e-05,348
0.0082,0.0041,112.868422,-112.848386,0.16,0,14.7340605,3.13326459e-05,348
0.00836,0.00418,114.828837,-114.823115,0.16,0,14.9512804,3.037942e-05,348
0.00852,0.00426,116.804746,-116.791349,0.16,0,15.1921628,2.83905332e-05,348
0.00868,0.00434,118.771635,-118.760092,0.16,0,15.4085352,2.8648557e-05,348
0.00884,0.00442,120.734379,-120.728497,0.32,0,15.6477835,2.63584009e-05,348
0.00916,0.00458,124.670036,-124.654674,0.32,0,16.0133393,5.01756599e-05,352
0.00948,0.00474,128.610559,-128.596298,0.32,0,16.3475266,4.71756517e-05,356
0.0098,0.0049,132.542144,-132.522677,0.32,0,16.7036576,5.76160615e-05,360
0.01012,0.00506,136.457441,-136.425124,0.32,0,17.0594125,6.48849199e-05,364
0.01044,0.00522,140.335808,-140.305252,0.32,0,17.4183605,7.1838093e-05,368
0.01076,0.00538,144.219135,-144.168116,0.64,0,17.7626698,7.58992071e-05,372
0.01108,0.00554,148.076465,-148.026612,0.32,0,18.4950125,7.85290463e-05,532
0.0114,0.0057,151.931606,-151.87532,0.32,0,18.8420687,8.03982393e-05,532
0.01172,0.00586,155.774314,-155.727952,0.32,0,19.1954303,8.16711923e-05,532
0.01204,0.00602,159.622577,-159.569613,0.32,0,19.5567148,8.01427019e-05,532
0.01236,0.00618,163.46674,-163.415798,0.32,0,19.9176567,7.98488255e-05,532
0.01268,0.00634,167.312017,-167.256827,0.64,0,20.2840319,7.68832029e-05,532
0.013,0.0065,171.145614,-171.092641,0.32,0,21.0603204,7.76525447e-05,700
0.01332,0.00666,174.971826,-174.92678,0.32,0,21.4137008,7.24922423e-05,700
0.01364,0.00682,178.79711,-178.751867,0.32,0,21.7806106,6.88700574e-05,700
0.01396,0.00698,182.614158,-182.578442,0.32,0,22.1199193,6.46899173e-05,700
0.01428,0.00714,186.446951,-186.399273,0.32,0,22.4723513,5.94062097e-05,700
0.0146,0.0073,190.267633,-190.213461,0.64,0,22.8143582,6.11184005e-05,700
0.01492,0.00746,194.056329,-194.031262,0.32,0,23.5326998,5.63372697e-05,868
0.01524,0.00762,197.86476,-197.835607,0.32,0,23.8797593,5.52045196e-05,868
0.01556,0.00778,201.647425,-201.631576,0.32,0,24.2250156,5.57567332e-05,868
0.01588,0.00794,205.450152,-205.41984,0.32,0,24.5548112,5.33955263e-05,868
0.0162,0.0081,209.259047,-209.201299,0.32,0,24.8949335,5.47890503e-05,868
0.01652,0.00826,213.014323,-212.992677,0.64,0,25.2304194,5.40730086e-05,868
0.01684,0.00842,216.820542,-216.772862,0.32,0,25.9549482,5.24773996e-05,1024
0.01716,0.00858,220.574734,-220.559027,0.32,0,26.2919421,5.07770221e-05,1024
0.01748,0.00874,224.364159,-224.338481,0.32,0,26.6313074,5.31826068e-05,1024
0.0178,0.0089,228.132033,-228.111035,0.32,0,26.9562294,5.22665971e-05,1024
0.01812,0.00906,231.916482,-231.883545,0.32,0,27.2869859,5.19416183e-05,1024
0.01844,0.00922,235.692234,-235.654361,0.64,0,27.635792,5.23654542e-05,1024
0.01876,0.00938,239.483082,-239.424498,0.32,0,28.3481548,5.35160365e-05,1180
0.01908,0.00954,243.23707,-243.200332,0.32,0,28.6770532,5.19296758e-05,1184
0.0194,0.0097,246.998136,-246.96248,0.32,0,29.0161545,5.47766685e-05,1188
0.01972,0.00986,250.76238,-250.72936,0.32,0,29.324718,5.46968634e-05,1192
0.02004,0.01002,254.514191,-254.483648,0.32,0,29.6637361,5.53431305e-05,1196
0.02036,0.01018,258.282088,-258.23779,0.64,0,29.9886355,5.45176816e-05,1200
0.02068,0.01034,262.037669,-261.993497,0.32,0,30.6799061,5.2707155e-05,1360
0.021,0.0105,265.786987,-265.750239,0.32,0,30.9900162,5.20475379e-05,1364
0.02132,0.01066,269.539395,-269.50782,0.32,0,31.3233576,5.1484107e-05,1368
0.02164,0.01082,273.28669,-273.257567,0.32,0,31.6436045,5.04789366e-05,1372
0.02196,0.01098,277.039832,-277.00925,0.32,0,31.966553,5.04631142e-05,1376
0.02228,0.01114,280.795667,-280.755542,0.64,0,32.2974403,5.07360625e-05,1380
0.0226,0.0113,284.540942,-284.503732,0.32,0,33.0074379,4.9296893e-05,1540
0.02292,0.01146,288.275366,-288.250152,0.32,0,33.3483794,4.82287742e-05,1544
0.02324,0.01162,292.017531,-291.995086,0.32,0,33.6774886,4.63185828e-05,1544
0.02356,0.01178,295.753491,-295.736111,0.32,0,33.9997311,4.5848e-05,1544
0.02388,0.01194,299.494657,-299.475012,0.32,0,34.3051486,4.53485146e-05,1544
0.0242,0.0121,303.228453,-303.210647,0.64,0,34.6197853,4.45546738e-05,1544
0.02452,0.01226,306.974327,-306.944496,0.32,0,35.3015926,4.59475113e-05,1700
0.02484,0.01242,310.707191,-310.67944,0.32,0,35.6232629,4.46759254e-05,1700
