step,s_m,s_over_B,q_kPa,ds_mm,relaxed,ref_total,ref_control,ref_companion,ref_sign,g_floor,g_guard,g_hold,g_rev,g_trial,g_flip,g_backoff,wall_s
147,0.00484,0.00322666667,69.072,0.08,0,424,424,0,0,0,4493,0,607886,862,0,0,62.4
148,0.00492,0.00328,70.0301,0.08,0,428,428,0,0,0,4523,0,610128,862,0,0,62.8
149,0.00496,0.00330666667,70.5017,0.04,0,454,454,0,0,0,4603,0,625928,874,0,0,63.8
150,0.005,0.00333333333,70.9748,0.04,0,454,454,0,0,0,4632,0,628172,874,0,0,64.1
151,0.00504,0.00336,71.3258,0.04,0,455,455,0,0,0,4662,0,630430,881,0,0,64.3
152,0.00508,0.00338666667,71.953,0.04,0,456,456,0,0,0,4713,0,632674,881,0,0,64.6
153,0.00512,0.00341333333,72.4022,0.04,0,457,457,0,0,0,4745,0,634919,886,0,0,64.8
154,0.00516,0.00344,72.8448,0.08,0,458,458,0,0,0,4787,0,637165,890,0,0,65.1
155,0.0052,0.00346666667,73.3883,0.04,0,482,482,0,0,0,4952,0,652971,1004,0,0,65.7
156,0.00524,0.00349333333,73.8283,0.04,0,482,482,0,0,0,4993,0,655215,1012,0,0,65.9
157,0.00528,0.00352,74.2983,0.04,0,482,482,0,0,0,5032,0,657457,1016,0,0,66.1
158,0.00532,0.00354666667,74.8643,0.04,0,482,482,0,0,0,5065,0,659699,1016,0,0,66.4
159,0.00534,0.00356,75.1235,0.02,0,485,485,0,0,0,5209,0,675561,1022,0,0,66.9
160,0.00536,0.00357333333,75.3542,0.02,0,485,485,0,0,0,5253,0,677809,1022,0,0,67.1
161,0.00538,0.00358666667,75.5878,0.02,0,485,485,0,0,0,5303,0,680055,1022,0,0,67.3
162,0.0054,0.0036,75.8001,0.02,0,485,485,0,0,0,5352,0,682297,1024,0,0,67.5
163,0.00542,0.00361333333,76.0076,0.02,0,485,485,0,0,0,5393,0,684539,1024,0,0,67.8
164,0.00544,0.00362666667,76.2347,0.04,0,485,485,0,0,0,5432,0,686783,1024,0,0,68.0
165,0.00548,0.00365333333,76.7421,0.04,0,487,487,0,0,0,5474,0,689023,1043,0,0,68.2
166,0.00552,0.00368,77.3109,0.04,0,487,487,0,0,0,5561,0,691263,1043,0,0,68.5
167,0.00556,0.00370666667,77.9152,0.04,0,487,487,0,0,0,5591,0,693503,1043,0,0,68.8
168,0.0056,0.00373333333,78.4156,0.04,0,487,487,0,0,0,5623,0,695745,1043,0,0,69.1
169,0.00564,0.00376,78.9362,0.04,0,487,487,0,0,0,5671,0,697989,1043,0,0,69.3
170,0.00568,0.00378666667,79.4524,0.08,0,487,487,0,0,0,5722,0,700237,1043,0,0,69.6
171,0.00576,0.00384,80.5569,0.08,0,492,492,0,0,0,5765,0,702477,1063,0,0,69.9
172,0.00584,0.00389333333,81.7369,0.08,0,492,492,0,0,0,5823,0,704717,1063,0,0,70.3
173,0.00592,0.00394666667,82.8804,0.08,0,492,492,0,0,0,5861,0,706958,1063,0,0,70.7
174,0.006,0.004,83.9346,0.08,0,496,496,0,0,0,5891,0,709204,1063,0,0,71.0
175,0.00604,0.00402666667,84.4602,0.04,0,520,520,0,0,0,6027,0,725069,1093,0,0,72.0
176,0.00608,0.00405333333,84.97,0.04,0,520,520,0,0,0,6071,0,727311,1093,0,0,72.3
177,0.00612,0.00408,85.4345,0.04,0,520,520,0,0,0,6117,0,729551,1107,0,0,72.5
178,0.00616,0.00410666667,85.98,0.04,0,520,520,0,0,0,6190,0,731793,1107,0,0,72.8
179,0.0062,0.00413333333,86.5418,0.04,0,520,520,0,0,0,6243,0,734041,1107,0,0,73.0
180,0.00624,0.00416,86.9497,0.08,0,520,520,0,0,0,6286,0,736285,1109,0,0,73.3
181,0.00632,0.00421333333,88.3931,0.08,0,524,524,0,0,0,6334,0,738525,1137,0,0,73.6
182,0.0064,0.00426666667,89.358,0.08,0,524,524,0,0,0,6385,0,740767,1137,0,0,74.0
183,0.00648,0.00432,90.3968,0.08,0,526,526,0,0,0,6426,0,743007,1137,0,0,74.4
184,0.00652,0.00434666667,90.8232,0.04,0,554,554,0,0,0,6578,0,758858,1155,0,0,75.4
185,0.00656,0.00437333333,91.2853,0.04,0,554,554,0,0,0,6640,0,761114,1155,0,0,75.7
186,0.0066,0.0044,91.6256,0.04,0,554,554,0,0,0,6708,0,763364,1171,0,0,75.9
187,0.00664,0.00442666667,92.2354,0.04,0,554,554,0,0,0,6788,0,765606,1171,0,0,76.1
188,0.00668,0.00445333333,92.7733,0.04,0,554,554,0,0,0,6838,0,767852,1171,0,0,76.4
189,0.00672,0.00448,93.1735,0.08,0,554,554,0,0,0,6890,0,770098,1173,0,0,76.6
190,0.0068,0.00453333333,94.8293,0.08,0,558,558,0,0,0,6946,0,772340,1205,0,0,77.0
191,0.00688,0.00458666667,95.6644,0.08,0,558,558,0,0,0,7022,0,774582,1205,0,0,77.3
192,0.00696,0.00464,96.7198,0.08,0,558,558,0,0,0,7069,0,776822,1205,0,0,77.7
193,0.00704,0.00469333333,97.3068,0.08,0,558,558,0,0,0,7109,0,779062,1217,0,0,78.1
194,0.00712,0.00474666667,98.6327,0.08,0,558,558,0,0,0,7157,0,781305,1217,0,0,78.4
195,0.00716,0.00477333333,99.1285,0.04,0,564,564,0,0,0,7333,0,797181,1241,0,0,79.1
196,0.00718,0.00478666667,99.3514,0.02,0,570,570,0,0,0,7581,0,813029,1247,0,0,79.9
