ele,gp,x,z,dx,p,q,eta,psi,Mb,Md,eta_over_Md,err,err_dev,err_vol,f
9,8,-9.95139,-3.25,9.20139,25.6483,20.9136,0.8154,-0.12126,2.03453,0.66273,1.23036,0.00121344,0.00120854,0.000108972,1
10,1,-9.95139,-2.75,9.20139,22.4456,18.2997,0.815289,-0.12208,2.04038,0.659611,1.23601,0.00105161,0.00104693,9.91742e-05,1
10,2,-9.95139,-2.75,9.20139,22.4459,18.318,0.816098,-0.12208,2.04038,0.659611,1.23724,0.00129582,0.00129068,0.000115294,1
10,3,-9.95139,-2.75,9.20139,22.4456,18.2997,0.815289,-0.12208,2.04038,0.659611,1.23601,0.00105161,0.00104693,9.91742e-05,1
10,4,-9.95139,-2.75,9.20139,22.4459,18.318,0.816098,-0.12208,2.04038,0.659611,1.23724,0.00129582,0.00129068,0.000115294,1
10,5,-9.95139,-2.75,9.20139,22.4454,18.2867,0.814717,-0.12208,2.04038,0.659611,1.23515,0.00136052,0.00135505,0.000121964,1
10,6,-9.95139,-2.75,9.20139,22.4457,18.3047,0.815509,-0.12208,2.04038,0.659611,1.23635,0.00136248,0.001357,0.000122095,1
10,7,-9.95139,-2.75,9.20139,22.4454,18.2867,0.814717,-0.12208,2.04038,0.659611,1.23515,0.00136052,0.00135505,0.000121964,1
10,8,-9.95139,-2.75,9.20139,22.4457,18.3047,0.815509,-0.12208,2.04038,0.659611,1.23635,0.00136248,0.001357,0.000122095,1
11,1,-9.95139,-2.25,9.20139,19.2447,15.7344,0.817601,-0.12297,2.04674,0.656245,1.24588,0.00149686,0.0014909,0.000133523,1
11,2,-9.95139,-2.25,9.20139,19.245,15.7553,0.81867,-0.12297,2.04674,0.656246,1.2475,0.00149718,0.00149119,0.000133861,1
11,3,-9.95139,-2.25,9.20139,19.2447,15.7344,0.817601,-0.12297,2.04674,0.656245,1.24588,0.00149686,0.0014909,0.000133523,1
11,4,-9.95139,-2.25,9.20139,19.245,15.7553,0.81867,-0.12297,2.04674,0.656246,1.2475,0.00149718,0.00149119,0.000133861,1
11,5,-9.95139,-2.25,9.20139,19.2444,15.7202,0.816873,-0.12297,2.04674,0.656245,1.24477,0.00153758,0.00153139,0.000137768,1
11,6,-9.95139,-2.25,9.20139,19.2448,15.7416,0.817968,-0.12297,2.04674,0.656246,1.24644,0.00153492,0.00152873,0.000137706,1
11,7,-9.95139,-2.25,9.20139,19.2444,15.7202,0.816873,-0.12297,2.04674,0.656245,1.24477,0.00153758,0.00153139,0.000137768,1
11,8,-9.95139,-2.25,9.20139,19.2448,15.7416,0.817968,-0.12297,2.04674,0.656246,1.24644,0.00153492,0.00152873,0.000137706,1
12,1,-9.95139,-1.75,9.20139,16.0407,13.1834,0.821871,-0.123949,2.05377,0.652561,1.25945,0.00173463,0.00172749,0.000157119,1
