# ADR90 WP-A2 tau=0 band, build c4d08f1874060812ef25cfddf49724e7175f2978, leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s
0.1181,0.05905,1344.4683,-1344.82177,2.5,1,2198.18762
0.1206,0.0603,1370.16266,-1370.00951,5,1,2251.27247
0.1231,0.06155,1397.45177,-1397.53208,2.5,1,2342.64167
0.1256,0.0628,1424.54985,-1424.89028,2.5,1,2386.50913
0.1281,0.06405,1450.89517,-1451.06823,2.5,1,2436.97731
0.1306,0.0653,1477.48124,-1477.62141,2.5,1,2530.26145
0.1331,0.06655,1503.74658,-1503.75953,2.5,1,2622.06093
0.1356,0.0678,1529.7959,-1529.7095,5,1,2720.89749
0.1381,0.06905,1557.165,-1557.61588,2.5,1,2883.44139
0.1406,0.0703,1584.14312,-1584.63013,2.5,1,2975.04299
0.1431,0.07155,1608.62668,-1608.62186,2.5,1,3024.71867
0.1456,0.0728,1635.9656,-1636.24683,2.5,1,3074.70055
0.14685,0.073425,1648.34613,-1648.44594,1.25,1,3201.27985
0.1481,0.07405,1661.68855,-1661.6987,1.25,1,3254.78852
0.14935,0.074675,1674.30974,-1674.44506,1.25,1,3297.38327
0.1506,0.0753,1687.51583,-1687.75822,1.25,1,3346.73505
0.15185,0.075925,1700.58465,-1700.82414,1.25,1,3376.94767
0.1531,0.07655,1713.72591,-1713.92358,2.5,1,3398.76325
0.1556,0.0778,1740.01969,-1740.45661,2.5,1,3445.14856
0.1581,0.07905,1764.561,-1764.75626,2.5,1,3517.07751
0.1606,0.0803,1790.972,-1791.11278,2.5,1,3639.94608
0.16185,0.080925,1803.36614,-1803.48579,1.25,1,3728.31874
0.1631,0.08155,1816.1774,-1816.39569,1.25,1,3791.97554
0.16435,0.082175,1829.19615,-1829.49486,1.25,1,3914.72666
0.164975,0.0824875,1836.99454,-1837.59692,0.625,1,4004.1053
0.1656,0.0828,1841.93819,-1842.51593,0.625,1,4023.03813
0.166225,0.0831125,1847.58818,-1847.88739,0.625,1,4047.97518
0.16685,0.083425,1855.88631,-1856.60472,0.625,1,4069.80272
0.167475,0.0837375,1859.73871,-1860.07155,0.625,1,4084.55085
0.1681,0.08405,1866.08745,-1866.15217,1.25,1,4105.15524
0.16935,0.084675,1877.67631,-1877.93399,1.25,1,4138.61622
0.1706,0.0853,1890.81272,-1890.9638,1.25,1,4188.46852
0.171225,0.0856125,1899.24303,-1899.83457,0.625,1,4260.73994
0.1715375,0.08576875,1907.28123,-1907.42654,0.3125,1,4295.48494
0.17185,0.085925,1904.67068,-1905.06271,0.3125,1,4318.65528
0.1721625,0.08608125,1907.0716,-1907.35576,0.3125,1,4332.80472
0.172475,0.0862375,1918.29715,-1919.04122,0.3125,1,4338.82846
0.1727875,0.08639375,1914.94249,-1915.52834,0.3125,1,4348.81361
0.1731,0.08655,1919.13428,-1919.59663,0.625,1,4364.80474
0.173725,0.0868625,1926.10884,-1926.47003,0.625,1,4378.68953
0.17435,0.087175,1934.43685,-1934.68429,0.625,1,4393.61687
0.174975,0.0874875,1942.31628,-1942.45128,0.625,1,4413.66519
0.1756,0.0878,1950.63036,-1950.78329,0.625,1,4435.19495
0.176225,0.0881125,1959.13165,-1959.49746,0.625,1,4463.24561
0.17685,0.088425,1966.35564,-1966.72931,1.25,1,4479.92432
0.1781,0.08905,1981.79646,-1982.0516,1.25,1,4501.6616
0.17935,0.089675,1997.54539,-1997.71502,1.25,1,4533.24116
0.1806,0.0903,2013.05177,-2013.3581,1.25,1,4558.04679
0.18185,0.090925,2027.95327,-2028.11191,1.25,1,4582.42716
0.1831,0.09155,2043.06961,-2043.21474,1.25,1,4609.37108
0.18435,0.092175,2059.26184,-2059.49405,2.5,1,4632.04036
0.18685,0.093425,2088.81093,-2088.8708,2.5,1,4666.23496
0.1881,0.09405,2102.52749,-2102.82606,1.25,1,4732.82226
0.188725,0.0943625,2109.74651,-2109.81279,0.625,1,4799.74032
0.18935,0.094675,2118.43451,-2118.44892,0.625,1,4820.45419
0.189975,0.0949875,2124.78717,-2125.13082,0.625,1,4849.04223
0.1902875,0.09514375,2130.10255,-2130.3478,0.3125,1,4868.5514
0.1906,0.0953,2133.77227,-2133.9203,0.3125,1,4875.81601
0.1909125,0.09545625,2137.33226,-2137.56099,0.3125,1,4890.24208
