# ADR90 WP-A2 tau=0 band, build 9e73060a90e81a35ebd842bcd10a315a980ffac4 (expected 9e73060a90e81a35ebd842bcd10a315a980ffac4), leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s,implex_err_avg,implex_refusals,guard_floor,guard_f0,guard_hold,guard_res,guard_ctlf
0.07668,0.03834,897.837695,-898.123856,0.64,0,466.553027,0.000220882222,576,0,0,0,11084,3468
0.07732,0.03866,904.673889,-904.926227,0.64,0,470.881247,0.000191513368,576,0,0,0,1576,864
0.07796,0.03898,915.624184,-916.205991,0.64,1,479.952102,0.000814983292,600,0,0,0,7922,2571
0.0786,0.0393,923.614168,-924.516606,0.64,0,483.334302,0.00106890048,600,0,4,0,1568,809
0.07924,0.03962,929.93943,-930.769585,0.64,0,487.406111,0.000721255245,600,0,0,0,1568,848
0.07988,0.03994,935.65508,-936.305059,1.28,0,491.560723,0.000430138365,600,0,0,0,1568,892
0.08052,0.04026,941.767592,-942.256673,0.64,0,496.637033,0.000414947029,612,0,0,0,11080,3719
0.08116,0.04058,948.515375,-948.881191,0.64,0,500.841654,0.000415390537,612,0,0,0,1584,917
0.0818,0.0409,955.595211,-955.907938,0.64,0,505.220034,0.000369316416,612,0,0,0,1588,909
0.08244,0.04122,962.655252,-962.95909,0.64,0,510.039722,0.00031360558,612,0,0,0,1584,900
0.08308,0.04154,969.560027,-969.863765,0.64,0,515.592319,0.000250597586,612,0,0,0,1579,879
0.08372,0.04186,976.343378,-976.653301,1.28,0,520.636064,0.000206077085,612,0,0,0,1576,875
0.08436,0.04218,983.158982,-983.429102,0.64,0,527.634125,0.000183017803,624,0,0,0,11080,3496
0.085,0.0425,995.248431,-995.770522,0.64,1,536.371559,0.00093218357,648,0,0,0,7928,2616
0.08564,0.04282,1003.58139,-1004.57201,0.64,0,539.45986,0.00120939976,648,0,4,0,1568,797
0.08628,0.04314,1009.88726,-1010.77054,0.64,0,542.969738,0.000838733322,648,0,0,0,1568,860
0.08692,0.04346,1015.22728,-1015.94618,0.64,0,546.723295,0.000509112827,648,0,0,0,1568,901
0.08756,0.04378,1020.90406,-1021.49092,1.28,0,550.900815,0.000480839223,648,0,0,0,1576,970
0.0882,0.0441,1027.52459,-1027.95744,0.64,0,556.556568,0.000496689061,660,0,0,0,11096,3893
0.08884,0.04442,1034.43671,-1034.82633,0.64,0,561.005015,0.000419191418,660,0,0,0,1588,951
0.08948,0.04474,1041.4164,-1041.79852,0.64,0,565.51146,0.000355210441,660,0,0,0,1588,936
0.09012,0.04506,1048.253,-1048.63045,0.64,0,570.267532,0.000292333387,660,0,4,0,1580,912
0.09076,0.04538,1054.99565,-1055.34128,0.64,0,575.231943,0.000246596881,660,0,0,0,1576,893
0.0914,0.0457,1061.64303,-1061.97582,1.28,0,580.430385,0.000210551003,660,0,0,0,1576,888
0.09204,0.04602,1072.44474,-1073.05008,0.64,1,589.579354,0.000750563736,688,0,0,0,17432,5285
0.09268,0.04634,1080.20807,-1081.20593,0.64,0,592.828016,0.00097772896,688,0,4,0,1568,823
0.09332,0.04666,1086.50139,-1087.33692,0.64,0,596.807094,0.000674626737,688,0,0,0,1568,867
0.09396,0.04698,1092.05885,-1092.72018,0.64,0,601.398153,0.000399758247,688,0,0,0,1568,892
0.0946,0.0473,1097.91108,-1098.4374,0.64,0,605.473823,0.000384450124,688,0,0,0,1580,936
0.09524,0.04762,1104.58565,-1104.95803,1.28,0,609.683994,0.000385907266,688,0,0,0,1591,942
0.09588,0.04794,1111.54245,-1111.85573,0.64,0,614.593155,0.000343827495,700,0,0,0,11092,3754
0.09652,0.04826,1118.45699,-1118.7619,0.64,0,618.524883,0.000295584206,700,0,0,0,1584,904
