# ADR90 WP-A2 tau=0 band, build c4d08f1874060812ef25cfddf49724e7175f2978, leg h1.0_e0.60
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s
0.0306,0.0153,645.843903,-645.916319,5,1,554.841521
0.0331,0.01655,702.126181,-702.395871,2.5,1,593.116521
0.0356,0.0178,758.948471,-759.434346,2.5,1,605.445601
0.03685,0.018425,787.994617,-788.054308,1.25,1,668.347342
0.0381,0.01905,817.322142,-817.318147,1.25,1,675.574578
0.03935,0.019675,846.347692,-846.360944,1.25,1,712.32162
0.0406,0.0203,875.450832,-875.505569,1.25,1,719.32532
0.04185,0.020925,905.085364,-905.039424,1.25,1,756.374704
0.0431,0.02155,934.849765,-934.942814,2.5,1,796.963757
0.0456,0.0228,994.198689,-994.552312,2.5,1,858.218951
0.04685,0.023425,1024.07672,-1024.13383,1.25,1,913.706571
0.0481,0.02405,1054.83209,-1054.92551,1.25,1,931.636765
0.04935,0.024675,1085.15775,-1085.54484,1.25,1,953.684797
0.0506,0.0253,1115.55159,-1115.73895,1.25,1,976.293015
0.05185,0.025925,1146.26185,-1146.35974,1.25,1,997.564407
0.0531,0.02655,1176.65237,-1176.73514,2.5,1,1034.12308
0.0556,0.0278,1238.73679,-1239.04818,2.5,1,1057.69081
0.05685,0.028425,1270.70581,-1271.30279,1.25,1,1087.01278
0.057475,0.0287375,1286.78145,-1287.18651,0.625,1,1116.32413
0.0581,0.02905,1302.21737,-1302.65341,0.625,1,1128.64112
0.058725,0.0293625,1317.21193,-1317.64593,0.625,1,1153.25483
0.0590375,0.02951875,1331.15373,-1332.38584,0.3125,1,1172.01543
0.05935,0.029675,1334.29786,-1334.70722,0.3125,1,1183.94128
0.0596625,0.02983125,1348.05227,-1349.29927,0.3125,1,1188.74381
0.059975,0.0299875,1355.99065,-1355.04286,0.3125,1,1196.54309
0.0602875,0.03014375,1361.34459,-1361.4607,0.3125,1,1202.21137
0.0606,0.0303,1371.44734,-1371.43228,0.625,1,1208.14472
0.061225,0.0306125,1381.71811,-1382.16101,0.625,1,1220.75925
0.06185,0.030925,1398.75049,-1399.32272,0.625,1,1242.06987
0.062475,0.0312375,1413.72754,-1413.95797,0.625,1,1265.47532
0.0627875,0.03139375,1428.50839,-1429.49669,0.3125,1,1289.33484
0.0631,0.03155,1436.20277,-1435.40631,0.3125,1,1300.09003
0.0634125,0.03170625,1439.1155,-1439.26734,0.3125,1,1308.89498
0.063725,0.0318625,1450.86674,-1450.82863,0.3125,1,1323.24792
0.0640375,0.03201875,1460.52925,-1460.39717,0.3125,1,1341.21764
0.06435,0.032175,1461.79851,-1462.11942,0.625,1,1352.62583
0.0646625,0.03233125,1471.87628,-1472.17084,0.3125,1,1374.93984
0.064975,0.0324875,1481.85807,-1481.85848,0.3125,1,1388.81921
0.0652875,0.03264375,1491.52882,-1491.64387,0.3125,1,1404.02743
0.0656,0.0328,1500.69766,-1500.73677,0.3125,1,1409.59743
0.0659125,0.03295625,1509.3569,-1509.53861,0.3125,1,1422.02063
0.066225,0.0331125,1510.42303,-1510.51119,0.625,1,1433.94282
0.06685,0.033425,1528.27161,-1528.62196,0.625,1,1446.72013
0.067475,0.0337375,1543.36665,-1543.72712,0.625,1,1464.11572
0.0681,0.03405,1560.30667,-1560.59563,0.625,1,1478.67965
0.0684125,0.03420625,1572.83337,-1572.78801,0.3125,1,1507.21832
0.068725,0.0343625,1583.02955,-1582.48686,0.3125,1,1515.82276
0.0690375,0.03451875,1586.32431,-1586.81518,0.3125,1,1527.15657
0.06935,0.034675,1594.46383,-1594.55552,0.3125,1,1541.76792
0.0696625,0.03483125,1605.92815,-1606.07443,0.3125,1,1559.86327
0.069975,0.0349875,1615.86292,-1615.73431,0.625,1,1573.25379
0.0702875,0.03514375,1617.33098,-1617.42563,0.3125,1,1626.47083
