element,gp,x_m,y_m,p_kPa,eta,eta_over_Mb_compression,e,psi,sigma_0,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5,alpha_0,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_in_0,alpha_in_1,alpha_in_2,alpha_in_3,alpha_in_4,alpha_in_5,z_0,z_1,z_2,z_3,z_4,z_5
1962,4,1.0312,-0.0937,1.919,1.33263,0.633692,0.69475187,-0.130711,1.480920817,3.227830613,1.048245727,0.9210627936,0,0,-0.2262255634,0.6788178992,-0.4525923358,0.4805636228,0,0,0.1783387155,0.2550866358,-0.4334253513,0.5549899802,0,0,-0.03127805143,-0.8364079078,0.8676859592,0.4280456506,0,0
1830,4,-1.0312,-0.0937,2.02793,1.26542,0.601637,0.69459183,-0.130757,1.91149133,2.996304085,1.175990234,-1.164703551,0,0,-0.0562711509,0.4753644872,-0.4190933363,-0.5721304106,0,0,-0.380070785,0.7861899968,-0.4061192119,0.3610328868,0,0,-0.2192330285,-0.5162293582,0.7354623867,-0.6327887671,0,0
1949,2,0.8438,-0.2813,2.28119,1.23402,0.590366,0.69611515,-0.12898,2.813717853,2.585977961,1.443862692,-1.450052677,0,0,0.2342358586,0.1318361636,-0.3660720222,-0.6332157615,0,0,0.2333298436,0.07923605791,-0.3125659015,-0.1699490109,0,0,-0.2209378397,-2.436081994,2.657019833,6.867373005,0,0
1830,2,-1.0312,-0.0937,5.69527,1.165,0.559254,0.69459183,-0.128005,5.640176179,8.061015878,3.38462435,-3.03397417,0,0,-0.008551605527,0.4133601871,-0.4048085815,-0.5304290186,0,0,-0.380644287,0.7623055911,-0.3816613041,0.1364312002,0,0,-0.910047777,-0.04475078817,0.9547985652,-0.5604880905,0,0
1830,1,-1.0312,-0.0937,2.71316,1.13152,0.539205,0.69459183,-0.130106,2.643117425,3.906373346,1.58999357,-1.340361272,0,0,-0.02402698962,0.437016343,-0.4129893534,-0.4924681137,0,0,-0.3197261832,0.7211563483,-0.401430165,0.3295832295,0,0,-0.7877320957,-0.09715451653,0.8848864913,-1.140995516,0,0
1818,2,-1.2188,-0.0938,5.49263,1.10752,0.530775,0.69423474,-0.128482,5.342401772,7.921625749,3.213850992,-2.603351594,0,0,-0.02678066052,0.4406487411,-0.4138680806,-0.4714400542,0,0,-0.3892767959,0.8031648456,-0.4138880497,-0.1309777965,0,0,0.08564561921,-0.1968834925,0.1112378733,0.0166942422,0,0
1961,1,1.0312,-0.2813,9.14611,1.09372,0.528251,0.69457834,-0.12626,15.78205885,6.30751243,5.348756404,0.3135520665,0,0,0.7239461368,-0.3098054343,-0.4141407026,0.03176337741,0,0,0.4101252876,-0.008695437558,-0.4014298501,-0.1816529619,0,0,-0.3071760655,-0.864012479,1.171188545,2.716070317,0,0
1986,1,1.4062,-0.0937,5.11961,1.04899,0.50239,0.69427252,-0.128671,7.242226979,5.225240769,2.891365844,2.20747047,0,0,0.4120630167,0.02204285386,-0.4341058706,0.4293170482,0,0,-0.08237737916,0.4984406928,-0.4160633137,0.4861445615,0,0,0.004119230763,-0.03575421753,0.03163498677,-0.05281470775,0,0
1830,3,-1.0312,-0.0937,4.0968,1.0395,0.49723,0.69459183,-0.129025,4.161673672,5.670827633,2.457907086,-1.86049799,0,0,0.01606244479,0.3829820006,-0.3990444454,-0.4514775349,0,0,-0.2878131302,0.6543414148,-0.3665282846,0.3765171057,0,0,-0.108649876,-0.741460472,0.850110348,-0.4815408344,0,0
1794,3,-1.5938,-0.0937,6.4325,1.01467,0.48723,0.69425779,-0.127923,5.049120593,10.47165713,3.77672661,-1.248683154,0,0,-0.2170662036,0.6291898258,-0.4121236222,-0.1918293302,0,0,-0.3585992217,0.772517063,-0.4139178413,-0.1083059152,0,0,0.357896831,-0.5471457334,0.1892474899,0.06678891059,0,0
2009,1,1.7812,-0.2813,9.84826,0.955267,0.461245,0.69418378,-0.126344,14.95570834,8.902681872,5.686380413,2.711277543,0,0,0.5157066667,-0.09435965487,-0.4213470118,0.2767018334,0,0,0.4257984126,-0.00881915108,-0.4169792616,0.3394251516,0,0,-0.01185239472,0.004202820128,0.007649574592,-0.01687046263,0,0
1698,4,-3.0938,-0.0937,9.76834,0.924244,0.446219,0.69418809,-0.126375,15.6574345,7.894448611,5.753138856,-0.1135117407,0,0,0.6054352777,-0.1949346597,-0.4105006181,-0.01130258494,0,0,0.6363476908,-0.2335937056,-0.4027539851,0.01248013777,0,0,0.1398882454,-0.2073864656,0.06749822023,-0.01861238741,0,0
2009,2,1.7812,-0.2813,9.96677,0.915787,0.442262,0.69418378,-0.126293,15.05311741,9.056306812,5.790886174,2.38770165,0,0,0.5073187479,-0.08980049665,-0.4175182512,0.2408024569,0,0,0.4118812462,0.004799112382,-0.4166803586,0.3544502464,0,0,-0.01148088915,0.00454059218,0.006940296966,-0.001441606935,0,0
1782,4,-1.7812,-0.0938,5.8619,0.920556,0.441642,0.69432224,-0.128178,4.902394917,9.332285076,3.351034897,0.2683857834,0,0,-0.1622111406,0.5895022671,-0.4272911265,0.04766180278,0,0,0.1883366292,0.2466471641,-0.4349837932,0.0362801364,0,0,0.3198888586,-0.480612467,0.1607236084,-0.08278241681,0,0
1530,2,-5.7188,-0.0938,9.95539,0.907862,0.438424,0.69418183,-0.1263,15.88814235,7.88109644,6.096936951,-0.1877209354,0,0,0.5927665137,-0.2062628676,-0.3865036461,-0.01811549214,0,0,0.48057744,-0.09354527505,-0.387032165,-0.02543301152,0,0,-0.003027032743,0.002046220136,0.000980812607,0.0001629543987,0,0
1806,1,-1.4062,-0.0937,3.22572,0.913247,0.43549,0.69436011,-0.129908,2.761439914,5.105964132,1.809768825,-0.1218356431,0,0,-0.1468311387,0.5847669437,-0.437935805,-0.03641150155,0,0,-0.4769362839,0.9182213627,-0.4412850788,0.0411785153,0,0,0.1015465472,-0.1941830265,0.09263647931,-0.09225579924,0,0
1961,2,1.0312,-0.2813,4.71527,0.901294,0.43173,0.69457834,-0.128622,7.220424283,4.086716373,2.838658423,-0.9613088035,0,0,0.5283725814,-0.1330420823,-0.3953304991,-0.2031440442,0,0,0.5647990291,-0.1603846176,-0.4044144115,-0.2352232368,0,0,-0.6834033492,-0.1512523928,0.8346557419,2.097142346,0,0
1986,4,1.4062,-0.0937,5.52609,0.894332,0.428691,0.69427252,-0.128424,6.821369941,6.730425489,3.026465395,1.858357215,0,0,0.2335582995,0.2174455219,-0.4510038214,0.3336457021,0,0,-0.2195582865,0.6483565816,-0.428798295,0.1806416354,0,0,0.09462754482,-0.1494992332,0.05487168842,-0.03514558732,0,0
2046,1,2.3438,-0.0938,9.28948,0.887243,0.428088,0.69422088,-0.126553,14.42652396,7.876034097,5.565895821,1.231919598,0,0,0.5497395862,-0.1499103078,-0.3998292783,0.1326674893,0,0,0.3070230609,0.08810167154,-0.3951247325,0.106446521,0,0,0.1680373658,-0.2525510068,0.08451364104,-0.03345782394,0,0
2094,2,3.0938,-0.0937,9.95278,0.884305,0.427067,0.69419595,-0.126287,15.67667006,8.199988374,5.981675221,-0.1359739027,0,0,0.5720435268,-0.1740763299,-0.397967197,-0.01468679668,0,0,0.4188108251,-0.01562238696,-0.4031884381,-0.02967021672,0,0,0.1004184474,-0.1500933301,0.04967488275,0.0137911788,0,0
1686,4,-3.2812,-0.0937,9.52777,0.884709,0.42698,0.69419196,-0.126476,14.97399763,7.895067732,5.714238367,0.4993084189,0,0,0.5725222419,-0.1734698942,-0.3990523477,0.05017402909,0,0,0.6178619526,-0.2229094552,-0.3949524973,0.04844123239,0,0,0.123201443,-0.1835291117,0.06032766876,-0.01827538109,0,0
1818,4,-1.2188,-0.0938,8.68038,0.88145,0.4249,0.69423474,-0.126817,7.408956295,13.59226302,5.039910702,-0.1270888506,0,0,-0.1444922191,0.562670219,-0.4181779999,-0.01389868043,0,0,-0.1379424314,0.5554917995,-0.4175493682,-0.01039755038,0,0,0.3711242702,-0.7310354424,0.3599111723,-0.6239295971,0,0
1686,3,-3.2812,-0.0937,9.61016,0.880146,0.424831,0.69419196,-0.12644,15.10585082,7.942379866,5.782241367,0.1711392224,0,0,0.5732817397,-0.1761451794,-0.3971365603,0.0160076723,0,0,0.6281785048,-0.234516003,-0.3936625018,0.02964583962,0,0,0.1268725396,-0.1872015619,0.06032902231,0.00711246221,0,0
1841,1,-0.8438,-0.2813,1.15707,0.889397,0.42362,0.69614346,-0.130243,1.1184419,1.57640288,0.7763623114,0.4380363637,0,0,-0.03413914951,0.3620288233,-0.3278896738,0.3758669623,0,0,0,0,0,0,0,0,-0.2962314664,-2.425761423,2.72184667,-7.010551606,0,0
1782,3,-1.7812,-0.0938,5.71131,0.881891,0.422963,0.69432224,-0.128266,5.1359735,8.760252302,3.237693588,-0.7637864038,0,0,-0.1004328481,0.5324823579,-0.4320495098,-0.1311245969,0,0,0.2757871376,0.1534559451,-0.4292430828,-0.06615506988,0,0,0.2638039759,-0.4033155146,0.1395115387,0.04031553213,0,0
1710,2,-2.9062,-0.0938,9.16091,0.856395,0.413096,0.69420425,-0.126627,14.20839754,7.824014343,5.450305416,0.00184823846,0,0,0.5486990231,-0.1448782613,-0.4038207619,-0.001900147582,0,0,0.5411333586,-0.1396831104,-0.4014502482,-0.0214933436,0,0,0.1265383691,-0.1876185668,0.0610801977,0.01837713062,0,0
1806,4,-1.4062,-0.0937,4.03141,0.861251,0.411566,0.69436011,-0.129303,3.928793215,5.761776378,2.403655236,-1.091441937,0,0,-0.0276463459,0.4303507599,-0.402704414,-0.2685604579,0,0,-0.1920253853,0.5854020586,-0.3933766733,-0.09038919582,0,0,0.2810362857,-0.4589622762,0.1779259906,-0.1742467362,0,0
1781,2,-1.7812,-0.2813,9.38543,0.851741,0.410935,0.69416197,-0.126569,12.81279172,9.74120472,5.602279739,-2.865013515,0,0,0.3619561765,0.04010788312,-0.4020640596,-0.3057023424,0,0,0.1297686911,0.2728464098,-0.4026151009,-0.2420702998,0,0,-0.02158097584,0.01245339838,0.009127577466,0.01133751532,0,0
1794,2,-1.5938,-0.0937,5.79561,0.855998,0.410522,0.69425779,-0.128281,5.896145288,8.125238781,3.36545754,-1.591383807,0,0,0.01646839289,0.4021221813,-0.4185905742,-0.2718134166,0,0,-0.1544193837,0.5789489399,-0.4245295561,-0.2452918682,0,0,0.07061113682,-0.125460693,0.05484955617,0.06461852262,0,0
1698,3,-3.0938,-0.0937,9.65812,0.848452,0.409558,0.69418809,-0.126423,14.93150382,8.255390385,5.787464106,-0.06259090892,0,0,0.5480713334,-0.1475812734,-0.40049006,-0.008328901794,0,0,0.5625557458,-0.1580025641,-0.4045531817,-0.02480060886,0,0,0.14302099,-0.2120560271,0.06903503708,0.01278399822,0,0
